Finite Capacity Resource,Task,Is Released At End,Quantity
Plane1_Upper_Aft_LH_Wing_Box,Plane1_2BJ420-03-655C,TRUE,1
Plane1_Upper_Aft_RH_Wing_Box,Plane1_2BJ420-03-660C,TRUE,1
Plane1_Upper_Aft_RH_Wing_Box,Plane1_2BJ420-03-662C,TRUE,1
Plane1_Upper_Fwd_LH_Wing_Box,Plane1_2BJ420-04-605C,TRUE,1
Plane1_Upper_Fwd_RH_Wing_Box,Plane1_2BJ420-04-610C,TRUE,1
Plane1_LH_MLG,Plane1_2BJ420-05-03FA,TRUE,1
Plane1_LH_Flaperon,Plane1_2BJ420-05-08FA,TRUE,1
Plane1_RH_Flaperon,Plane1_2BJ420-05-09FA,TRUE,1
Plane1_ROLL_POST_LH,Plane1_2BJ430-01-079CA,TRUE,1
Plane1_ROLL_POST_LH,Plane1_2BJ430-01-081CA,TRUE,1
Plane1_ROLL_POST_RH,Plane1_2BJ430-01-082CA,TRUE,1
Plane1_ROLL_POST_LH,Plane1_2BJ430-01-083CA,TRUE,1
Plane1_ROLL_POST_RH,Plane1_2BJ430-01-084CA,TRUE,1
Plane1_ROLL_POST_LH,Plane1_2BJ430-01-085CA,TRUE,1
Plane1_ROLL_POST_RH,Plane1_2BJ430-01-088CA,TRUE,1
Plane1_ROLL_POST_RH,Plane1_2BJ430-01-094CA,TRUE,1
Plane1_LH_Weapons_Bay,Plane1_2BJ430-01-507YA,TRUE,1
Plane1_LH_MLG,Plane1_2BJ430-01-521YA,TRUE,1
Plane1_RH_MLG,Plane1_2BJ430-01-522Y,TRUE,1
Plane1_RH_Flaperon,Plane1_2BJ430-01-540WA,TRUE,1
Plane1_LH_MLG,Plane1_2BJ430-01-541WA,TRUE,1
Plane1_LH_MLG,Plane1_2BJ430-01-601CA,TRUE,1
Plane1_RH_MLG,Plane1_2BJ430-01-606U,TRUE,1
Plane1_LH_MLG,Plane1_2BJ430-01-609UA,TRUE,1
