Id,Description,Individual Index,Internal Data,Long Name,Calendar,Pool
Sta03_Struct-1,"TeamDS14094,DS14096,DS14098",1,,"TeamDS14094,DS14096,DS14098",Graveyard1Day1Swing1-Avail,Sta03_Struct
Sta03_Struct-2,"TeamDS14095,DS14097,DS14099",2,,"TeamDS14095,DS14097,DS14099",Graveyard1Day1Swing1-Avail,Sta03_Struct
Sta05_Elec-1,"TeamDS17845,DS17848,DS17853",1,,"TeamDS17845,DS17848,DS17853",Graveyard1Day1Swing1-Avail,Sta05_Elec
Sta05_Elec-2,"TeamDS17844,DS17849,DS17854",2,,"TeamDS17844,DS17849,DS17854",Graveyard1Day1Swing1-Avail,Sta05_Elec
Sta05_Elec-3,"TeamDS17843,DS17850,DS17855",3,,"TeamDS17843,DS17850,DS17855",Graveyard1Day1Swing1-Avail,Sta05_Elec
Sta05_Elec-4,"TeamDS17846,DS17851",4,,"TeamDS17846,DS17851",Day1Swing1-Avail,Sta05_Elec
Sta05_Elec-5,"TeamDS17847,DS17852",5,,"TeamDS17847,DS17852",Day1Swing1-Avail,Sta05_Elec
Sta03_Plumb-1,"TeamDS14085,DS14088,DS14091",1,,"TeamDS14085,DS14088,DS14091",Graveyard1Day1Swing1-Avail,Sta03_Plumb
Sta03_Plumb-2,"TeamDS14086,DS14089,DS14092",2,,"TeamDS14086,DS14089,DS14092",Graveyard1Day1Swing1-Avail,Sta03_Plumb
Sta03_Plumb-3,"TeamDS14087,DS14090,DS14093",3,,"TeamDS14087,DS14090,DS14093",Graveyard1Day1Swing1-Avail,Sta03_Plumb
Sta03_Plumb-4,"TeamDS14222,DS14223,DS14260",4,,"TeamDS14222,DS14223,DS14260",Graveyard1Day1Swing1-Avail,Sta03_Plumb
Sta03_Plumb-5,"TeamDS14259,DS14257,DS14270",5,,"TeamDS14259,DS14257,DS14270",Graveyard1Day1Swing1-Avail,Sta03_Plumb
Sta03_Plumb-6,"TeamDS14261,DS14262",6,,"TeamDS14261,DS14262",Day1Swing1-Avail,Sta03_Plumb
Sta02_Test-1,"TeamDS14056,DS14058,DS14060",1,,"TeamDS14056,DS14058,DS14060",Graveyard1Day1Swing1-Avail,Sta02_Test
Sta02_Test-2,"TeamDS14057,DS14059,DS14061",2,,"TeamDS14057,DS14059,DS14061",Graveyard1Day1Swing1-Avail,Sta02_Test
Sta02_Test-3,"TeamDS15103,DS15104,DS15105",3,,"TeamDS15103,DS15104,DS15105",Graveyard1Day1Swing1-Avail,Sta02_Test
Sta04_Elec-1,"TeamDS14122,DS14127,DS14132",1,,"TeamDS14122,DS14127,DS14132",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-2,"TeamDS14123,DS14128,DS14133",2,,"TeamDS14123,DS14128,DS14133",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-3,"TeamDS14124,DS14129,DS14134",3,,"TeamDS14124,DS14129,DS14134",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-4,"TeamDS14125,DS14130,DS14135",4,,"TeamDS14125,DS14130,DS14135",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-5,"TeamDS14126,DS14131,DS14136",5,,"TeamDS14126,DS14131,DS14136",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-6,"TeamDS15441,DS15444,DS15447",6,,"TeamDS15441,DS15444,DS15447",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-7,"TeamDS15442,DS15445,DS15448",7,,"TeamDS15442,DS15445,DS15448",Graveyard1Day1Swing1-Avail,Sta04_Elec
Sta04_Elec-8,"TeamDS15443,DS15446",8,,"TeamDS15443,DS15446",Day1Swing1-Avail,Sta04_Elec
Sta02_Plumb-1,"TeamDS14035,DS14039,DS14047",1,,"TeamDS14035,DS14039,DS14047",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-2,"TeamDS14036,DS14040,DS14044",2,,"TeamDS14036,DS14040,DS14044",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-3,"TeamDS14037,DS14041,DS14045",3,,"TeamDS14037,DS14041,DS14045",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-4,"TeamDS14038,DS14042,DS14046",4,,"TeamDS14038,DS14042,DS14046",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-5,"TeamDS14155,DS14156,DS14380",5,,"TeamDS14155,DS14156,DS14380",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-6,"TeamDS14217,DS14218,DS15919",6,,"TeamDS14217,DS14218,DS15919",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-7,"TeamDS14333,DS14379,DS15920",7,,"TeamDS14333,DS14379,DS15920",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta02_Plumb-8,"TeamDS15921,DS15923,DS15924",8,,"TeamDS15921,DS15923,DS15924",Graveyard1Day1Swing1-Avail,Sta02_Plumb
Sta05_Plumb-1,"TeamDS17856,DS17860,DS17864",1,,"TeamDS17856,DS17860,DS17864",Graveyard1Day1Swing1-Avail,Sta05_Plumb
Sta05_Plumb-2,"TeamDS17857,DS17861,DS17865",2,,"TeamDS17857,DS17861,DS17865",Graveyard1Day1Swing1-Avail,Sta05_Plumb
Sta05_Plumb-3,"TeamDS17858,DS17862,DS17866",3,,"TeamDS17858,DS17862,DS17866",Graveyard1Day1Swing1-Avail,Sta05_Plumb
Sta05_Plumb-4,"TeamDS17859,DS17863",4,,"TeamDS17859,DS17863",Day1Swing1-Avail,Sta05_Plumb
Sta01_Elec-1,"TeamDS13978,DS13981",1,,"TeamDS13978,DS13981",Day1Swing1-Avail,Sta01_Elec
Sta01_Elec-2,"TeamDS13979,DS13982",2,,"TeamDS13979,DS13982",Day1Swing1-Avail,Sta01_Elec
Sta04_Test-1,"TeamDS14104,DS14107,DS14110",1,,"TeamDS14104,DS14107,DS14110",Graveyard1Day1Swing1-Avail,Sta04_Test
StaPD_STEM-1,"TeamDS13967,DS13971,DS13975",1,,"TeamDS13967,DS13971,DS13975",Graveyard1Day1Swing1-Avail,StaPD_STEM
StaPD_STEM-2,"TeamDS13968,DS13972,DS13976",2,,"TeamDS13968,DS13972,DS13976",Graveyard1Day1Swing1-Avail,StaPD_STEM
StaPD_STEM-3,"TeamDS13969,DS13973,DS13977",3,,"TeamDS13969,DS13973,DS13977",Graveyard1Day1Swing1-Avail,StaPD_STEM
StaPD_STEM-4,"TeamDS13970,DS13974,DS14139",4,,"TeamDS13970,DS13974,DS14139",Graveyard1Day1Swing1-Avail,StaPD_STEM
Sta03_Test-1,"TeamDS14100,DS14101,DS14103",1,,"TeamDS14100,DS14101,DS14103",Graveyard1Day1Swing1-Avail,Sta03_Test
Sta.-1,"TeamDS14137,DS17203,DS17204",1,,"TeamDS14137,DS17203,DS17204",Graveyard1Day1Swing1-Avail,Sta.
Sta05_Test-1,"TeamDS17879,DS17882,DS17943",1,,"TeamDS17879,DS17882,DS17943",Graveyard1Day1Swing1-Avail,Sta05_Test
Sta04_Struct-1,"TeamDS14112,DS14226",1,,"TeamDS14112,DS14226",Day1Swing1-Avail,Sta04_Struct
Sta04_Struct-2,"TeamDS14161,DS14228",2,,"TeamDS14161,DS14228",Day1Swing1-Avail,Sta04_Struct
Sta04-LFF-1,"TeamDS14142,DS18525,DS18526",1,,"TeamDS14142,DS18525,DS18526",Graveyard1Day1Swing1-Avail,LFF
Sta04-LFF-2,TeamDS14143,2,,TeamDS14143,Day1-Avail,LFF
StaPD_Struct-1,"TeamDS13959,DS13963,DS16111",1,,"TeamDS13959,DS13963,DS16111",Graveyard1Day1Swing1-Avail,StaPD_Struct
StaPD_Struct-2,"TeamDS13960,DS13964,DS16112",2,,"TeamDS13960,DS13964,DS16112",Graveyard1Day1Swing1-Avail,StaPD_Struct
StaPD_Struct-3,"TeamDS13961,DS13965,DS16113",3,,"TeamDS13961,DS13965,DS16113",Graveyard1Day1Swing1-Avail,StaPD_Struct
StaPD_Struct-4,"TeamDS13962,DS13966",4,,"TeamDS13962,DS13966",Day1Swing1-Avail,StaPD_Struct
StaPD_Struct-5,"TeamDS14162,DS14164",5,,"TeamDS14162,DS14164",Day1Swing1-Avail,StaPD_Struct
Sta02_Struct-1,"TeamDS14048,DS14051,DS14054",1,,"TeamDS14048,DS14051,DS14054",Graveyard1Day1Swing1-Avail,Sta02_Struct
Sta02_Struct-2,"TeamDS14049,DS14052,DS14055",2,,"TeamDS14049,DS14052,DS14055",Graveyard1Day1Swing1-Avail,Sta02_Struct
Sta02_Struct-3,"TeamDS14050,DS14053,DS17979",3,,"TeamDS14050,DS14053,DS17979",Graveyard1Day1Swing1-Avail,Sta02_Struct
Sta02_Struct-4,"TeamDS17977,DS17978,DS17980",4,,"TeamDS17977,DS17978,DS17980",Graveyard1Day1Swing1-Avail,Sta02_Struct
Sta05_Struct-1,"TeamDS17867,DS17872,DS17876",1,,"TeamDS17867,DS17872,DS17876",Graveyard1Day1Swing1-Avail,Sta05_Struct
Sta05_Struct-2,"TeamDS17868,DS17873,DS17877",2,,"TeamDS17868,DS17873,DS17877",Graveyard1Day1Swing1-Avail,Sta05_Struct
Sta05_Struct-3,"TeamDS17869,DS17874,DS17878",3,,"TeamDS17869,DS17874,DS17878",Graveyard1Day1Swing1-Avail,Sta05_Struct
Sta05_Struct-4,"TeamDS17870,DS17875",4,,"TeamDS17870,DS17875",Day1Swing1-Avail,Sta05_Struct
Sta01_Struct-1,"TeamDS13997,DS14007,DS14015",1,,"TeamDS13997,DS14007,DS14015",Graveyard1Day1Swing1-Avail,Sta01_Struct
