Pool,Skill,Task,Quantity
Sta03_Struct,SKILL,Plane1_2BJ420-03-655C,1
Sta03_Struct,SKILL,Plane1_2BJ420-03-660C,1
Sta03_Struct,SKILL,Plane1_2BJ420-03-662C,1
Sta04_Struct,SKILL,Plane1_2BJ420-04-605C,1
Sta04_Struct,SKILL,Plane1_2BJ420-04-610C,1
Sta05_Struct,SKILL,Plane1_2BJ420-05-03FA,1
Sta05_Struct,SKILL,Plane1_2BJ420-05-08FA,1
Sta05_Struct,SKILL,Plane1_2BJ420-05-09FA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-079CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-081CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-082CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-083CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-084CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-085CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-088CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-094CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-507YA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-521YA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-522Y,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-540WA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-541WA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-601CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-606U,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-609UA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-611YA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-614Y,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-615CA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-621WA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-622WA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-625CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-650CA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-652CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-665UA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-671YA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-674YB,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-675CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-676Y,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-684UA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-691C,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-704UB,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-706YB,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-710YA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-718YA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-723C,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-728C,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-730C,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-750CA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-752WA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-754CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-756CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-758CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-760CA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-821WA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-823CB,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-825C,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-829CA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-831WA,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-833WA,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-837W,1
Sta01_Elec,SKILL,Plane1_2BJ430-01-839W,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-865CA,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-904CB,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-905CB,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-931C,1
Sta01_Struct,SKILL,Plane1_2BJ430-01-932C,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-957CA,2
Sta01_Plumb,SKILL,Plane1_2BJ430-01-979CB,1
Sta01_Plumb,SKILL,Plane1_2BJ430-01-980CB,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-021C,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-025W,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-027W,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-029W,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-031WA,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-047C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-048C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-051C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-052C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-053C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-054C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-055C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-056C,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-063W,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-064W,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-091Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-092Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-101Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-103Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-104Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-105YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-106Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-107Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-109Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-111W,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-117U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-118C,1
Sta02_Struct,SKILL,Plane1_2BJ430-02-1MV2A,4
Sta02_Plumb,SKILL,Plane1_2BJ430-02-220Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-222YA,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-224Y,1
Sta02_Elec,SKILL,Plane1_2BJ430-02-251W,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-253C,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-304Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-305Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-306Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-307Y,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-335U,1
Sta02_Plumb,SKILL,Plane1_2BJ430-02-352Y,1
