id_of_Module,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
Plane1,0.0,0.0,0.0,2017-11-07 06:00:00,2017-11-07 06:00:00,0,1
Plane1_01,0.0,403919.0,403919.0,2017-11-07 06:00:00,2017-11-11 22:11:59,0,1
Plane1_02,493200.0,946437.0,453237.0,2017-11-12 23:00:00,2017-11-18 04:53:57,0,1
Plane1_03,838800.0,1170360.0,331560.0,2017-11-16 23:00:00,2017-11-20 19:06:00,0,1
Plane1_04,1357200.0,1676160.0,318960.0,2017-11-22 23:00:00,2017-11-26 15:36:00,0,1
Plane1_05,1875600.0,2183037.0,307437.0,2017-11-28 23:00:00,2017-12-02 12:23:57,0,1
Plane2,0.0,0.0,0.0,2017-11-07 06:00:00,2017-11-07 06:00:00,0,1
Plane2_01,493200.0,786240.0,293040.0,2017-11-12 23:00:00,2017-11-16 08:24:00,0,1
Plane2_02,838800.0,1175039.0,336239.0,2017-11-16 23:00:00,2017-11-20 20:23:59,0,1
Plane2_03,1357200.0,1674000.0,316800.0,2017-11-22 23:00:00,2017-11-26 15:00:00,0,1
Plane2_04,1875600.0,2157839.0,282239.0,2017-11-28 23:00:00,2017-12-02 05:23:59,0,1
Plane2_05,2394000.0,2644559.0,250559.0,2017-12-04 23:00:00,2017-12-07 20:35:59,0,1
Plane3,0.0,0.0,0.0,2017-11-07 06:00:00,2017-11-07 06:00:00,0,1
Plane3_01,838800.0,1130760.0,291960.0,2017-11-16 23:00:00,2017-11-20 08:06:00,0,1
Plane3_02,1357200.0,1693439.0,336239.0,2017-11-22 23:00:00,2017-11-26 20:23:59,0,1
Plane3_03,1875600.0,2192400.0,316800.0,2017-11-28 23:00:00,2017-12-02 15:00:00,0,1
Plane3_04,2394000.0,2676239.0,282239.0,2017-12-04 23:00:00,2017-12-08 05:23:59,0,1
Plane3_05,2912400.0,3162959.0,250559.0,2017-12-10 23:00:00,2017-12-13 20:35:59,0,1
Plane4,0.0,0.0,0.0,2017-11-07 06:00:00,2017-11-07 06:00:00,0,1
Plane4_01,1357200.0,1653120.0,295920.0,2017-11-22 23:00:00,2017-11-26 09:12:00,0,1
Plane4_02,1875600.0,2211839.0,336239.0,2017-11-28 23:00:00,2017-12-02 20:23:59,0,1
Plane4_03,2394000.0,2710800.0,316800.0,2017-12-04 23:00:00,2017-12-08 15:00:00,0,1
Plane4_04,2912400.0,3181320.0,268920.0,2017-12-10 23:00:00,2017-12-14 01:42:00,0,1
Plane4_05,3258000.0,3508559.0,250559.0,2017-12-14 23:00:00,2017-12-17 20:35:59,0,1
Plane5,0.0,0.0,0.0,2017-11-07 06:00:00,2017-11-07 06:00:00,0,1
Plane5_01,1875600.0,2280239.0,404639.0,2017-11-28 23:00:00,2017-12-03 15:23:59,0,1
Plane5_02,2394000.0,2830677.0,436677.0,2017-12-04 23:00:00,2017-12-10 00:17:57,0,1
Plane5_03,2912400.0,3224160.0,311760.0,2017-12-10 23:00:00,2017-12-14 13:36:00,0,1
Plane5_04,3258000.0,3576960.0,318960.0,2017-12-14 23:00:00,2017-12-18 15:36:00,0,1
Plane5_05,3776400.0,4083837.0,307437.0,2017-12-20 23:00:00,2017-12-24 12:23:57,0,1
