id_of_Task,taskStartVar,taskEndVar,taskDurationVar,taskStartVarDate,taskEndVarDate,taskAbsenceVar,taskPresenceVar
Plane1_2BJ420-03-655C,838800.0,846000.0,7200.0,2017-11-16 23:00:00,2017-11-17 01:00:00,0,1
Plane1_2BJ420-03-660C,838800.0,846000.0,7200.0,2017-11-16 23:00:00,2017-11-17 01:00:00,0,1
Plane1_2BJ420-03-662C,846000.0,853200.0,7200.0,2017-11-17 01:00:00,2017-11-17 03:00:00,0,1
Plane1_2BJ420-04-605C,1357200.0,1364400.0,7200.0,2017-11-22 23:00:00,2017-11-23 01:00:00,0,1
Plane1_2BJ420-04-610C,1357200.0,1371600.0,14400.0,2017-11-22 23:00:00,2017-11-23 03:00:00,0,1
Plane1_2BJ420-05-03FA,2108520.0,2110320.0,1800.0,2017-12-01 15:42:00,2017-12-01 16:12:00,0,1
Plane1_2BJ420-05-08FA,2104560.0,2117160.0,12600.0,2017-12-01 14:36:00,2017-12-01 18:06:00,0,1
Plane1_2BJ420-05-09FA,2031120.0,2043720.0,12600.0,2017-11-30 18:12:00,2017-11-30 21:42:00,0,1
Plane1_2BJ430-01-079CA,102600.0,113400.0,10800.0,2017-11-08 10:30:00,2017-11-08 13:30:00,0,1
Plane1_2BJ430-01-081CA,123120.0,133920.0,10800.0,2017-11-08 16:12:00,2017-11-08 19:12:00,0,1
Plane1_2BJ430-01-082CA,138600.0,149400.0,10800.0,2017-11-08 20:30:00,2017-11-08 23:30:00,0,1
Plane1_2BJ430-01-083CA,82080.0,92880.0,10800.0,2017-11-08 04:48:00,2017-11-08 07:48:00,0,1
Plane1_2BJ430-01-084CA,137160.0,147960.0,10800.0,2017-11-08 20:06:00,2017-11-08 23:06:00,0,1
Plane1_2BJ430-01-085CA,99360.0,110160.0,10800.0,2017-11-08 09:36:00,2017-11-08 12:36:00,0,1
Plane1_2BJ430-01-088CA,127800.0,138600.0,10800.0,2017-11-08 17:30:00,2017-11-08 20:30:00,0,1
Plane1_2BJ430-01-094CA,126360.0,137160.0,10800.0,2017-11-08 17:06:00,2017-11-08 20:06:00,0,1
Plane1_2BJ430-01-507YA,66600.0,91800.0,25200.0,2017-11-08 00:30:00,2017-11-08 07:30:00,0,1
Plane1_2BJ430-01-521YA,17640.0,42840.0,25200.0,2017-11-07 10:54:00,2017-11-07 17:54:00,0,1
Plane1_2BJ430-01-522Y,50400.0,64800.0,14400.0,2017-11-07 20:00:00,2017-11-08 00:00:00,0,1
Plane1_2BJ430-01-540WA,0.0,3600.0,3600.0,2017-11-07 06:00:00,2017-11-07 07:00:00,0,1
Plane1_2BJ430-01-541WA,3600.0,5760.0,2160.0,2017-11-07 07:00:00,2017-11-07 07:36:00,0,1
Plane1_2BJ430-01-601CA,12240.0,17640.0,5400.0,2017-11-07 09:24:00,2017-11-07 10:54:00,0,1
Plane1_2BJ430-01-606U,39600.0,50400.0,10800.0,2017-11-07 17:00:00,2017-11-07 20:00:00,0,1
Plane1_2BJ430-01-609UA,42840.0,60840.0,18000.0,2017-11-07 17:54:00,2017-11-07 22:54:00,0,1
Plane1_2BJ430-01-611YA,60840.0,72000.0,11160.0,2017-11-07 22:54:00,2017-11-08 02:00:00,0,1
Plane1_2BJ430-01-614Y,14400.0,39600.0,25200.0,2017-11-07 10:00:00,2017-11-07 17:00:00,0,1
Plane1_2BJ430-01-615CA,5760.0,12240.0,6480.0,2017-11-07 07:36:00,2017-11-07 09:24:00,0,1
