Id,Capacity,Description,Internal Data,Long Name,Included In,Calendar
Plane1_Upper_Fwd_RH_Wing_Box,3,Plane1_Zones,Plane1_Upper_Fwd_RH_Wing_Box,Plane1_Upper_Fwd_RH_Wing_Box,,
Plane1_Whole_Ship,15,Plane1_Zones,Plane1_Whole_Ship,Plane1_Whole_Ship,,
Plane1_LH_F4_Tank/ICC_#3_Bay,1,Plane1_Zones,Plane1_LH_F4_Tank/ICC_#3_Bay,Plane1_LH_F4_Tank/ICC_#3_Bay,,
Plane1_Upper_Aft_RH_Wing_Box,3,Plane1_Zones,Plane1_Upper_Aft_RH_Wing_Box,Plane1_Upper_Aft_RH_Wing_Box,,
Plane1_Lower_Aft_LH_Wing_Box,2,Plane1_Zones,Plane1_Lower_Aft_LH_Wing_Box,Plane1_Lower_Aft_LH_Wing_Box,,
Plane1_Lower_Aft_RH_Wing_Box,2,Plane1_Zones,Plane1_Lower_Aft_RH_Wing_Box,Plane1_Lower_Aft_RH_Wing_Box,,
Plane1_LH_MLG,2,Plane1_Zones,Plane1_LH_MLG,Plane1_LH_MLG,,
Plane1_LH_Weapons_Bay,1,Plane1_Zones,Plane1_LH_Weapons_Bay,Plane1_LH_Weapons_Bay,,
Plane1_RH_F4_Tank,1,Plane1_Zones,Plane1_RH_F4_Tank,Plane1_RH_F4_Tank,,
Plane1_RH_MLG,2,Plane1_Zones,Plane1_RH_MLG,Plane1_RH_MLG,,
Plane1_ROLL_POST_LH,2,Plane1_Zones,Plane1_ROLL_POST_LH,Plane1_ROLL_POST_LH,,
Plane1_RH_Weapons_Bay,1,Plane1_Zones,Plane1_RH_Weapons_Bay,Plane1_RH_Weapons_Bay,,
Plane1_RH_F3_Tank,1,Plane1_Zones,Plane1_RH_F3_Tank,Plane1_RH_F3_Tank,,
Plane1_Utility_Bay,1,Plane1_Zones,Plane1_Utility_Bay,Plane1_Utility_Bay,,
Plane1_LH_F3_Tank,1,Plane1_Zones,Plane1_LH_F3_Tank,Plane1_LH_F3_Tank,,
Plane1_Lower_Fwd_RH_Wing_Box,2,Plane1_Zones,Plane1_Lower_Fwd_RH_Wing_Box,Plane1_Lower_Fwd_RH_Wing_Box,,
Plane1_Lower_Fwd_LH_Wing_Box,2,Plane1_Zones,Plane1_Lower_Fwd_LH_Wing_Box,Plane1_Lower_Fwd_LH_Wing_Box,,
Plane1_LH_Flaperon,1,Plane1_Zones,Plane1_LH_Flaperon,Plane1_LH_Flaperon,,
Plane1_ROLL_POST_RH,2,Plane1_Zones,Plane1_ROLL_POST_RH,Plane1_ROLL_POST_RH,,
Plane1_RH_Flaperon,1,Plane1_Zones,Plane1_RH_Flaperon,Plane1_RH_Flaperon,,
Plane1_Engine_Bay,2,Plane1_Zones,Plane1_Engine_Bay,Plane1_Engine_Bay,,
Plane1_Upper_Fwd_LH_Wing_Box,3,Plane1_Zones,Plane1_Upper_Fwd_LH_Wing_Box,Plane1_Upper_Fwd_LH_Wing_Box,,
