Id,Description,Fixed Duration,Long Name,Module,Task Type,Transition End Type,Transition Start Type
Plane1_2BJ420-03-655C,Plane1|2|03,7200,Plane1_2BJ420-03-655C,Plane1_03,JOB,,
Plane1_2BJ420-03-660C,Plane1|2|03,7200,Plane1_2BJ420-03-660C,Plane1_03,JOB,,
Plane1_2BJ420-03-662C,Plane1|2|03,7200,Plane1_2BJ420-03-662C,Plane1_03,JOB,,
Plane1_2BJ420-04-605C,Plane1|3|04,7200,Plane1_2BJ420-04-605C,Plane1_04,JOB,,
Plane1_2BJ420-04-610C,Plane1|3|04,14400,Plane1_2BJ420-04-610C,Plane1_04,JOB,,
Plane1_2BJ420-05-03FA,Plane1|4|05,1800,Plane1_2BJ420-05-03FA,Plane1_05,JOB,,
Plane1_2BJ420-05-08FA,Plane1|4|05,12600,Plane1_2BJ420-05-08FA,Plane1_05,JOB,,
Plane1_2BJ420-05-09FA,Plane1|4|05,12600,Plane1_2BJ420-05-09FA,Plane1_05,JOB,,
Plane1_2BJ430-01-079CA,Plane1|0|01,10800,Plane1_2BJ430-01-079CA,Plane1_01,JOB,,
Plane1_2BJ430-01-081CA,Plane1|0|01,10800,Plane1_2BJ430-01-081CA,Plane1_01,JOB,,
Plane1_2BJ430-01-082CA,Plane1|0|01,10800,Plane1_2BJ430-01-082CA,Plane1_01,JOB,,
Plane1_2BJ430-01-083CA,Plane1|0|01,10800,Plane1_2BJ430-01-083CA,Plane1_01,JOB,,
Plane1_2BJ430-01-084CA,Plane1|0|01,10800,Plane1_2BJ430-01-084CA,Plane1_01,JOB,,
Plane1_2BJ430-01-085CA,Plane1|0|01,10800,Plane1_2BJ430-01-085CA,Plane1_01,JOB,,
Plane1_2BJ430-01-088CA,Plane1|0|01,10800,Plane1_2BJ430-01-088CA,Plane1_01,JOB,,
Plane1_2BJ430-01-094CA,Plane1|0|01,10800,Plane1_2BJ430-01-094CA,Plane1_01,JOB,,
Plane1_2BJ430-01-507YA,Plane1|0|01,25200,Plane1_2BJ430-01-507YA,Plane1_01,JOB,,
Plane1_2BJ430-01-521YA,Plane1|0|01,25200,Plane1_2BJ430-01-521YA,Plane1_01,JOB,,
Plane1_2BJ430-01-522Y,Plane1|0|01,14400,Plane1_2BJ430-01-522Y,Plane1_01,JOB,,
Plane1_2BJ430-01-540WA,Plane1|0|01,3600,Plane1_2BJ430-01-540WA,Plane1_01,JOB,,
Plane1_2BJ430-01-541WA,Plane1|0|01,2160,Plane1_2BJ430-01-541WA,Plane1_01,JOB,,
Plane1_2BJ430-01-601CA,Plane1|0|01,5400,Plane1_2BJ430-01-601CA,Plane1_01,JOB,,
Plane1_2BJ430-01-606U,Plane1|0|01,10800,Plane1_2BJ430-01-606U,Plane1_01,JOB,,
Plane1_2BJ430-01-609UA,Plane1|0|01,18000,Plane1_2BJ430-01-609UA,Plane1_01,JOB,,
Plane1_2BJ430-01-611YA,Plane1|0|01,11160,Plane1_2BJ430-01-611YA,Plane1_01,JOB,,
Plane1_2BJ430-01-614Y,Plane1|0|01,25200,Plane1_2BJ430-01-614Y,Plane1_01,JOB,,
Plane1_2BJ430-01-615CA,Plane1|0|01,6480,Plane1_2BJ430-01-615CA,Plane1_01,JOB,,
Plane1_2BJ430-01-621WA,Plane1|0|01,3600,Plane1_2BJ430-01-621WA,Plane1_01,JOB,,
Plane1_2BJ430-01-622WA,Plane1|0|01,5400,Plane1_2BJ430-01-622WA,Plane1_01,JOB,,
Plane1_2BJ430-01-625CA,Plane1|0|01,7920,Plane1_2BJ430-01-625CA,Plane1_01,JOB,,
Plane1_2BJ430-01-650CA,Plane1|0|01,10800,Plane1_2BJ430-01-650CA,Plane1_01,JOB,,
Plane1_2BJ430-01-652CA,Plane1|0|01,3600,Plane1_2BJ430-01-652CA,Plane1_01,JOB,,
Plane1_2BJ430-01-665UA,Plane1|0|01,8280,Plane1_2BJ430-01-665UA,Plane1_01,JOB,,
Plane1_2BJ430-01-671YA,Plane1|0|01,27000,Plane1_2BJ430-01-671YA,Plane1_01,JOB,,
