id_of_Task,id_of_Individual_Resource,schedulingAssignmentVar
Plane1_2BJ420-03-655C,Sta03_Struct-1,1
Plane1_2BJ420-03-660C,Sta03_Struct-2,1
Plane1_2BJ420-03-662C,Sta03_Struct-1,1
Plane1_2BJ420-04-605C,Sta04_Struct-2,1
Plane1_2BJ420-04-610C,Sta04_Struct-1,1
Plane1_2BJ420-05-03FA,Sta05_Struct-3,1
Plane1_2BJ420-05-08FA,Sta05_Struct-1,1
Plane1_2BJ420-05-09FA,Sta05_Struct-3,1
Plane1_2BJ430-01-079CA,Sta01_Struct-7,1
Plane1_2BJ430-01-081CA,Sta01_Struct-14,1
Plane1_2BJ430-01-082CA,Sta01_Struct-9,1
Plane1_2BJ430-01-083CA,Sta01_Struct-6,1
Plane1_2BJ430-01-084CA,Sta01_Struct-10,1
Plane1_2BJ430-01-085CA,Sta01_Struct-5,1
Plane1_2BJ430-01-088CA,Sta01_Struct-9,1
Plane1_2BJ430-01-094CA,Sta01_Struct-10,1
Plane1_2BJ430-01-507YA,Sta01_Plumb-5,1
Plane1_2BJ430-01-521YA,Sta01_Plumb-1,1
Plane1_2BJ430-01-522Y,Sta01_Plumb-3,1
Plane1_2BJ430-01-540WA,Sta01_Elec-2,1
Plane1_2BJ430-01-541WA,Sta01_Elec-2,1
Plane1_2BJ430-01-601CA,Sta01_Plumb-1,1
Plane1_2BJ430-01-606U,Sta01_Plumb-3,1
Plane1_2BJ430-01-609UA,Sta01_Plumb-1,1
Plane1_2BJ430-01-611YA,Sta01_Plumb-1,1
Plane1_2BJ430-01-614Y,Sta01_Plumb-3,1
Plane1_2BJ430-01-615CA,Sta01_Plumb-1,1
Plane1_2BJ430-01-621WA,Sta01_Elec-2,1
Plane1_2BJ430-01-622WA,Sta01_Elec-1,1
Plane1_2BJ430-01-625CA,Sta01_Struct-2,1
Plane1_2BJ430-01-650CA,Sta01_Struct-3,1
Plane1_2BJ430-01-652CA,Sta01_Struct-11,1
Plane1_2BJ430-01-665UA,Sta01_Plumb-3,1
Plane1_2BJ430-01-671YA,Sta01_Plumb-5,1
Plane1_2BJ430-01-674YB,Sta01_Plumb-4,1
Plane1_2BJ430-01-675CA,Sta01_Plumb-3,1
Plane1_2BJ430-01-676Y,Sta01_Plumb-4,1
Plane1_2BJ430-01-684UA,Sta01_Plumb-1,1
Plane1_2BJ430-01-691C,Sta01_Struct-4,1
Plane1_2BJ430-01-704UB,Sta01_Plumb-2,1
Plane1_2BJ430-01-706YB,Sta01_Plumb-2,1
Plane1_2BJ430-01-710YA,Sta01_Plumb-3,1
Plane1_2BJ430-01-718YA,Sta01_Plumb-5,1
Plane1_2BJ430-01-723C,Sta01_Plumb-5,1
Plane1_2BJ430-01-728C,Sta01_Plumb-4,1
Plane1_2BJ430-01-730C,Sta01_Plumb-3,1
Plane1_2BJ430-01-750CA,Sta01_Plumb-4,1
Plane1_2BJ430-01-752WA,Sta01_Elec-1,1
Plane1_2BJ430-01-754CA,Sta01_Elec-2,1
Plane1_2BJ430-01-756CA,Sta01_Plumb-5,1
Plane1_2BJ430-01-758CA,Sta01_Plumb-2,1
Plane1_2BJ430-01-760CA,Sta01_Plumb-2,1
Plane1_2BJ430-01-821WA,Sta01_Elec-1,1
