machine,day,failure
M-01,Day-01,0
M-01,Day-02,0
M-01,Day-03,0
M-01,Day-04,2
M-01,Day-05,46
M-01,Day-06,49
M-01,Day-07,2
M-01,Day-08,0
M-01,Day-09,0
M-01,Day-10,0
M-01,Day-11,0
M-01,Day-12,0
M-01,Day-13,0
M-01,Day-14,0
M-01,Day-15,0
M-01,Day-16,0
M-01,Day-17,0
M-01,Day-18,0
M-01,Day-19,0
M-01,Day-20,0
M-02,Day-01,0
M-02,Day-02,0
M-02,Day-03,0
M-02,Day-04,2
M-02,Day-05,6
M-02,Day-06,15
M-02,Day-07,23
M-02,Day-08,24
M-02,Day-09,17
M-02,Day-10,6
M-02,Day-11,2
M-02,Day-12,0
M-02,Day-13,0
M-02,Day-14,0
M-02,Day-15,0
M-02,Day-16,0
M-02,Day-17,0
M-02,Day-18,0
M-02,Day-19,0
M-02,Day-20,0
M-03,Day-01,0
M-03,Day-02,0
M-03,Day-03,0
M-03,Day-04,0
M-03,Day-05,0
M-03,Day-06,0
M-03,Day-07,0
M-03,Day-08,0
M-03,Day-09,0
M-03,Day-10,0
M-03,Day-11,4
M-03,Day-12,15
M-03,Day-13,32
M-03,Day-14,26
M-03,Day-15,16
M-03,Day-16,3
M-03,Day-17,0
M-03,Day-18,0
M-03,Day-19,0
M-03,Day-20,0
M-04,Day-01,0
M-04,Day-02,0
M-04,Day-03,0
M-04,Day-04,0
M-04,Day-05,0
M-04,Day-06,0
M-04,Day-07,0
M-04,Day-08,0
M-04,Day-09,1
M-04,Day-10,5
M-04,Day-11,15
M-04,Day-12,26
M-04,Day-13,29
M-04,Day-14,16
M-04,Day-15,4
M-04,Day-16,1
M-04,Day-17,0
M-04,Day-18,0
M-04,Day-19,0
M-04,Day-20,0
M-05,Day-01,0
M-05,Day-02,0
M-05,Day-03,0
M-05,Day-04,0
M-05,Day-05,0
M-05,Day-06,0
M-05,Day-07,0
M-05,Day-08,0
M-05,Day-09,0
M-05,Day-10,0
M-05,Day-11,2
M-05,Day-12,14
M-05,Day-13,31
M-05,Day-14,36
M-05,Day-15,13
M-05,Day-16,2
M-05,Day-17,0
M-05,Day-18,0
M-05,Day-19,0
M-05,Day-20,0
M-06,Day-01,0
M-06,Day-02,0
M-06,Day-03,0
M-06,Day-04,0
M-06,Day-05,0
M-06,Day-06,0
M-06,Day-07,0
M-06,Day-08,0
M-06,Day-09,0
M-06,Day-10,0
M-06,Day-11,0
M-06,Day-12,1
M-06,Day-13,44
M-06,Day-14,51
M-06,Day-15,2
M-06,Day-16,0
M-06,Day-17,0
M-06,Day-18,0
M-06,Day-19,0
M-06,Day-20,0
M-07,Day-01,0
M-07,Day-02,3
M-07,Day-03,13
M-07,Day-04,34
M-07,Day-05,32
M-07,Day-06,13
M-07,Day-07,2
M-07,Day-08,0
M-07,Day-09,0
M-07,Day-10,0
M-07,Day-11,0
M-07,Day-12,0
M-07,Day-13,0
M-07,Day-14,0
M-07,Day-15,0
M-07,Day-16,0
M-07,Day-17,0
M-07,Day-18,0
M-07,Day-19,0
M-07,Day-20,0
M-08,Day-01,0
M-08,Day-02,0
M-08,Day-03,0
M-08,Day-04,0
M-08,Day-05,1
M-08,Day-06,6
M-08,Day-07,16
M-08,Day-08,24
M-08,Day-09,25
M-08,Day-10,17
M-08,Day-11,6
M-08,Day-12,1
M-08,Day-13,0
M-08,Day-14,0
M-08,Day-15,0
M-08,Day-16,0
M-08,Day-17,0
M-08,Day-18,0
M-08,Day-19,0
M-08,Day-20,0
M-09,Day-01,0
M-09,Day-02,0
M-09,Day-03,0
M-09,Day-04,0
M-09,Day-05,0
M-09,Day-06,9
M-09,Day-07,41
M-09,Day-08,40
M-09,Day-09,8
M-09,Day-10,0
M-09,Day-11,0
M-09,Day-12,0
M-09,Day-13,0
M-09,Day-14,0
M-09,Day-15,0
M-09,Day-16,0
M-09,Day-17,0
M-09,Day-18,0
M-09,Day-19,0
M-09,Day-20,0
M-10,Day-01,0
M-10,Day-02,4
M-10,Day-03,15
M-10,Day-04,28
M-10,Day-05,29
M-10,Day-06,15
M-10,Day-07,4
M-10,Day-08,1
M-10,Day-09,0
M-10,Day-10,0
M-10,Day-11,0
M-10,Day-12,0
M-10,Day-13,0
M-10,Day-14,0
M-10,Day-15,0
M-10,Day-16,0
M-10,Day-17,0
M-10,Day-18,0
M-10,Day-19,0
M-10,Day-20,0
M-11,Day-01,0
M-11,Day-02,0
M-11,Day-03,1
M-11,Day-04,7
M-11,Day-05,17
M-11,Day-06,25
M-11,Day-07,24
M-11,Day-08,13
M-11,Day-09,6
M-11,Day-10,2
M-11,Day-11,0
M-11,Day-12,0
M-11,Day-13,0
M-11,Day-14,0
M-11,Day-15,0
M-11,Day-16,0
M-11,Day-17,0
M-11,Day-18,0
M-11,Day-19,0
M-11,Day-20,0
M-12,Day-01,0
M-12,Day-02,0
M-12,Day-03,0
M-12,Day-04,0
M-12,Day-05,2
M-12,Day-06,13
M-12,Day-07,34
M-12,Day-08,33
M-12,Day-09,13
M-12,Day-10,2
M-12,Day-11,0
M-12,Day-12,0
M-12,Day-13,0
M-12,Day-14,0
M-12,Day-15,0
M-12,Day-16,0
M-12,Day-17,0
M-12,Day-18,0
M-12,Day-19,0
M-12,Day-20,0
M-13,Day-01,0
M-13,Day-02,0
M-13,Day-03,0
M-13,Day-04,0
M-13,Day-05,0
M-13,Day-06,0
M-13,Day-07,1
M-13,Day-08,6
M-13,Day-09,17
M-13,Day-10,25
M-13,Day-11,22
M-13,Day-12,16
M-13,Day-13,6
M-13,Day-14,2
M-13,Day-15,0
M-13,Day-16,0
M-13,Day-17,0
M-13,Day-18,0
M-13,Day-19,0
M-13,Day-20,0
M-14,Day-01,0
M-14,Day-02,0
M-14,Day-03,1
M-14,Day-04,6
M-14,Day-05,18
M-14,Day-06,24
M-14,Day-07,26
M-14,Day-08,14
M-14,Day-09,5
M-14,Day-10,2
M-14,Day-11,0
M-14,Day-12,0
M-14,Day-13,0
M-14,Day-14,0
M-14,Day-15,0
M-14,Day-16,0
M-14,Day-17,0
M-14,Day-18,0
M-14,Day-19,0
M-14,Day-20,0
M-15,Day-01,0
M-15,Day-02,0
M-15,Day-03,0
M-15,Day-04,0
M-15,Day-05,0
M-15,Day-06,0
M-15,Day-07,0
M-15,Day-08,0
M-15,Day-09,0
M-15,Day-10,0
M-15,Day-11,1
M-15,Day-12,15
M-15,Day-13,33
M-15,Day-14,34
M-15,Day-15,13
M-15,Day-16,1
M-15,Day-17,0
M-15,Day-18,0
M-15,Day-19,0
M-15,Day-20,0
M-16,Day-01,0
M-16,Day-02,0
M-16,Day-03,0
M-16,Day-04,0
M-16,Day-05,0
M-16,Day-06,0
M-16,Day-07,0
M-16,Day-08,0
M-16,Day-09,0
M-16,Day-10,1
M-16,Day-11,47
M-16,Day-12,48
M-16,Day-13,2
M-16,Day-14,0
M-16,Day-15,0
M-16,Day-16,0
M-16,Day-17,0
M-16,Day-18,0
M-16,Day-19,0
M-16,Day-20,0
M-17,Day-01,0
M-17,Day-02,0
M-17,Day-03,0
M-17,Day-04,0
M-17,Day-05,0
M-17,Day-06,0
M-17,Day-07,0
M-17,Day-08,0
M-17,Day-09,0
M-17,Day-10,4
M-17,Day-11,15
M-17,Day-12,28
M-17,Day-13,28
M-17,Day-14,16
M-17,Day-15,5
M-17,Day-16,0
M-17,Day-17,0
M-17,Day-18,0
M-17,Day-19,0
M-17,Day-20,0
M-18,Day-01,0
M-18,Day-02,0
M-18,Day-03,0
M-18,Day-04,0
M-18,Day-05,0
M-18,Day-06,0
M-18,Day-07,4
M-18,Day-08,16
M-18,Day-09,29
M-18,Day-10,28
M-18,Day-11,15
M-18,Day-12,5
M-18,Day-13,0
M-18,Day-14,0
M-18,Day-15,0
M-18,Day-16,0
M-18,Day-17,0
M-18,Day-18,0
M-18,Day-19,0
M-18,Day-20,0
M-19,Day-01,0
M-19,Day-02,0
M-19,Day-03,0
M-19,Day-04,0
M-19,Day-05,2
M-19,Day-06,6
M-19,Day-07,16
M-19,Day-08,22
M-19,Day-09,24
M-19,Day-10,17
M-19,Day-11,8
M-19,Day-12,1
M-19,Day-13,0
M-19,Day-14,0
M-19,Day-15,0
M-19,Day-16,0
M-19,Day-17,0
M-19,Day-18,0
M-19,Day-19,0
M-19,Day-20,0
M-20,Day-01,0
M-20,Day-02,0
M-20,Day-03,0
