id,capacity,remaining life,cost of maintenance,maintenance loss,cost of repair,repair loss,loss per life day,production value unit
M-01,130,5,50,50,100,100,20,10
M-02,100,9,50,50,100,100,20,10
M-03,140,14,50,50,100,100,20,10
M-04,140,13,50,50,100,100,20,10
M-05,130,15,50,50,100,100,20,10
M-06,140,15,50,50,100,100,20,10
M-07,130,5,50,50,100,100,20,10
M-08,80,15,50,50,100,100,20,10
M-09,120,11,50,50,100,100,20,10
M-10,140,5,50,50,100,100,20,10
M-11,110,8,50,50,100,100,20,10
M-12,100,13,50,50,100,100,20,10
M-13,80,19,50,50,100,100,20,10
M-14,130,7,50,50,100,100,20,10
M-15,120,20,50,50,100,100,20,10
M-16,130,13,50,50,100,100,20,10
M-17,140,14,50,50,100,100,20,10
M-18,130,13,50,50,100,100,20,10
M-19,110,12,50,50,100,100,20,10
M-20,80,12,50,50,100,100,20,10
M-21,80,9,50,50,100,100,20,10
M-22,110,10,50,50,100,100,20,10
M-23,100,18,50,50,100,100,20,10
M-24,110,10,50,50,100,100,20,10
M-25,130,15,50,50,100,100,20,10
M-26,90,15,50,50,100,100,20,10
M-27,90,11,50,50,100,100,20,10
M-28,90,20,50,50,100,100,20,10
M-29,120,16,50,50,100,100,20,10
M-30,120,14,50,50,100,100,20,10
M-31,130,13,50,50,100,100,20,10
M-32,120,11,50,50,100,100,20,10
M-33,110,20,50,50,100,100,20,10
M-34,100,6,50,50,100,100,20,10
M-35,90,6,50,50,100,100,20,10
M-36,100,15,50,50,100,100,20,10
M-37,130,16,50,50,100,100,20,10
M-38,100,17,50,50,100,100,20,10
M-39,80,11,50,50,100,100,20,10
M-40,110,12,50,50,100,100,20,10
M-41,130,10,50,50,100,100,20,10
M-42,140,5,50,50,100,100,20,10
M-43,100,7,50,50,100,100,20,10
M-44,80,11,50,50,100,100,20,10
M-45,140,16,50,50,100,100,20,10
M-46,90,8,50,50,100,100,20,10
M-47,90,10,50,50,100,100,20,10
M-48,120,18,50,50,100,100,20,10
M-49,110,10,50,50,100,100,20,10
M-50,130,9,50,50,100,100,20,10
M-51,120,9,50,50,100,100,20,10
M-52,110,20,50,50,100,100,20,10
M-53,100,10,50,50,100,100,20,10
M-54,80,11,50,50,100,100,20,10
M-55,140,20,50,50,100,100,20,10
M-56,130,8,50,50,100,100,20,10
M-57,80,12,50,50,100,100,20,10
M-58,110,5,50,50,100,100,20,10
M-59,110,16,50,50,100,100,20,10
M-60,90,6,50,50,100,100,20,10
M-61,150,14,50,50,100,100,20,10
M-62,80,13,50,50,100,100,20,10
M-63,100,18,50,50,100,100,20,10
M-64,80,9,50,50,100,100,20,10
M-65,140,15,50,50,100,100,20,10
M-66,120,10,50,50,100,100,20,10
M-67,110,13,50,50,100,100,20,10
M-68,140,19,50,50,100,100,20,10
M-69,110,17,50,50,100,100,20,10
M-70,80,7,50,50,100,100,20,10
M-71,120,7,50,50,100,100,20,10
M-72,130,13,50,50,100,100,20,10
M-73,120,14,50,50,100,100,20,10
M-74,90,8,50,50,100,100,20,10
M-75,140,17,50,50,100,100,20,10
M-76,110,5,50,50,100,100,20,10
M-77,140,9,50,50,100,100,20,10
M-78,130,18,50,50,100,100,20,10
M-79,130,9,50,50,100,100,20,10
M-80,80,19,50,50,100,100,20,10
M-81,80,18,50,50,100,100,20,10
M-82,80,13,50,50,100,100,20,10
M-83,120,8,50,50,100,100,20,10
M-84,80,20,50,50,100,100,20,10
M-85,90,5,50,50,100,100,20,10
M-86,100,19,50,50,100,100,20,10
M-87,120,14,50,50,100,100,20,10
M-88,80,12,50,50,100,100,20,10
M-89,80,10,50,50,100,100,20,10
M-90,110,7,50,50,100,100,20,10
M-91,110,12,50,50,100,100,20,10
M-92,80,12,50,50,100,100,20,10
M-93,130,11,50,50,100,100,20,10
M-94,130,10,50,50,100,100,20,10
M-95,110,9,50,50,100,100,20,10
M-96,120,5,50,50,100,100,20,10
M-97,110,18,50,50,100,100,20,10
M-98,110,15,50,50,100,100,20,10
M-99,130,9,50,50,100,100,20,10
M-100,110,9,50,50,100,100,20,10
M-101,100,17,50,50,100,100,20,10
M-102,100,20,50,50,100,100,20,10
M-103,90,20,50,50,100,100,20,10
M-104,130,16,50,50,100,100,20,10
M-105,90,16,50,50,100,100,20,10
M-106,80,19,50,50,100,100,20,10
M-107,120,11,50,50,100,100,20,10
M-108,90,12,50,50,100,100,20,10
M-109,100,13,50,50,100,100,20,10
M-110,120,20,50,50,100,100,20,10
M-111,90,19,50,50,100,100,20,10
M-112,100,20,50,50,100,100,20,10
M-113,150,16,50,50,100,100,20,10
M-114,130,10,50,50,100,100,20,10
M-115,140,19,50,50,100,100,20,10
M-116,120,6,50,50,100,100,20,10
M-117,120,5,50,50,100,100,20,10
M-118,90,17,50,50,100,100,20,10
M-119,100,16,50,50,100,100,20,10
M-120,110,13,50,50,100,100,20,10
M-121,110,6,50,50,100,100,20,10
M-122,130,5,50,50,100,100,20,10
M-123,140,19,50,50,100,100,20,10
M-124,140,19,50,50,100,100,20,10
M-125,80,9,50,50,100,100,20,10
M-126,120,6,50,50,100,100,20,10
M-127,90,13,50,50,100,100,20,10
M-128,110,12,50,50,100,100,20,10
M-129,120,14,50,50,100,100,20,10
M-130,100,15,50,50,100,100,20,10
M-131,130,8,50,50,100,100,20,10
M-132,130,14,50,50,100,100,20,10
M-133,80,8,50,50,100,100,20,10
M-134,110,19,50,50,100,100,20,10
M-135,140,10,50,50,100,100,20,10
M-136,80,17,50,50,100,100,20,10
M-137,110,7,50,50,100,100,20,10
M-138,80,5,50,50,100,100,20,10
M-139,140,9,50,50,100,100,20,10
M-140,80,11,50,50,100,100,20,10
M-141,100,19,50,50,100,100,20,10
M-142,90,9,50,50,100,100,20,10
M-143,90,9,50,50,100,100,20,10
M-144,140,14,50,50,100,100,20,10
M-145,110,9,50,50,100,100,20,10
M-146,90,6,50,50,100,100,20,10
M-147,130,9,50,50,100,100,20,10
M-148,110,9,50,50,100,100,20,10
M-149,100,18,50,50,100,100,20,10
M-150,100,6,50,50,100,100,20,10
M-151,140,7,50,50,100,100,20,10
M-152,120,11,50,50,100,100,20,10
M-153,110,17,50,50,100,100,20,10
M-154,80,15,50,50,100,100,20,10
M-155,120,7,50,50,100,100,20,10
M-156,120,14,50,50,100,100,20,10
M-157,120,20,50,50,100,100,20,10
M-158,140,9,50,50,100,100,20,10
M-159,130,12,50,50,100,100,20,10
M-160,150,20,50,50,100,100,20,10
M-161,90,19,50,50,100,100,20,10
M-162,140,18,50,50,100,100,20,10
M-163,80,12,50,50,100,100,20,10
M-164,80,9,50,50,100,100,20,10
M-165,110,19,50,50,100,100,20,10
M-166,140,10,50,50,100,100,20,10
M-167,130,7,50,50,100,100,20,10
M-168,110,19,50,50,100,100,20,10
M-169,130,10,50,50,100,100,20,10
M-170,80,14,50,50,100,100,20,10
M-171,140,7,50,50,100,100,20,10
M-172,100,14,50,50,100,100,20,10
M-173,100,8,50,50,100,100,20,10
M-174,130,19,50,50,100,100,20,10
M-175,140,20,50,50,100,100,20,10
M-176,90,12,50,50,100,100,20,10
M-177,100,18,50,50,100,100,20,10
M-178,80,16,50,50,100,100,20,10
M-179,90,5,50,50,100,100,20,10
M-180,100,16,50,50,100,100,20,10
M-181,80,20,50,50,100,100,20,10
M-182,100,18,50,50,100,100,20,10
M-183,140,15,50,50,100,100,20,10
M-184,80,20,50,50,100,100,20,10
M-185,90,5,50,50,100,100,20,10
M-186,140,6,50,50,100,100,20,10
M-187,140,5,50,50,100,100,20,10
M-188,130,11,50,50,100,100,20,10
M-189,120,14,50,50,100,100,20,10
M-190,120,6,50,50,100,100,20,10
M-191,80,8,50,50,100,100,20,10
M-192,80,5,50,50,100,100,20,10
M-193,120,16,50,50,100,100,20,10
M-194,120,9,50,50,100,100,20,10
M-195,110,17,50,50,100,100,20,10
M-196,80,13,50,50,100,100,20,10
M-197,110,18,50,50,100,100,20,10
M-198,120,15,50,50,100,100,20,10
M-199,140,12,50,50,100,100,20,10
M-200,90,19,50,50,100,100,20,10
M-201,90,12,50,50,100,100,20,10
M-202,140,13,50,50,100,100,20,10
M-203,150,17,50,50,100,100,20,10
M-204,130,9,50,50,100,100,20,10
M-205,90,15,50,50,100,100,20,10
M-206,100,14,50,50,100,100,20,10
M-207,130,7,50,50,100,100,20,10
M-208,110,10,50,50,100,100,20,10
M-209,90,17,50,50,100,100,20,10
M-210,130,16,50,50,100,100,20,10
M-211,120,7,50,50,100,100,20,10
M-212,110,18,50,50,100,100,20,10
M-213,100,5,50,50,100,100,20,10
M-214,130,9,50,50,100,100,20,10
M-215,130,11,50,50,100,100,20,10
M-216,100,19,50,50,100,100,20,10
M-217,100,8,50,50,100,100,20,10
M-218,100,6,50,50,100,100,20,10
M-219,100,12,50,50,100,100,20,10
M-220,120,14,50,50,100,100,20,10
M-221,130,12,50,50,100,100,20,10
M-222,80,19,50,50,100,100,20,10
M-223,130,20,50,50,100,100,20,10
M-224,110,7,50,50,100,100,20,10
M-225,90,7,50,50,100,100,20,10
M-226,120,16,50,50,100,100,20,10
M-227,110,18,50,50,100,100,20,10
M-228,140,7,50,50,100,100,20,10
M-229,80,6,50,50,100,100,20,10
