machine,day,production
M-01,Day-01,106
M-01,Day-02,104
M-01,Day-03,130
M-01,Day-04,130
M-01,Day-05,130
M-01,Day-06,130
M-01,Day-07,104
M-01,Day-08,104
M-01,Day-09,102
M-01,Day-10,130
M-01,Day-11,99
M-01,Day-12,130
M-01,Day-13,130
M-01,Day-14,122
M-01,Day-15,120
M-01,Day-16,130
M-01,Day-17,110
M-01,Day-18,130
M-01,Day-19,105
M-01,Day-20,100
M-02,Day-01,56
M-02,Day-02,64
M-02,Day-03,57
M-02,Day-04,56
M-02,Day-05,73
M-02,Day-06,80
M-02,Day-07,78
M-02,Day-08,81
M-02,Day-09,76
M-02,Day-10,82
M-02,Day-11,63
M-02,Day-12,84
M-02,Day-13,79
M-02,Day-14,77
M-02,Day-15,63
M-02,Day-16,64
M-02,Day-17,65
M-02,Day-18,72
M-02,Day-19,79
M-02,Day-20,65
M-03,Day-01,116
M-03,Day-02,140
M-03,Day-03,138
M-03,Day-04,118
M-03,Day-05,140
M-03,Day-06,140
M-03,Day-07,127
M-03,Day-08,108
M-03,Day-09,110
M-03,Day-10,140
M-03,Day-11,140
M-03,Day-12,123
M-03,Day-13,132
M-03,Day-14,107
M-03,Day-15,140
M-03,Day-16,126
M-03,Day-17,137
M-03,Day-18,124
M-03,Day-19,134
M-03,Day-20,121
M-04,Day-01,86
M-04,Day-02,105
M-04,Day-03,84
M-04,Day-04,83
M-04,Day-05,111
M-04,Day-06,84
M-04,Day-07,97
M-04,Day-08,95
M-04,Day-09,92
M-04,Day-10,116
M-04,Day-11,117
M-04,Day-12,90
M-04,Day-13,114
M-04,Day-14,87
M-04,Day-15,85
M-04,Day-16,100
M-04,Day-17,109
M-04,Day-18,102
M-04,Day-19,109
M-04,Day-20,81
M-05,Day-01,89
M-05,Day-02,85
M-05,Day-03,78
M-05,Day-04,87
M-05,Day-05,102
M-05,Day-06,99
M-05,Day-07,108
M-05,Day-08,111
M-05,Day-09,81
M-05,Day-10,109
M-05,Day-11,87
M-05,Day-12,86
M-05,Day-13,89
M-05,Day-14,88
M-05,Day-15,86
M-05,Day-16,107
M-05,Day-17,76
M-05,Day-18,97
M-05,Day-19,105
M-05,Day-20,89
M-06,Day-01,104
M-06,Day-02,113
M-06,Day-03,136
M-06,Day-04,119
M-06,Day-05,122
M-06,Day-06,124
M-06,Day-07,93
M-06,Day-08,133
M-06,Day-09,93
M-06,Day-10,127
M-06,Day-11,132
M-06,Day-12,134
M-06,Day-13,112
M-06,Day-14,108
M-06,Day-15,132
M-06,Day-16,126
M-06,Day-17,95
M-06,Day-18,106
M-06,Day-19,114
M-06,Day-20,106
M-07,Day-01,98
M-07,Day-02,130
M-07,Day-03,130
M-07,Day-04,122
M-07,Day-05,130
M-07,Day-06,108
M-07,Day-07,101
M-07,Day-08,106
M-07,Day-09,128
M-07,Day-10,130
M-07,Day-11,130
M-07,Day-12,104
M-07,Day-13,118
M-07,Day-14,109
M-07,Day-15,130
M-07,Day-16,124
M-07,Day-17,121
M-07,Day-18,123
M-07,Day-19,130
M-07,Day-20,121
M-08,Day-01,70
M-08,Day-02,66
M-08,Day-03,59
M-08,Day-04,52
M-08,Day-05,74
M-08,Day-06,76
M-08,Day-07,72
M-08,Day-08,54
M-08,Day-09,78
M-08,Day-10,71
M-08,Day-11,68
M-08,Day-12,56
M-08,Day-13,67
M-08,Day-14,62
M-08,Day-15,70
M-08,Day-16,79
M-08,Day-17,75
M-08,Day-18,57
M-08,Day-19,59
M-08,Day-20,60
M-09,Day-01,120
M-09,Day-02,88
M-09,Day-03,88
M-09,Day-04,120
M-09,Day-05,120
M-09,Day-06,115
M-09,Day-07,109
M-09,Day-08,104
M-09,Day-09,120
M-09,Day-10,120
M-09,Day-11,120
M-09,Day-12,96
M-09,Day-13,120
M-09,Day-14,89
M-09,Day-15,115
M-09,Day-16,102
M-09,Day-17,91
M-09,Day-18,120
M-09,Day-19,120
M-09,Day-20,110
M-10,Day-01,84
M-10,Day-02,95
M-10,Day-03,105
M-10,Day-04,118
M-10,Day-05,106
M-10,Day-06,88
M-10,Day-07,111
M-10,Day-08,102
M-10,Day-09,100
M-10,Day-10,104
M-10,Day-11,86
M-10,Day-12,87
M-10,Day-13,87
M-10,Day-14,97
M-10,Day-15,83
M-10,Day-16,109
M-10,Day-17,83
M-10,Day-18,80
M-10,Day-19,84
M-10,Day-20,105
M-11,Day-01,99
M-11,Day-02,100
M-11,Day-03,92
M-11,Day-04,90
M-11,Day-05,86
M-11,Day-06,97
M-11,Day-07,107
M-11,Day-08,92
M-11,Day-09,87
M-11,Day-10,90
M-11,Day-11,91
M-11,Day-12,81
M-11,Day-13,106
M-11,Day-14,84
M-11,Day-15,95
M-11,Day-16,87
M-11,Day-17,97
M-11,Day-18,110
M-11,Day-19,82
M-11,Day-20,76
M-12,Day-01,75
M-12,Day-02,74
M-12,Day-03,79
M-12,Day-04,63
M-12,Day-05,64
M-12,Day-06,68
M-12,Day-07,79
M-12,Day-08,80
M-12,Day-09,75
M-12,Day-10,80
M-12,Day-11,72
M-12,Day-12,69
M-12,Day-13,78
M-12,Day-14,77
M-12,Day-15,84
M-12,Day-16,66
M-12,Day-17,77
M-12,Day-18,87
M-12,Day-19,66
M-12,Day-20,89
M-13,Day-01,61
M-13,Day-02,62
M-13,Day-03,61
M-13,Day-04,80
M-13,Day-05,80
M-13,Day-06,64
M-13,Day-07,76
M-13,Day-08,69
M-13,Day-09,80
M-13,Day-10,80
M-13,Day-11,72
M-13,Day-12,75
M-13,Day-13,63
M-13,Day-14,62
M-13,Day-15,80
M-13,Day-16,70
M-13,Day-17,71
M-13,Day-18,79
M-13,Day-19,80
M-13,Day-20,80
M-14,Day-01,99
M-14,Day-02,98
M-14,Day-03,119
M-14,Day-04,113
M-14,Day-05,113
M-14,Day-06,97
M-14,Day-07,87
M-14,Day-08,112
M-14,Day-09,125
M-14,Day-10,92
M-14,Day-11,124
M-14,Day-12,105
M-14,Day-13,105
M-14,Day-14,93
M-14,Day-15,86
M-14,Day-16,109
M-14,Day-17,117
M-14,Day-18,98
M-14,Day-19,110
M-14,Day-20,121
M-15,Day-01,108
M-15,Day-02,85
M-15,Day-03,120
M-15,Day-04,87
M-15,Day-05,91
M-15,Day-06,107
M-15,Day-07,95
M-15,Day-08,83
M-15,Day-09,120
M-15,Day-10,104
M-15,Day-11,91
M-15,Day-12,120
M-15,Day-13,110
M-15,Day-14,120
M-15,Day-15,100
M-15,Day-16,120
M-15,Day-17,99
M-15,Day-18,93
M-15,Day-19,120
M-15,Day-20,103
M-16,Day-01,115
M-16,Day-02,107
M-16,Day-03,102
M-16,Day-04,87
M-16,Day-05,94
M-16,Day-06,96
M-16,Day-07,120
M-16,Day-08,117
M-16,Day-09,103
M-16,Day-10,95
M-16,Day-11,124
M-16,Day-12,101
M-16,Day-13,98
M-16,Day-14,86
M-16,Day-15,111
M-16,Day-16,121
M-16,Day-17,94
M-16,Day-18,110
M-16,Day-19,120
M-16,Day-20,93
M-17,Day-01,107
M-17,Day-02,131
M-17,Day-03,134
M-17,Day-04,130
M-17,Day-05,140
M-17,Day-06,110
M-17,Day-07,140
M-17,Day-08,102
M-17,Day-09,106
M-17,Day-10,140
M-17,Day-11,102
M-17,Day-12,140
M-17,Day-13,111
M-17,Day-14,140
M-17,Day-15,118
M-17,Day-16,133
M-17,Day-17,140
M-17,Day-18,123
M-17,Day-19,127
M-17,Day-20,138
M-18,Day-01,95
M-18,Day-02,93
M-18,Day-03,83
M-18,Day-04,89
M-18,Day-05,77
M-18,Day-06,103
M-18,Day-07,90
M-18,Day-08,87
M-18,Day-09,80
M-18,Day-10,94
M-18,Day-11,94
M-18,Day-12,77
M-18,Day-13,93
M-18,Day-14,91
M-18,Day-15,94
M-18,Day-16,94
M-18,Day-17,95
M-18,Day-18,80
M-18,Day-19,75
M-18,Day-20,106
M-19,Day-01,66
M-19,Day-02,92
M-19,Day-03,91
M-19,Day-04,88
M-19,Day-05,65
M-19,Day-06,81
M-19,Day-07,73
M-19,Day-08,85
M-19,Day-09,73
M-19,Day-10,85
M-19,Day-11,72
M-19,Day-12,66
M-19,Day-13,75
M-19,Day-14,68
M-19,Day-15,84
M-19,Day-16,75
M-19,Day-17,94
M-19,Day-18,71
M-19,Day-19,75
M-19,Day-20,68
M-20,Day-01,70
M-20,Day-02,66
M-20,Day-03,69
M-20,Day-04,53
M-20,Day-05,76
M-20,Day-06,69
M-20,Day-07,67
M-20,Day-08,62
M-20,Day-09,52
M-20,Day-10,55
M-20,Day-11,68
M-20,Day-12,75
M-20,Day-13,52
M-20,Day-14,67
M-20,Day-15,62
M-20,Day-16,63
M-20,Day-17,72
M-20,Day-18,75
M-20,Day-19,64
M-20,Day-20,75
M-21,Day-01,72
M-21,Day-02,71
M-21,Day-03,71
M-21,Day-04,57
M-21,Day-05,67
M-21,Day-06,62
M-21,Day-07,69
M-21,Day-08,65
M-21,Day-09,77
M-21,Day-10,66
M-21,Day-11,57
M-21,Day-12,74
M-21,Day-13,79
M-21,Day-14,56
M-21,Day-15,75
M-21,Day-16,63
M-21,Day-17,64
M-21,Day-18,64
M-21,Day-19,80
M-21,Day-20,68
M-22,Day-01,110
M-22,Day-02,106
M-22,Day-03,95
M-22,Day-04,82
M-22,Day-05,84
M-22,Day-06,89
M-22,Day-07,99
M-22,Day-08,92
M-22,Day-09,88
M-22,Day-10,91
M-22,Day-11,103
M-22,Day-12,91
M-22,Day-13,96
M-22,Day-14,90
M-22,Day-15,95
M-22,Day-16,110
M-22,Day-17,110
M-22,Day-18,107
M-22,Day-19,93
M-22,Day-20,110
M-23,Day-01,90
M-23,Day-02,100
M-23,Day-03,100
M-23,Day-04,100
M-23,Day-05,91
M-23,Day-06,93
M-23,Day-07,100
M-23,Day-08,100
M-23,Day-09,83
M-23,Day-10,100
M-23,Day-11,100
M-23,Day-12,96
M-23,Day-13,100
M-23,Day-14,83
M-23,Day-15,100
M-23,Day-16,86
M-23,Day-17,100
M-23,Day-18,81
M-23,Day-19,100
M-23,Day-20,100
M-24,Day-01,90
M-24,Day-02,74
M-24,Day-03,78
M-24,Day-04,82
M-24,Day-05,77
M-24,Day-06,81
M-24,Day-07,73
M-24,Day-08,65
M-24,Day-09,67
M-24,Day-10,88
M-24,Day-11,65
M-24,Day-12,73
M-24,Day-13,92
M-24,Day-14,86
M-24,Day-15,90
M-24,Day-16,89
M-24,Day-17,89
M-24,Day-18,87
M-24,Day-19,77
M-24,Day-20,83
M-25,Day-01,114
M-25,Day-02,126
M-25,Day-03,91
M-25,Day-04,95
M-25,Day-05,90
M-25,Day-06,103
M-25,Day-07,122
M-25,Day-08,100
M-25,Day-09,96
M-25,Day-10,114
M-25,Day-11,100
M-25,Day-12,107
M-25,Day-13,92
M-25,Day-14,105
M-25,Day-15,106
M-25,Day-16,114
