machine,day,production
M-01,Day-01,100
M-01,Day-02,96
M-01,Day-03,97
M-01,Day-04,100
M-01,Day-05,77
M-01,Day-06,100
M-01,Day-07,94
M-01,Day-08,76
M-01,Day-09,83
M-01,Day-10,81
M-01,Day-11,90
M-01,Day-12,83
M-01,Day-13,79
M-01,Day-14,100
M-01,Day-15,100
M-02,Day-01,94
M-02,Day-02,93
M-02,Day-03,91
M-02,Day-04,86
M-02,Day-05,107
M-02,Day-06,93
M-02,Day-07,82
M-02,Day-08,101
M-02,Day-09,97
M-02,Day-10,104
M-02,Day-11,78
M-02,Day-12,116
M-02,Day-13,103
M-02,Day-14,106
M-02,Day-15,116
M-03,Day-01,88
M-03,Day-02,118
M-03,Day-03,91
M-03,Day-04,109
M-03,Day-05,124
M-03,Day-06,102
M-03,Day-07,107
M-03,Day-08,124
M-03,Day-09,88
M-03,Day-10,121
M-03,Day-11,109
M-03,Day-12,92
M-03,Day-13,91
M-03,Day-14,87
M-03,Day-15,118
M-04,Day-01,140
M-04,Day-02,140
M-04,Day-03,113
M-04,Day-04,125
M-04,Day-05,137
M-04,Day-06,134
M-04,Day-07,105
M-04,Day-08,137
M-04,Day-09,140
M-04,Day-10,140
M-04,Day-11,136
M-04,Day-12,111
M-04,Day-13,118
M-04,Day-14,103
M-04,Day-15,118
M-05,Day-01,70
M-05,Day-02,72
M-05,Day-03,55
M-05,Day-04,62
M-05,Day-05,59
M-05,Day-06,67
M-05,Day-07,54
M-05,Day-08,66
M-05,Day-09,68
M-05,Day-10,64
M-05,Day-11,55
M-05,Day-12,76
M-05,Day-13,69
M-05,Day-14,72
M-05,Day-15,59
