dcId,dcCity,shipCost,storeCost
2301,Brockton,0.0,0.0
6010,Bristol,0.0,0.0
7087,Union City,0.0,0.0
10025,New York,2.355363903916441e-10,9.094947017729282e-11
19143,Philadelphia,2186081.8399999994,752299.9999999999
21234,Parkville,1.0063331501442008e-10,0.0
27406,Greensboro,0.0,0.0
29445,Goose Creek,0.0,0.0
30044,Lawrenceville,0.0,0.0
32203,Jacksonville,0.0,0.0
35215,Birmingham,0.0,0.0
38109,Memphis,0.0,0.0
40601,Frankfort,0.0,0.0
44035,Akron,959494.01,375200.0
45401,Dayton,0.0,0.0
47906,West Lafayette,0.0,0.0
48180,Taylor,0.0,0.0
52001,Dubuque,0.0,0.0
53511,Beloit,0.0,0.0
60623,Chicago,0.0,0.0
63376,Saint Peters,0.0,0.0
74012,Broken Arrow,0.0,0.0
75221,Dallas,804215.15,200700.0
80126,Denver,2303166.4099999997,333500.0
85032,Phoenix,0.0,0.0
90201,Los Angeles,1488866.5799999998,1015300.0
94104,San Francisco,0.0,0.0
97301,Salem,0.0,0.0
