department,day,start_time,end_time,min_req,max_req
Emergency,Monday,2,8,3,5
Emergency,Monday,8,12,4,7
Emergency,Monday,12,18,2,5
Emergency,Monday,18,2,3,7
Consultation,Monday,8,12,10,13
Consultation,Monday,12,18,8,12
Emergency,Tuesday,2,8,3,5
Emergency,Tuesday,8,12,4,7
Emergency,Tuesday,12,18,2,5
Emergency,Tuesday,18,2,3,7
Consultation,Tuesday,8,12,10,13
Consultation,Tuesday,12,18,8,12
Emergency,Wednesday,2,8,3,5
Emergency,Wednesday,8,12,4,7
Emergency,Wednesday,12,18,2,5
Emergency,Wednesday,18,2,3,7
Consultation,Wednesday,8,12,10,13
Consultation,Wednesday,12,18,8,12
Emergency,Thursday,2,8,3,5
Emergency,Thursday,8,12,4,7
Emergency,Thursday,12,18,2,5
Emergency,Thursday,18,2,3,7
Consultation,Thursday,8,12,10,13
Consultation,Thursday,12,18,8,12
Emergency,Friday,2,8,3,5
Emergency,Friday,8,12,4,7
Emergency,Friday,12,18,2,5
Emergency,Friday,18,2,3,7
Consultation,Friday,8,12,10,13
Consultation,Friday,12,18,8,12
Emergency,Saturday,2,12,5,7
Emergency,Saturday,12,20,7,9
Emergency,Saturday,20,2,12,12
Emergency,Sunday,2,12,5,7
Emergency,Sunday,12,20,7,9
Emergency,Sunday,20,2,12,12
