CustomerID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV
C-10154,M,Women's Sportwear,427.123,NO,Direct Mail,42712.3
C-10157,F,Women's Career,253.567,NO,Email,25356.7
C-10160,M,Women's Shoes,206.176,NO,Email,20617.6
C-10162,F,Men's Casual,236.883,NO,Mobile,23688.3
C-10163,M,Women's Shoes,188.133,YES,Mobile,18813.3
C-10164,F,Men's Sportswear,464.867,NO,Mobile,46486.7
C-10165,F,Men's Career,140.467,YES,Email,14046.7
C-10167,M,Home goods,222.034,YES,Email,22203.4
C-10169,F,Women's Sportwear,229.75,NO,Direct Mail,22975
C-10170,M,Women's Career,145.692,NO,Email,14569.2
C-10171,F,Women's Shoes,103.282,NO,Email,10328.2
C-10172,F,Men's Casual,137.796,YES,Email,13779.6
C-10173,M,Women's Shoes,365.09,YES,Mobile,36509
C-10175,F,Men's Sportswear,102.011,YES,Direct Mail,10201.1
C-10176,F,Men's Career,103.736,NO,Email,10373.6
C-10177,F,Home goods,348.222,YES,Direct Mail,34822.2
C-10179,M,Women's Sportwear,422.48,YES,Mobile,42248
C-10180,F,Women's Career,181.688,YES,Email,18168.8
C-10181,F,Women's Shoes,107.53,YES,Email,10753
C-10185,F,Men's Casual,323.184,YES,Mobile,32318.4
C-10189,M,Women's Shoes,317.2,YES,Email,31720
C-10191,F,Men's Sportswear,368.328,YES,Email,36832.8
C-10192,F,Men's Career,311.787,YES,Direct Mail,31178.7
C-10195,M,Home goods,216.813,YES,Email,21681.3
C-10197,M,Women's Sportwear,298.536,YES,Email,29853.6
C-10198,F,Women's Career,152.7,YES,Mobile,15270
C-10202,F,Women's Shoes,322.318,NO,Direct Mail,32231.8
C-10203,M,Men's Casual,425.669,YES,Mobile,42566.9
C-10204,F,Women's Shoes,445.913,YES,Email,44591.3
C-10205,M,Men's Sportswear,491.367,NO,Direct Mail,49136.7
C-10206,M,Men's Career,403.398,NO,Email,40339.8
C-10209,F,Home goods,389.995,YES,Email,38999.5
