ID,Customer ID,Gender,Affinity,Annual Spend,Loyalty Program Member,Response Channel,CLV,Offer,Offername
C-10162-O-9,C-10162,F,Men's Casual,236.883,NO,Mobile,23688.3,O-9,Save 20% Career Suits
C-10164-O-12,C-10164,F,Men's Sportswear,464.867,NO,Mobile,46486.7,O-12,Womens Sweather Sale
C-10173-O-5,C-10173,M,Women's Shoes,365.09,YES,Mobile,36509,O-5,Home Closeout & Lancome Gift with Purchase
C-10173-O-10,C-10173,M,Women's Shoes,365.09,YES,Mobile,36509,O-10,Shoe and Handbag sale
C-10173-O-12,C-10173,M,Women's Shoes,365.09,YES,Mobile,36509,O-12,Womens Sweather Sale
C-10176-O-9,C-10176,F,Men's Career,103.736,NO,Email,10373.6,O-9,Save 20% Career Suits
C-10180-O-2,C-10180,F,Women's Career,181.688,YES,Email,18168.8,O-2,Free shipping on orders over $49
C-10198-O-6,C-10198,F,Women's Career,152.7,YES,Mobile,15270,O-6,Home Closeout & Shoe and Handbag sale
C-10203-O-7,C-10203,M,Men's Casual,425.669,YES,Mobile,42566.9,O-7,Lancome Gift with Purchase
C-10209-O-1,C-10209,F,Home goods,389.995,YES,Email,38999.5,O-1,Anastasia Beverly Hills
C-10209-O-4,C-10209,F,Home goods,389.995,YES,Email,38999.5,O-4,Home Closeout
C-10209-O-11,C-10209,F,Home goods,389.995,YES,Email,38999.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-10212-O-2,C-10212,M,Women's Shoes,103.719,YES,Mobile,10371.9,O-2,Free shipping on orders over $49
C-10214-O-6,C-10214,M,Men's Casual,291.748,YES,Direct Mail,29174.8,O-6,Home Closeout & Shoe and Handbag sale
C-10214-O-12,C-10214,M,Men's Casual,291.748,YES,Direct Mail,29174.8,O-12,Womens Sweather Sale
C-10219-O-2,C-10219,M,Women's Shoes,468.983,YES,Mobile,46898.3,O-2,Free shipping on orders over $49
C-10222-O-8,C-10222,F,Home goods,385.113,YES,Direct Mail,38511.3,O-8,Loyalty Program Member
C-10225-O-10,C-10225,M,Women's Sportwear,374.844,NO,Mobile,37484.4,O-10,Shoe and Handbag sale
C-10229-O-2,C-10229,M,Women's Shoes,118.442,YES,Email,11844.2,O-2,Free shipping on orders over $49
C-10229-O-3,C-10229,M,Women's Shoes,118.442,YES,Email,11844.2,O-3,Get $5 Cashback
C-10229-O-9,C-10229,M,Women's Shoes,118.442,YES,Email,11844.2,O-9,Save 20% Career Suits
C-10239-O-1,C-10239,M,Men's Career,195.369,NO,Email,19536.9,O-1,Anastasia Beverly Hills
C-10254-O-11,C-10254,F,Men's Career,491.775,NO,Email,49177.5,O-11,Shoe and Handbag sale & Lancome Gift with Purchase
C-10254-O-12,C-10254,F,Men's Career,491.775,NO,Email,49177.5,O-12,Womens Sweather Sale
C-10266-O-6,C-10266,M,Men's Sportswear,355.435,YES,Email,35543.5,O-6,Home Closeout & Shoe and Handbag sale
