product,market,month,demand,allocation,absdiff,reldiff
200S,US,Jan-07,6666,655,6011,90.1604919754
200S,US,Feb-07,88,83,5,5.61797752809
200S,US,Mar-07,81,81,0,0.0
200S,Canada,Jan-07,93,6,87,92.5531914894
200S,Canada,Feb-07,96,84,12,12.3711340206
200S,Canada,Mar-07,97,92,5,5.10204081633
200S,Brazil,Jan-07,90,6,84,92.3076923077
200S,Brazil,Feb-07,88,76,12,13.4831460674
200S,Brazil,Mar-07,90,83,7,7.69230769231
200S,Argentina,Jan-07,64,5,59,90.7692307692
200S,Argentina,Feb-07,67,56,11,16.1764705882
200S,Argentina,Mar-07,61,55,6,9.67741935484
200S,UK,Jan-07,72,5,67,91.7808219178
200S,UK,Feb-07,73,73,0,0.0
200S,UK,Mar-07,71,69,2,2.77777777778
200S,France,Jan-07,83,5,78,92.8571428571
200S,France,Feb-07,79,79,0,0.0
200S,France,Mar-07,75,70,5,6.57894736842
200S,Germany,Jan-07,22,2,20,86.9565217391
200S,Germany,Feb-07,30,30,0,0.0
200S,Germany,Mar-07,22,22,0,0.0
200S,Spain,Jan-07,68,4,64,92.7536231884
200S,Spain,Feb-07,65,65,0,0.0
200S,Spain,Mar-07,59,59,0,0.0
200S,Italy,Jan-07,32,2,30,90.9090909091
200S,Italy,Feb-07,34,32,2,5.71428571429
200S,Italy,Mar-07,36,36,0,0.0
200S,China,Jan-07,87,6,81,92.0454545455
200S,China,Feb-07,82,70,12,14.4578313253
200S,China,Mar-07,87,81,6,6.81818181818
200S,Japan,Jan-07,64,5,59,90.7692307692
200S,Japan,Feb-07,63,53,10,15.625
200S,Japan,Mar-07,58,53,5,8.47457627119
300S,US,Jan-07,28,26,2,6.89655172414
300S,US,Feb-07,28,25,3,10.3448275862
300S,US,Mar-07,22,18,4,17.3913043478
300S,Canada,Jan-07,20,18,2,9.52380952381
300S,Canada,Feb-07,23,21,2,8.33333333333
300S,Canada,Mar-07,22,19,3,13.0434782609
300S,Brazil,Jan-07,62,56,6,9.52380952381
300S,Brazil,Feb-07,58,51,7,11.8644067797
300S,Brazil,Mar-07,55,47,8,14.2857142857
300S,Argentina,Jan-07,46,42,4,8.51063829787
300S,Argentina,Feb-07,41,36,5,11.9047619048
300S,Argentina,Mar-07,44,38,6,13.3333333333
300S,UK,Jan-07,27,24,3,10.7142857143
300S,UK,Feb-07,30,27,3,9.67741935484
300S,UK,Mar-07,30,27,3,9.67741935484
300S,France,Jan-07,108,96,12,11.0091743119
300S,France,Feb-07,108,96,12,11.0091743119
300S,France,Mar-07,105,93,12,11.320754717
300S,Germany,Jan-07,36,33,3,8.10810810811
300S,Germany,Feb-07,45,41,4,8.69565217391
300S,Germany,Mar-07,44,39,5,11.1111111111
300S,Spain,Jan-07,20,18,2,9.52380952381
300S,Spain,Feb-07,18,16,2,10.5263157895
300S,Spain,Mar-07,23,20,3,12.5
300S,Italy,Jan-07,7,6,1,12.5
300S,Italy,Feb-07,9,9,0,0.0
300S,Italy,Mar-07,6,5,1,14.2857142857
300S,China,Jan-07,33,29,4,11.7647058824
300S,China,Feb-07,37,34,3,7.89473684211
300S,China,Mar-07,29,25,4,13.3333333333
300S,Japan,Jan-07,11,10,1,8.33333333333
300S,Japan,Feb-07,7,6,1,12.5
300S,Japan,Mar-07,12,10,2,15.3846153846
600S,US,Jan-07,6,5,1,14.2857142857
600S,US,Feb-07,2,2,0,0.0
600S,US,Mar-07,5,4,1,16.6666666667
600S,Canada,Jan-07,74,66,8,10.6666666667
600S,Canada,Feb-07,71,63,8,11.1111111111
600S,Canada,Mar-07,78,69,9,11.3924050633
600S,Brazil,Jan-07,72,64,8,10.9589041096
600S,Brazil,Feb-07,70,62,8,11.2676056338
600S,Brazil,Mar-07,72,64,8,10.9589041096
600S,Argentina,Jan-07,76,68,8,10.3896103896
600S,Argentina,Feb-07,79,71,8,10.0
600S,Argentina,Mar-07,77,68,9,11.5384615385
600S,UK,Jan-07,26,24,2,7.40740740741
600S,UK,Feb-07,30,27,3,9.67741935484
600S,UK,Mar-07,30,26,4,12.9032258065
600S,France,Jan-07,118,105,13,10.9243697479
600S,France,Feb-07,119,106,13,10.8333333333
600S,France,Mar-07,115,102,13,11.2068965517
600S,Germany,Jan-07,107,95,12,11.1111111111
600S,Germany,Feb-07,113,101,12,10.5263157895
600S,Germany,Mar-07,115,103,12,10.3448275862
600S,Spain,Jan-07,69,61,8,11.4285714286
600S,Spain,Feb-07,73,66,7,9.45945945946
600S,Spain,Mar-07,78,70,8,10.1265822785
600S,Italy,Jan-07,81,72,9,10.9756097561
600S,Italy,Feb-07,83,75,8,9.52380952381
600S,Italy,Mar-07,82,72,10,12.0481927711
600S,China,Jan-07,99,88,11,11.0
600S,China,Feb-07,102,91,11,10.6796116505
