Markets,Months,Products,value
US,Jan-07,200S,655.0
US,Feb-07,200S,83.0
US,Mar-07,200S,81.0
US,Jan-07,300S,26.0
US,Feb-07,300S,25.0
US,Mar-07,300S,18.0
US,Jan-07,600S,5.0
US,Feb-07,600S,2.0
US,Mar-07,600S,4.0
US,Jan-07,626S,65.0
US,Feb-07,626S,71.0
US,Mar-07,626S,74.0
US,Jan-07,676S,42.0
US,Feb-07,676S,44.0
US,Mar-07,676S,50.0
US,Jan-07,676RS,90.0
US,Feb-07,676RS,95.0
US,Mar-07,676RS,104.0
US,Jan-07,900S,9.0
US,Feb-07,900S,13.0
US,Mar-07,900S,4.0
US,Jan-07,929S,95.0
US,Feb-07,929S,94.0
US,Mar-07,929S,95.0
US,Jan-07,996S,64.0
US,Feb-07,996S,60.0
US,Mar-07,996S,59.0
US,Jan-07,996RS,13.0
US,Feb-07,996RS,16.0
US,Mar-07,996RS,13.0
US,Jan-07,RoadStar,66.0
US,Feb-07,RoadStar,60.0
US,Mar-07,RoadStar,56.0
US,Jan-07,RoadLiner,14.0
US,Feb-07,RoadLiner,19.0
US,Mar-07,RoadLiner,15.0
US,Jan-07,Victory,65.0
US,Feb-07,Victory,66.0
US,Mar-07,Victory,61.0
US,Jan-07,Boulevard,75.0
US,Feb-07,Boulevard,83.0
US,Mar-07,Boulevard,83.0
US,Jan-07,KingTwin,24.0
US,Feb-07,KingTwin,25.0
US,Mar-07,KingTwin,24.0
US,Jan-07,MegaTwin,59.0
US,Feb-07,MegaTwin,64.0
US,Mar-07,MegaTwin,67.0
US,Jan-07,ST900,26.0
US,Feb-07,ST900,8.0
US,Mar-07,ST900,12.0
US,Jan-07,ST1200,52.0
US,Feb-07,ST1200,56.0
US,Mar-07,ST1200,57.0
US,Jan-07,ST1200R,68.0
US,Feb-07,ST1200R,64.0
US,Mar-07,ST1200R,71.0
US,Jan-07,Bandit 900,8.0
US,Feb-07,Bandit 900,1.0
US,Mar-07,Bandit 900,1.0
US,Jan-07,Bandit 1200,76.0
US,Feb-07,Bandit 1200,79.0
US,Mar-07,Bandit 1200,67.0
US,Jan-07,Bandit 1200S,53.0
US,Feb-07,Bandit 1200S,49.0
US,Mar-07,Bandit 1200S,52.0
US,Jan-07,Enduro 350,41.0
US,Feb-07,Enduro 350,33.0
US,Mar-07,Enduro 350,33.0
US,Jan-07,Enduro 450,22.0
US,Feb-07,Enduro 450,30.0
US,Mar-07,Enduro 450,29.0
US,Jan-07,Enduro 550,80.0
US,Feb-07,Enduro 550,82.0
US,Mar-07,Enduro 550,90.0
US,Jan-07,CRX500,4.0
US,Feb-07,CRX500,7.0
US,Mar-07,CRX500,1.0
US,Jan-07,CRS550,86.0
US,Feb-07,CRS550,82.0
US,Mar-07,CRS550,86.0
US,Jan-07,CRX600,59.0
US,Feb-07,CRX600,58.0
US,Mar-07,CRX600,56.0
US,Jan-07,CRX650,38.0
US,Feb-07,CRX650,37.0
US,Mar-07,CRX650,40.0
Canada,Jan-07,200S,6.0
Canada,Feb-07,200S,84.0
Canada,Mar-07,200S,92.0
Canada,Jan-07,300S,18.0
Canada,Feb-07,300S,21.0
Canada,Mar-07,300S,19.0
Canada,Jan-07,600S,66.0
Canada,Feb-07,600S,63.0
Canada,Mar-07,600S,69.0
Canada,Jan-07,626S,46.0
Canada,Feb-07,626S,47.0
Canada,Mar-07,626S,49.0
Canada,Jan-07,676S,18.0
Canada,Feb-07,676S,18.0
Canada,Mar-07,676S,22.0
Canada,Jan-07,676RS,15.0
Canada,Feb-07,676RS,14.0
Canada,Mar-07,676RS,14.0
Canada,Jan-07,900S,94.0
Canada,Feb-07,900S,85.0
Canada,Mar-07,900S,90.0
Canada,Jan-07,929S,37.0
Canada,Feb-07,929S,36.0
Canada,Mar-07,929S,40.0
Canada,Jan-07,996S,79.0
Canada,Feb-07,996S,81.0
Canada,Mar-07,996S,79.0
Canada,Jan-07,996RS,65.0
Canada,Feb-07,996RS,64.0
Canada,Mar-07,996RS,62.0
Canada,Jan-07,RoadStar,86.0
Canada,Feb-07,RoadStar,83.0
Canada,Mar-07,RoadStar,87.0
Canada,Jan-07,RoadLiner,74.0
Canada,Feb-07,RoadLiner,77.0
Canada,Mar-07,RoadLiner,69.0
Canada,Jan-07,Victory,66.0
Canada,Feb-07,Victory,67.0
Canada,Mar-07,Victory,55.0
Canada,Jan-07,Boulevard,45.0
Canada,Feb-07,Boulevard,48.0
Canada,Mar-07,Boulevard,47.0
Canada,Jan-07,KingTwin,39.0
Canada,Feb-07,KingTwin,44.0
Canada,Mar-07,KingTwin,31.0
Canada,Jan-07,MegaTwin,25.0
Canada,Feb-07,MegaTwin,32.0
Canada,Mar-07,MegaTwin,31.0
Canada,Jan-07,ST900,2.0
Canada,Feb-07,ST900,0.0
Canada,Mar-07,ST900,0.0
Canada,Jan-07,ST1200,12.0
Canada,Feb-07,ST1200,15.0
Canada,Mar-07,ST1200,8.0
Canada,Jan-07,ST1200R,60.0
Canada,Feb-07,ST1200R,68.0
Canada,Mar-07,ST1200R,69.0
Canada,Jan-07,Bandit 900,15.0
Canada,Feb-07,Bandit 900,14.0
Canada,Mar-07,Bandit 900,18.0
Canada,Jan-07,Bandit 1200,52.0
Canada,Feb-07,Bandit 1200,53.0
Canada,Mar-07,Bandit 1200,39.0
Canada,Jan-07,Bandit 1200S,58.0
Canada,Feb-07,Bandit 1200S,59.0
Canada,Mar-07,Bandit 1200S,56.0
Canada,Jan-07,Enduro 350,0.0
Canada,Feb-07,Enduro 350,0.0
Canada,Mar-07,Enduro 350,0.0
Canada,Jan-07,Enduro 450,3.0
Canada,Feb-07,Enduro 450,2.0
Canada,Mar-07,Enduro 450,1.0
Canada,Jan-07,Enduro 550,56.0
Canada,Feb-07,Enduro 550,61.0
Canada,Mar-07,Enduro 550,59.0
Canada,Jan-07,CRX500,1.0
Canada,Feb-07,CRX500,3.0
Canada,Mar-07,CRX500,0.0
Canada,Jan-07,CRS550,69.0
Canada,Feb-07,CRS550,61.0
Canada,Mar-07,CRS550,69.0
Canada,Jan-07,CRX600,7.0
Canada,Feb-07,CRX600,0.0
Canada,Mar-07,CRX600,0.0
Canada,Jan-07,CRX650,56.0
Canada,Feb-07,CRX650,58.0
Canada,Mar-07,CRX650,63.0
Brazil,Jan-07,200S,6.0
Brazil,Feb-07,200S,76.0
Brazil,Mar-07,200S,83.0
Brazil,Jan-07,300S,56.0
