Markets,Months,Products,value
US,Jan-07,200S,27.0
US,Feb-07,200S,5.0
US,Mar-07,200S,0.0
US,Jan-07,300S,9.0
US,Feb-07,300S,7.0
US,Mar-07,300S,4.0
US,Jan-07,600S,2.0
US,Feb-07,600S,1.0
US,Mar-07,600S,1.0
US,Jan-07,626S,24.0
US,Feb-07,626S,16.0
US,Mar-07,626S,8.0
US,Jan-07,676S,16.0
US,Feb-07,676S,11.0
US,Mar-07,676S,6.0
US,Jan-07,676RS,34.0
US,Feb-07,676RS,23.0
US,Mar-07,676RS,12.0
US,Jan-07,900S,3.0
US,Feb-07,900S,3.0
US,Mar-07,900S,2.0
US,Jan-07,929S,36.0
US,Feb-07,929S,24.0
US,Mar-07,929S,12.0
US,Jan-07,996S,23.0
US,Feb-07,996S,17.0
US,Mar-07,996S,9.0
US,Jan-07,996RS,5.0
US,Feb-07,996RS,3.0
US,Mar-07,996RS,2.0
US,Jan-07,RoadStar,29.0
US,Feb-07,RoadStar,41.0
US,Mar-07,RoadStar,21.0
US,Jan-07,RoadLiner,5.0
US,Feb-07,RoadLiner,3.0
US,Mar-07,RoadLiner,2.0
US,Jan-07,Victory,32.0
US,Feb-07,Victory,0.0
US,Mar-07,Victory,34.0
US,Jan-07,Boulevard,28.0
US,Feb-07,Boulevard,19.0
US,Mar-07,Boulevard,10.0
US,Jan-07,KingTwin,12.0
US,Feb-07,KingTwin,0.0
US,Mar-07,KingTwin,0.0
US,Jan-07,MegaTwin,22.0
US,Feb-07,MegaTwin,15.0
US,Mar-07,MegaTwin,8.0
US,Jan-07,ST900,14.0
US,Feb-07,ST900,0.0
US,Mar-07,ST900,4.0
US,Jan-07,ST1200,19.0
US,Feb-07,ST1200,13.0
US,Mar-07,ST1200,7.0
US,Jan-07,ST1200R,25.0
US,Feb-07,ST1200R,17.0
US,Mar-07,ST1200R,8.0
US,Jan-07,Bandit 900,18.0
US,Feb-07,Bandit 900,4.0
US,Mar-07,Bandit 900,0.0
US,Jan-07,Bandit 1200,32.0
US,Feb-07,Bandit 1200,11.0
US,Mar-07,Bandit 1200,0.0
US,Jan-07,Bandit 1200S,20.0
US,Feb-07,Bandit 1200S,14.0
US,Mar-07,Bandit 1200S,7.0
US,Jan-07,Enduro 350,21.0
US,Feb-07,Enduro 350,0.0
US,Mar-07,Enduro 350,27.0
US,Jan-07,Enduro 450,19.0
US,Feb-07,Enduro 450,14.0
US,Mar-07,Enduro 450,37.0
US,Jan-07,Enduro 550,30.0
US,Feb-07,Enduro 550,20.0
US,Mar-07,Enduro 550,10.0
US,Jan-07,CRX500,20.0
US,Feb-07,CRX500,0.0
US,Mar-07,CRX500,0.0
US,Jan-07,CRS550,32.0
US,Feb-07,CRS550,22.0
US,Mar-07,CRS550,11.0
US,Jan-07,CRX600,22.0
US,Feb-07,CRX600,15.0
US,Mar-07,CRX600,7.0
US,Jan-07,CRX650,14.0
US,Feb-07,CRX650,10.0
US,Mar-07,CRX650,5.0
Canada,Jan-07,200S,31.0
Canada,Feb-07,200S,0.0
Canada,Mar-07,200S,5.0
Canada,Jan-07,300S,7.0
Canada,Feb-07,300S,5.0
Canada,Mar-07,300S,3.0
Canada,Jan-07,600S,25.0
Canada,Feb-07,600S,17.0
Canada,Mar-07,600S,9.0
Canada,Jan-07,626S,17.0
Canada,Feb-07,626S,11.0
Canada,Mar-07,626S,6.0
Canada,Jan-07,676S,7.0
Canada,Feb-07,676S,5.0
Canada,Mar-07,676S,3.0
Canada,Jan-07,676RS,5.0
Canada,Feb-07,676RS,4.0
Canada,Mar-07,676RS,2.0
Canada,Jan-07,900S,35.0
Canada,Feb-07,900S,24.0
Canada,Mar-07,900S,12.0
Canada,Jan-07,929S,14.0
