plant,product,month,capacity,production,absdiff,reldiff
Houston,200S,Jan-07,231,231,0,0.0
Houston,200S,Feb-07,231,231,0,0.0
Houston,200S,Mar-07,231,231,0,0.0
Houston,300S,Jan-07,102,102,0,0.0
Houston,300S,Feb-07,102,102,0,0.0
Houston,300S,Mar-07,102,102,0,0.0
Houston,600S,Jan-07,245,175,70,28.4552845528
Houston,600S,Feb-07,245,189,56,22.7642276423
Houston,600S,Mar-07,245,191,54,21.9512195122
Houston,626S,Jan-07,164,0,164,99.3939393939
Houston,626S,Feb-07,164,0,164,99.3939393939
Houston,626S,Mar-07,164,0,164,99.3939393939
Houston,676S,Jan-07,230,229,1,0.4329004329
Houston,676S,Feb-07,230,230,0,0.0
Houston,676S,Mar-07,230,230,0,0.0
Houston,676RS,Jan-07,225,225,0,0.0
Houston,676RS,Feb-07,225,214,11,4.86725663717
Houston,676RS,Mar-07,225,162,63,27.8761061947
Houston,900S,Jan-07,48,0,48,97.9591836735
Houston,900S,Feb-07,48,0,48,97.9591836735
Houston,900S,Mar-07,48,0,48,97.9591836735
Houston,929S,Jan-07,112,0,112,99.1150442478
Houston,929S,Feb-07,112,0,112,99.1150442478
Houston,929S,Mar-07,112,0,112,99.1150442478
Houston,996S,Jan-07,89,67,22,24.4444444444
Houston,996S,Feb-07,89,66,23,25.5555555556
Houston,996S,Mar-07,89,89,0,0.0
Houston,996RS,Jan-07,246,0,246,99.5951417004
Houston,996RS,Feb-07,246,0,246,99.5951417004
Houston,996RS,Mar-07,246,2,244,98.7854251012
Houston,RoadStar,Jan-07,205,205,0,0.0
Houston,RoadStar,Feb-07,205,205,0,0.0
Houston,RoadStar,Mar-07,205,205,0,0.0
Houston,RoadLiner,Jan-07,198,198,0,0.0
Houston,RoadLiner,Feb-07,198,198,0,0.0
Houston,RoadLiner,Mar-07,198,198,0,0.0
Houston,Victory,Jan-07,273,0,273,99.6350364964
Houston,Victory,Feb-07,273,0,273,99.6350364964
Houston,Victory,Mar-07,273,1,272,99.2700729927
Houston,Boulevard,Jan-07,238,0,238,99.5815899582
Houston,Boulevard,Feb-07,238,0,238,99.5815899582
Houston,Boulevard,Mar-07,238,0,238,99.5815899582
Houston,KingTwin,Jan-07,216,0,216,99.5391705069
Houston,KingTwin,Feb-07,216,0,216,99.5391705069
Houston,KingTwin,Mar-07,216,0,216,99.5391705069
Houston,MegaTwin,Jan-07,130,130,0,0.0
Houston,MegaTwin,Feb-07,130,130,0,0.0
Houston,MegaTwin,Mar-07,130,130,0,0.0
Houston,ST900,Jan-07,80,0,80,98.7654320988
