,id_of_Plant,id_of_Market,id_of_Month,id_of_Product,deliveryVar
0,Bucarest,Argentina,Feb-07,200S,0.0
1,Bucarest,Argentina,Feb-07,300S,0.0
2,Bucarest,Argentina,Feb-07,600S,0.0
3,Bucarest,Argentina,Feb-07,626S,0.0
4,Bucarest,Argentina,Feb-07,676RS,0.0
5,Bucarest,Argentina,Feb-07,676S,0.0
6,Bucarest,Argentina,Feb-07,900S,0.0
7,Bucarest,Argentina,Feb-07,929S,0.0
8,Bucarest,Argentina,Feb-07,996RS,0.0
9,Bucarest,Argentina,Feb-07,996S,0.0
10,Bucarest,Argentina,Feb-07,Bandit 1200,0.0
11,Bucarest,Argentina,Feb-07,Bandit 1200S,0.0
12,Bucarest,Argentina,Feb-07,Bandit 900,0.0
13,Bucarest,Argentina,Feb-07,Boulevard,0.0
14,Bucarest,Argentina,Feb-07,CRS550,0.0
15,Bucarest,Argentina,Feb-07,CRX500,0.0
16,Bucarest,Argentina,Feb-07,CRX600,0.0
17,Bucarest,Argentina,Feb-07,CRX650,0.0
18,Bucarest,Argentina,Feb-07,Enduro 350,0.0
19,Bucarest,Argentina,Feb-07,Enduro 450,0.0
20,Bucarest,Argentina,Feb-07,Enduro 550,0.0
21,Bucarest,Argentina,Feb-07,KingTwin,0.0
22,Bucarest,Argentina,Feb-07,MegaTwin,0.0
23,Bucarest,Argentina,Feb-07,RoadLiner,0.0
24,Bucarest,Argentina,Feb-07,RoadStar,0.0
25,Bucarest,Argentina,Feb-07,ST1200,0.0
26,Bucarest,Argentina,Feb-07,ST1200R,0.0
27,Bucarest,Argentina,Feb-07,ST900,0.0
28,Bucarest,Argentina,Feb-07,Victory,0.0
29,Bucarest,Argentina,Jan-07,200S,0.0
30,Bucarest,Argentina,Jan-07,300S,0.0
31,Bucarest,Argentina,Jan-07,600S,0.0
32,Bucarest,Argentina,Jan-07,626S,0.0
33,Bucarest,Argentina,Jan-07,676RS,0.0
34,Bucarest,Argentina,Jan-07,676S,0.0
35,Bucarest,Argentina,Jan-07,900S,0.0
36,Bucarest,Argentina,Jan-07,929S,0.0
37,Bucarest,Argentina,Jan-07,996RS,0.0
38,Bucarest,Argentina,Jan-07,996S,0.0
39,Bucarest,Argentina,Jan-07,Bandit 1200,0.0
40,Bucarest,Argentina,Jan-07,Bandit 1200S,0.0
41,Bucarest,Argentina,Jan-07,Bandit 900,0.0
42,Bucarest,Argentina,Jan-07,Boulevard,0.0
43,Bucarest,Argentina,Jan-07,CRS550,0.0
44,Bucarest,Argentina,Jan-07,CRX500,0.0
45,Bucarest,Argentina,Jan-07,CRX600,0.0
46,Bucarest,Argentina,Jan-07,CRX650,0.0
47,Bucarest,Argentina,Jan-07,Enduro 350,0.0
48,Bucarest,Argentina,Jan-07,Enduro 450,0.0
49,Bucarest,Argentina,Jan-07,Enduro 550,0.0
50,Bucarest,Argentina,Jan-07,KingTwin,0.0
51,Bucarest,Argentina,Jan-07,MegaTwin,0.0
52,Bucarest,Argentina,Jan-07,RoadLiner,0.0
53,Bucarest,Argentina,Jan-07,RoadStar,0.0
54,Bucarest,Argentina,Jan-07,ST1200,0.0
55,Bucarest,Argentina,Jan-07,ST1200R,0.0
56,Bucarest,Argentina,Jan-07,ST900,0.0
57,Bucarest,Argentina,Jan-07,Victory,0.0
58,Bucarest,Argentina,Mar-07,200S,0.0
59,Bucarest,Argentina,Mar-07,300S,0.0
60,Bucarest,Argentina,Mar-07,600S,0.0
61,Bucarest,Argentina,Mar-07,626S,0.0
62,Bucarest,Argentina,Mar-07,676RS,0.0
63,Bucarest,Argentina,Mar-07,676S,0.0
64,Bucarest,Argentina,Mar-07,900S,0.0
65,Bucarest,Argentina,Mar-07,929S,0.0
66,Bucarest,Argentina,Mar-07,996RS,0.0
67,Bucarest,Argentina,Mar-07,996S,0.0
68,Bucarest,Argentina,Mar-07,Bandit 1200,0.0
69,Bucarest,Argentina,Mar-07,Bandit 1200S,0.0
70,Bucarest,Argentina,Mar-07,Bandit 900,0.0
71,Bucarest,Argentina,Mar-07,Boulevard,0.0
72,Bucarest,Argentina,Mar-07,CRS550,0.0
73,Bucarest,Argentina,Mar-07,CRX500,0.0
74,Bucarest,Argentina,Mar-07,CRX600,0.0
75,Bucarest,Argentina,Mar-07,CRX650,0.0
76,Bucarest,Argentina,Mar-07,Enduro 350,0.0
77,Bucarest,Argentina,Mar-07,Enduro 450,0.0
78,Bucarest,Argentina,Mar-07,Enduro 550,0.0
79,Bucarest,Argentina,Mar-07,KingTwin,0.0
80,Bucarest,Argentina,Mar-07,MegaTwin,0.0
81,Bucarest,Argentina,Mar-07,RoadLiner,0.0
82,Bucarest,Argentina,Mar-07,RoadStar,0.0
83,Bucarest,Argentina,Mar-07,ST1200,0.0
84,Bucarest,Argentina,Mar-07,ST1200R,0.0
85,Bucarest,Argentina,Mar-07,ST900,0.0
86,Bucarest,Argentina,Mar-07,Victory,0.0
87,Bucarest,Brazil,Feb-07,200S,0.0
88,Bucarest,Brazil,Feb-07,300S,0.0
89,Bucarest,Brazil,Feb-07,600S,0.0
90,Bucarest,Brazil,Feb-07,626S,0.0
91,Bucarest,Brazil,Feb-07,676RS,0.0
92,Bucarest,Brazil,Feb-07,676S,0.0
93,Bucarest,Brazil,Feb-07,900S,0.0
94,Bucarest,Brazil,Feb-07,929S,0.0
95,Bucarest,Brazil,Feb-07,996RS,0.0
96,Bucarest,Brazil,Feb-07,996S,0.0
97,Bucarest,Brazil,Feb-07,Bandit 1200,0.0
98,Bucarest,Brazil,Feb-07,Bandit 1200S,0.0
99,Bucarest,Brazil,Feb-07,Bandit 900,0.0
100,Bucarest,Brazil,Feb-07,Boulevard,0.0
101,Bucarest,Brazil,Feb-07,CRS550,0.0
102,Bucarest,Brazil,Feb-07,CRX500,0.0
103,Bucarest,Brazil,Feb-07,CRX600,0.0
104,Bucarest,Brazil,Feb-07,CRX650,0.0
105,Bucarest,Brazil,Feb-07,Enduro 350,0.0
106,Bucarest,Brazil,Feb-07,Enduro 450,0.0
107,Bucarest,Brazil,Feb-07,Enduro 550,0.0
108,Bucarest,Brazil,Feb-07,KingTwin,0.0
109,Bucarest,Brazil,Feb-07,MegaTwin,0.0
110,Bucarest,Brazil,Feb-07,RoadLiner,0.0
111,Bucarest,Brazil,Feb-07,RoadStar,0.0
112,Bucarest,Brazil,Feb-07,ST1200,0.0
113,Bucarest,Brazil,Feb-07,ST1200R,0.0
114,Bucarest,Brazil,Feb-07,ST900,0.0
115,Bucarest,Brazil,Feb-07,Victory,0.0
116,Bucarest,Brazil,Jan-07,200S,0.0
117,Bucarest,Brazil,Jan-07,300S,0.0
118,Bucarest,Brazil,Jan-07,600S,0.0
119,Bucarest,Brazil,Jan-07,626S,0.0
120,Bucarest,Brazil,Jan-07,676RS,0.0
121,Bucarest,Brazil,Jan-07,676S,0.0
122,Bucarest,Brazil,Jan-07,900S,0.0
123,Bucarest,Brazil,Jan-07,929S,0.0
124,Bucarest,Brazil,Jan-07,996RS,0.0
