,id_of_Market,id_of_Month,id_of_Product,executedSalesVar
0,Argentina,Feb-07,200S,67.0
1,Argentina,Feb-07,300S,41.0
2,Argentina,Feb-07,600S,79.0
3,Argentina,Feb-07,626S,102.0
4,Argentina,Feb-07,676RS,92.0
5,Argentina,Feb-07,676S,94.0
6,Argentina,Feb-07,900S,34.0
7,Argentina,Feb-07,929S,6.0
8,Argentina,Feb-07,996RS,54.0
9,Argentina,Feb-07,996S,95.0
10,Argentina,Feb-07,Bandit 1200,90.0
11,Argentina,Feb-07,Bandit 1200S,96.0
12,Argentina,Feb-07,Bandit 900,75.0
13,Argentina,Feb-07,Boulevard,37.0
14,Argentina,Feb-07,CRS550,112.0
15,Argentina,Feb-07,CRX500,83.0
16,Argentina,Feb-07,CRX600,41.0
17,Argentina,Feb-07,CRX650,58.0
18,Argentina,Feb-07,Enduro 350,70.0
19,Argentina,Feb-07,Enduro 450,15.0
20,Argentina,Feb-07,Enduro 550,58.0
21,Argentina,Feb-07,KingTwin,92.0
22,Argentina,Feb-07,MegaTwin,89.0
23,Argentina,Feb-07,RoadLiner,61.0
24,Argentina,Feb-07,RoadStar,102.0
25,Argentina,Feb-07,ST1200,91.0
26,Argentina,Feb-07,ST1200R,47.0
27,Argentina,Feb-07,ST900,79.0
28,Argentina,Feb-07,Victory,22.0
29,Argentina,Jan-07,200S,64.0
30,Argentina,Jan-07,300S,46.0
31,Argentina,Jan-07,600S,76.0
32,Argentina,Jan-07,626S,110.0
33,Argentina,Jan-07,676RS,85.0
34,Argentina,Jan-07,676S,91.0
35,Argentina,Jan-07,900S,35.0
36,Argentina,Jan-07,929S,11.0
37,Argentina,Jan-07,996RS,48.0
38,Argentina,Jan-07,996S,96.0
39,Argentina,Jan-07,Bandit 1200,83.0
40,Argentina,Jan-07,Bandit 1200S,90.0
41,Argentina,Jan-07,Bandit 900,66.0
42,Argentina,Jan-07,Boulevard,37.0
43,Argentina,Jan-07,CRS550,110.0
44,Argentina,Jan-07,CRX500,88.0
45,Argentina,Jan-07,CRX600,48.0
46,Argentina,Jan-07,CRX650,62.0
47,Argentina,Jan-07,Enduro 350,77.0
48,Argentina,Jan-07,Enduro 450,17.0
49,Argentina,Jan-07,Enduro 550,56.0
50,Argentina,Jan-07,KingTwin,83.0
51,Argentina,Jan-07,MegaTwin,88.0
52,Argentina,Jan-07,RoadLiner,62.0
53,Argentina,Jan-07,RoadStar,105.0
54,Argentina,Jan-07,ST1200,86.0
55,Argentina,Jan-07,ST1200R,47.0
56,Argentina,Jan-07,ST900,76.0
57,Argentina,Jan-07,Victory,30.0
58,Argentina,Mar-07,200S,61.0
59,Argentina,Mar-07,300S,44.0
60,Argentina,Mar-07,600S,77.0
61,Argentina,Mar-07,626S,106.0
62,Argentina,Mar-07,676RS,90.0
63,Argentina,Mar-07,676S,97.0
64,Argentina,Mar-07,900S,35.0
65,Argentina,Mar-07,929S,7.0
66,Argentina,Mar-07,996RS,55.0
67,Argentina,Mar-07,996S,105.0
68,Argentina,Mar-07,Bandit 1200,93.0
69,Argentina,Mar-07,Bandit 1200S,99.0
70,Argentina,Mar-07,Bandit 900,71.0
71,Argentina,Mar-07,Boulevard,39.0
72,Argentina,Mar-07,CRS550,105.0
73,Argentina,Mar-07,CRX500,81.0
74,Argentina,Mar-07,CRX600,42.0
75,Argentina,Mar-07,CRX650,63.0
76,Argentina,Mar-07,Enduro 350,73.0
77,Argentina,Mar-07,Enduro 450,16.0
78,Argentina,Mar-07,Enduro 550,56.0
79,Argentina,Mar-07,KingTwin,92.0
80,Argentina,Mar-07,MegaTwin,97.0
81,Argentina,Mar-07,RoadLiner,63.0
82,Argentina,Mar-07,RoadStar,105.0
83,Argentina,Mar-07,ST1200,91.0
84,Argentina,Mar-07,ST1200R,54.0
85,Argentina,Mar-07,ST900,72.0
86,Argentina,Mar-07,Victory,21.0
87,Brazil,Feb-07,200S,88.0
88,Brazil,Feb-07,300S,58.0
89,Brazil,Feb-07,600S,70.0
90,Brazil,Feb-07,626S,29.0
91,Brazil,Feb-07,676RS,58.0
92,Brazil,Feb-07,676S,6.0
93,Brazil,Feb-07,900S,40.0
94,Brazil,Feb-07,929S,10.0
95,Brazil,Feb-07,996RS,98.0
96,Brazil,Feb-07,996S,8.0
97,Brazil,Feb-07,Bandit 1200,72.0
98,Brazil,Feb-07,Bandit 1200S,36.0
99,Brazil,Feb-07,Bandit 900,111.0
100,Brazil,Feb-07,Boulevard,5.0
101,Brazil,Feb-07,CRS550,112.0
102,Brazil,Feb-07,CRX500,70.0
103,Brazil,Feb-07,CRX600,110.0
104,Brazil,Feb-07,CRX650,107.0
105,Brazil,Feb-07,Enduro 350,29.0
106,Brazil,Feb-07,Enduro 450,69.0
107,Brazil,Feb-07,Enduro 550,18.0
108,Brazil,Feb-07,KingTwin,27.0
109,Brazil,Feb-07,MegaTwin,78.0
110,Brazil,Feb-07,RoadLiner,104.0
111,Brazil,Feb-07,RoadStar,75.0
112,Brazil,Feb-07,ST1200,60.0
113,Brazil,Feb-07,ST1200R,14.0
114,Brazil,Feb-07,ST900,17.0
115,Brazil,Feb-07,Victory,65.0
116,Brazil,Jan-07,200S,90.0
117,Brazil,Jan-07,300S,62.0
118,Brazil,Jan-07,600S,72.0
119,Brazil,Jan-07,626S,26.0
120,Brazil,Jan-07,676RS,58.0
121,Brazil,Jan-07,676S,9.0
122,Brazil,Jan-07,900S,37.0
123,Brazil,Jan-07,929S,15.0
124,Brazil,Jan-07,996RS,97.0
125,Brazil,Jan-07,996S,10.0
126,Brazil,Jan-07,Bandit 1200,66.0
127,Brazil,Jan-07,Bandit 1200S,31.0
128,Brazil,Jan-07,Bandit 900,106.0
129,Brazil,Jan-07,Boulevard,10.0
130,Brazil,Jan-07,CRS550,109.0
131,Brazil,Jan-07,CRX500,72.0
132,Brazil,Jan-07,CRX600,104.0
133,Brazil,Jan-07,CRX650,100.0
134,Brazil,Jan-07,Enduro 350,26.0
135,Brazil,Jan-07,Enduro 450,67.0
136,Brazil,Jan-07,Enduro 550,25.0
137,Brazil,Jan-07,KingTwin,22.0
138,Brazil,Jan-07,MegaTwin,80.0
139,Brazil,Jan-07,RoadLiner,105.0
140,Brazil,Jan-07,RoadStar,80.0
141,Brazil,Jan-07,ST1200,58.0
142,Brazil,Jan-07,ST1200R,15.0
143,Brazil,Jan-07,ST900,19.0
144,Brazil,Jan-07,Victory,73.0
145,Brazil,Mar-07,200S,90.0
146,Brazil,Mar-07,300S,55.0
147,Brazil,Mar-07,600S,72.0
148,Brazil,Mar-07,626S,22.0
149,Brazil,Mar-07,676RS,59.0
150,Brazil,Mar-07,676S,11.0
151,Brazil,Mar-07,900S,43.0
152,Brazil,Mar-07,929S,8.0
153,Brazil,Mar-07,996RS,99.0
154,Brazil,Mar-07,996S,12.0
155,Brazil,Mar-07,Bandit 1200,68.0
156,Brazil,Mar-07,Bandit 1200S,34.0
157,Brazil,Mar-07,Bandit 900,107.0
158,Brazil,Mar-07,Boulevard,9.0
159,Brazil,Mar-07,CRS550,110.0
160,Brazil,Mar-07,CRX500,73.0
161,Brazil,Mar-07,CRX600,105.0
162,Brazil,Mar-07,CRX650,105.0
163,Brazil,Mar-07,Enduro 350,21.0
164,Brazil,Mar-07,Enduro 450,70.0
165,Brazil,Mar-07,Enduro 550,18.0
166,Brazil,Mar-07,KingTwin,29.0
167,Brazil,Mar-07,MegaTwin,77.0
168,Brazil,Mar-07,RoadLiner,103.0
169,Brazil,Mar-07,RoadStar,79.0
170,Brazil,Mar-07,ST1200,53.0
171,Brazil,Mar-07,ST1200R,18.0
172,Brazil,Mar-07,ST900,20.0
173,Brazil,Mar-07,Victory,69.0
174,Canada,Feb-07,200S,96.0
175,Canada,Feb-07,300S,23.0
176,Canada,Feb-07,600S,71.0
177,Canada,Feb-07,626S,52.0
178,Canada,Feb-07,676RS,16.0
179,Canada,Feb-07,676S,20.0
180,Canada,Feb-07,900S,97.0
181,Canada,Feb-07,929S,40.0
182,Canada,Feb-07,996RS,72.0
183,Canada,Feb-07,996S,91.0
184,Canada,Feb-07,Bandit 1200,64.0
185,Canada,Feb-07,Bandit 1200S,66.0
186,Canada,Feb-07,Bandit 900,60.0
187,Canada,Feb-07,Boulevard,54.0
188,Canada,Feb-07,CRS550,70.0
189,Canada,Feb-07,CRX500,29.0
190,Canada,Feb-07,CRX600,3.0
191,Canada,Feb-07,CRX650,65.0
192,Canada,Feb-07,Enduro 350,4.0
193,Canada,Feb-07,Enduro 450,27.0
194,Canada,Feb-07,Enduro 550,68.0
195,Canada,Feb-07,KingTwin,58.0
196,Canada,Feb-07,MegaTwin,35.0
197,Canada,Feb-07,RoadLiner,86.0
198,Canada,Feb-07,RoadStar,98.0
199,Canada,Feb-07,ST1200,16.0
200,Canada,Feb-07,ST1200R,75.0
201,Canada,Feb-07,ST900,7.0
202,Canada,Feb-07,Victory,87.0
203,Canada,Jan-07,200S,93.0
204,Canada,Jan-07,300S,20.0
205,Canada,Jan-07,600S,74.0
206,Canada,Jan-07,626S,52.0
207,Canada,Jan-07,676RS,16.0
208,Canada,Jan-07,676S,20.0
209,Canada,Jan-07,900S,105.0
210,Canada,Jan-07,929S,42.0
211,Canada,Jan-07,996RS,73.0
212,Canada,Jan-07,996S,87.0
213,Canada,Jan-07,Bandit 1200,62.0
214,Canada,Jan-07,Bandit 1200S,64.0
215,Canada,Jan-07,Bandit 900,60.0
216,Canada,Jan-07,Boulevard,50.0
217,Canada,Jan-07,CRS550,77.0
218,Canada,Jan-07,CRX500,26.0
219,Canada,Jan-07,CRX600,10.0
220,Canada,Jan-07,CRX650,63.0
221,Canada,Jan-07,Enduro 350,3.0
