,id_of_Plant,id_of_Month,id_of_Product,inventoryVar
0,Bucarest,Feb-07,200S,0
1,Bucarest,Feb-07,300S,0
2,Bucarest,Feb-07,600S,0
3,Bucarest,Feb-07,626S,0
4,Bucarest,Feb-07,676RS,0
5,Bucarest,Feb-07,676S,0
6,Bucarest,Feb-07,900S,0
7,Bucarest,Feb-07,929S,0
8,Bucarest,Feb-07,996RS,0
9,Bucarest,Feb-07,996S,0
10,Bucarest,Feb-07,Bandit 1200,0
11,Bucarest,Feb-07,Bandit 1200S,0
12,Bucarest,Feb-07,Bandit 900,0
13,Bucarest,Feb-07,Boulevard,0
14,Bucarest,Feb-07,CRS550,0
15,Bucarest,Feb-07,CRX500,0
16,Bucarest,Feb-07,CRX600,0
17,Bucarest,Feb-07,CRX650,0
18,Bucarest,Feb-07,Enduro 350,0
19,Bucarest,Feb-07,Enduro 450,0
20,Bucarest,Feb-07,Enduro 550,0
21,Bucarest,Feb-07,KingTwin,0
22,Bucarest,Feb-07,MegaTwin,0
23,Bucarest,Feb-07,RoadLiner,0
24,Bucarest,Feb-07,RoadStar,0
25,Bucarest,Feb-07,ST1200,0
26,Bucarest,Feb-07,ST1200R,0
27,Bucarest,Feb-07,ST900,0
28,Bucarest,Feb-07,Victory,0
29,Bucarest,Jan-07,200S,0
30,Bucarest,Jan-07,300S,0
31,Bucarest,Jan-07,600S,0
32,Bucarest,Jan-07,626S,0
33,Bucarest,Jan-07,676RS,0
34,Bucarest,Jan-07,676S,0
35,Bucarest,Jan-07,900S,0
36,Bucarest,Jan-07,929S,0
37,Bucarest,Jan-07,996RS,0
38,Bucarest,Jan-07,996S,0
39,Bucarest,Jan-07,Bandit 1200,0
40,Bucarest,Jan-07,Bandit 1200S,0
41,Bucarest,Jan-07,Bandit 900,0
42,Bucarest,Jan-07,Boulevard,0
43,Bucarest,Jan-07,CRS550,0
44,Bucarest,Jan-07,CRX500,0
45,Bucarest,Jan-07,CRX600,0
46,Bucarest,Jan-07,CRX650,0
