Products,Markets,Months,value
200S,US,Jan-07,727
200S,US,Feb-07,750
200S,US,Mar-07,735
200S,Canada,Jan-07,713
200S,Canada,Feb-07,713
200S,Canada,Mar-07,745
200S,Brazil,Jan-07,753
200S,Brazil,Feb-07,711
200S,Brazil,Mar-07,719
200S,Argentina,Jan-07,748
200S,Argentina,Feb-07,713
200S,Argentina,Mar-07,750
200S,UK,Jan-07,713
200S,UK,Feb-07,757
200S,UK,Mar-07,721
200S,France,Jan-07,728
200S,France,Feb-07,757
200S,France,Mar-07,714
200S,Germany,Jan-07,735
200S,Germany,Feb-07,749
200S,Germany,Mar-07,756
200S,Spain,Jan-07,728
200S,Spain,Feb-07,756
200S,Spain,Mar-07,739
200S,Italy,Jan-07,746
200S,Italy,Feb-07,734
200S,Italy,Mar-07,737
200S,China,Jan-07,712
200S,China,Feb-07,713
200S,China,Mar-07,724
200S,Japan,Jan-07,724
200S,Japan,Feb-07,715
200S,Japan,Mar-07,739
300S,US,Jan-07,811
300S,US,Feb-07,847
300S,US,Mar-07,839
300S,Canada,Jan-07,848
300S,Canada,Feb-07,808
300S,Canada,Mar-07,828
300S,Brazil,Jan-07,840
300S,Brazil,Feb-07,823
300S,Brazil,Mar-07,811
300S,Argentina,Jan-07,818
300S,Argentina,Feb-07,837
300S,Argentina,Mar-07,852
300S,UK,Jan-07,824
300S,UK,Feb-07,821
300S,UK,Mar-07,825
300S,France,Jan-07,842
300S,France,Feb-07,843
300S,France,Mar-07,855
300S,Germany,Jan-07,819
300S,Germany,Feb-07,833
300S,Germany,Mar-07,813
300S,Spain,Jan-07,807
300S,Spain,Feb-07,823
300S,Spain,Mar-07,844
300S,Italy,Jan-07,809
300S,Italy,Feb-07,850
300S,Italy,Mar-07,837
300S,China,Jan-07,830
300S,China,Feb-07,811
300S,China,Mar-07,842
300S,Japan,Jan-07,832
300S,Japan,Feb-07,823
300S,Japan,Mar-07,848
600S,US,Jan-07,750
600S,US,Feb-07,727
600S,US,Mar-07,753
600S,Canada,Jan-07,732
600S,Canada,Feb-07,729
600S,Canada,Mar-07,743
600S,Brazil,Jan-07,728
600S,Brazil,Feb-07,745
600S,Brazil,Mar-07,738
600S,Argentina,Jan-07,729
600S,Argentina,Feb-07,725
600S,Argentina,Mar-07,755
600S,UK,Jan-07,762
600S,UK,Feb-07,739
600S,UK,Mar-07,728
600S,France,Jan-07,718
600S,France,Feb-07,742
600S,France,Mar-07,752
600S,Germany,Jan-07,749
600S,Germany,Feb-07,742
600S,Germany,Mar-07,714
600S,Spain,Jan-07,755
600S,Spain,Feb-07,744
600S,Spain,Mar-07,762
600S,Italy,Jan-07,723
600S,Italy,Feb-07,761
600S,Italy,Mar-07,756
600S,China,Jan-07,746
600S,China,Feb-07,719
600S,China,Mar-07,734
600S,Japan,Jan-07,720
600S,Japan,Feb-07,736
600S,Japan,Mar-07,729
626S,US,Jan-07,798
626S,US,Feb-07,793
626S,US,Mar-07,750
626S,Canada,Jan-07,763
626S,Canada,Feb-07,774
626S,Canada,Mar-07,763
626S,Brazil,Jan-07,753
626S,Brazil,Feb-07,782
626S,Brazil,Mar-07,756
626S,Argentina,Jan-07,753
626S,Argentina,Feb-07,770
626S,Argentina,Mar-07,775
626S,UK,Jan-07,757
626S,UK,Feb-07,757
626S,UK,Mar-07,777
626S,France,Jan-07,750
626S,France,Feb-07,787
626S,France,Mar-07,765
626S,Germany,Jan-07,793
626S,Germany,Feb-07,774
626S,Germany,Mar-07,773
626S,Spain,Jan-07,765
626S,Spain,Feb-07,771
626S,Spain,Mar-07,795
626S,Italy,Jan-07,767
626S,Italy,Feb-07,762
626S,Italy,Mar-07,793
626S,China,Jan-07,794
626S,China,Feb-07,776
626S,China,Mar-07,786
626S,Japan,Jan-07,788
626S,Japan,Feb-07,753
626S,Japan,Mar-07,750
676S,US,Jan-07,990
676S,US,Feb-07,1010
676S,US,Mar-07,1009
676S,Canada,Jan-07,1007
676S,Canada,Feb-07,1007
676S,Canada,Mar-07,1002
676S,Brazil,Jan-07,994
676S,Brazil,Feb-07,1017
676S,Brazil,Mar-07,997
676S,Argentina,Jan-07,992
676S,Argentina,Feb-07,1024
676S,Argentina,Mar-07,1016
676S,UK,Jan-07,991
676S,UK,Feb-07,994
676S,UK,Mar-07,1032
676S,France,Jan-07,991
676S,France,Feb-07,1013
676S,France,Mar-07,1023
676S,Germany,Jan-07,993
676S,Germany,Feb-07,1029
676S,Germany,Mar-07,1014
676S,Spain,Jan-07,1024
676S,Spain,Feb-07,1007
676S,Spain,Mar-07,1015
676S,Italy,Jan-07,991
676S,Italy,Feb-07,1031
676S,Italy,Mar-07,1029
676S,China,Jan-07,1026
676S,China,Feb-07,1018
676S,China,Mar-07,997
676S,Japan,Jan-07,1031
676S,Japan,Feb-07,1034
676S,Japan,Mar-07,1026
676RS,US,Jan-07,1015
676RS,US,Feb-07,1006
676RS,US,Mar-07,977
676RS,Canada,Jan-07,1004
676RS,Canada,Feb-07,1003
676RS,Canada,Mar-07,973
676RS,Brazil,Jan-07,995
676RS,Brazil,Feb-07,973
676RS,Brazil,Mar-07,997
676RS,Argentina,Jan-07,972
676RS,Argentina,Feb-07,970
676RS,Argentina,Mar-07,980
676RS,UK,Jan-07,978
676RS,UK,Feb-07,1012
676RS,UK,Mar-07,978
676RS,France,Jan-07,988
676RS,France,Feb-07,975
676RS,France,Mar-07,974
676RS,Germany,Jan-07,1006
676RS,Germany,Feb-07,980
676RS,Germany,Mar-07,987
676RS,Spain,Jan-07,1010
676RS,Spain,Feb-07,970
676RS,Spain,Mar-07,997
676RS,Italy,Jan-07,983
676RS,Italy,Feb-07,1010
676RS,Italy,Mar-07,994
676RS,China,Jan-07,999
676RS,China,Feb-07,982
676RS,China,Mar-07,996
676RS,Japan,Jan-07,1003
676RS,Japan,Feb-07,1005
676RS,Japan,Mar-07,985
900S,US,Jan-07,848
900S,US,Feb-07,860
900S,US,Mar-07,882
900S,Canada,Jan-07,849
900S,Canada,Feb-07,838
900S,Canada,Mar-07,861
900S,Brazil,Jan-07,852
900S,Brazil,Feb-07,874
900S,Brazil,Mar-07,869
900S,Argentina,Jan-07,852
900S,Argentina,Feb-07,842
900S,Argentina,Mar-07,859
900S,UK,Jan-07,876
900S,UK,Feb-07,880
900S,UK,Mar-07,842
900S,France,Jan-07,842
900S,France,Feb-07,867
900S,France,Mar-07,857
900S,Germany,Jan-07,874
900S,Germany,Feb-07,863
900S,Germany,Mar-07,869
900S,Spain,Jan-07,850
900S,Spain,Feb-07,865
900S,Spain,Mar-07,861
900S,Italy,Jan-07,876
900S,Italy,Feb-07,875
900S,Italy,Mar-07,847
900S,China,Jan-07,841
900S,China,Feb-07,841
900S,China,Mar-07,852
900S,Japan,Jan-07,868
900S,Japan,Feb-07,853
900S,Japan,Mar-07,853
929S,US,Jan-07,790
929S,US,Feb-07,755
929S,US,Mar-07,758
929S,Canada,Jan-07,770
929S,Canada,Feb-07,794
929S,Canada,Mar-07,795
929S,Brazil,Jan-07,780
929S,Brazil,Feb-07,762
929S,Brazil,Mar-07,797
929S,Argentina,Jan-07,776
929S,Argentina,Feb-07,766
929S,Argentina,Mar-07,787
929S,UK,Jan-07,797
929S,UK,Feb-07,774
929S,UK,Mar-07,763
929S,France,Jan-07,764
929S,France,Feb-07,797
929S,France,Mar-07,794
929S,Germany,Jan-07,757
929S,Germany,Feb-07,769
929S,Germany,Mar-07,780
929S,Spain,Jan-07,781
929S,Spain,Feb-07,769
929S,Spain,Mar-07,760
929S,Italy,Jan-07,753
929S,Italy,Feb-07,771
929S,Italy,Mar-07,757
929S,China,Jan-07,754
929S,China,Feb-07,767
929S,China,Mar-07,777
929S,Japan,Jan-07,759
929S,Japan,Feb-07,792
929S,Japan,Mar-07,765
996S,US,Jan-07,762
996S,US,Feb-07,725
996S,US,Mar-07,728
996S,Canada,Jan-07,741
996S,Canada,Feb-07,723
996S,Canada,Mar-07,757
996S,Brazil,Jan-07,728
996S,Brazil,Feb-07,753
996S,Brazil,Mar-07,727
996S,Argentina,Jan-07,767
996S,Argentina,Feb-07,755
996S,Argentina,Mar-07,764
996S,UK,Jan-07,759
996S,UK,Feb-07,765
996S,UK,Mar-07,741
996S,France,Jan-07,719
996S,France,Feb-07,733
996S,France,Mar-07,755
996S,Germany,Jan-07,766
996S,Germany,Feb-07,720
996S,Germany,Mar-07,753
996S,Spain,Jan-07,750
996S,Spain,Feb-07,732
996S,Spain,Mar-07,762
996S,Italy,Jan-07,752
996S,Italy,Feb-07,729
996S,Italy,Mar-07,719
996S,China,Jan-07,751
996S,China,Feb-07,761
996S,China,Mar-07,736
996S,Japan,Jan-07,730
996S,Japan,Feb-07,751
996S,Japan,Mar-07,718
996RS,US,Jan-07,1105
996RS,US,Feb-07,1124
996RS,US,Mar-07,1100
996RS,Canada,Jan-07,1130
996RS,Canada,Feb-07,1129
996RS,Canada,Mar-07,1131
996RS,Brazil,Jan-07,1135
996RS,Brazil,Feb-07,1111
996RS,Brazil,Mar-07,1104
996RS,Argentina,Jan-07,1117
996RS,Argentina,Feb-07,1109
996RS,Argentina,Mar-07,1087
996RS,UK,Jan-07,1105
996RS,UK,Feb-07,1093
996RS,UK,Mar-07,1102
996RS,France,Jan-07,1110
996RS,France,Feb-07,1117
996RS,France,Mar-07,1118
996RS,Germany,Jan-07,1127
996RS,Germany,Feb-07,1118
996RS,Germany,Mar-07,1096
996RS,Spain,Jan-07,1132
996RS,Spain,Feb-07,1089
996RS,Spain,Mar-07,1104
996RS,Italy,Jan-07,1092
996RS,Italy,Feb-07,1097
996RS,Italy,Mar-07,1116
996RS,China,Jan-07,1103
996RS,China,Feb-07,1120
996RS,China,Mar-07,1103
996RS,Japan,Jan-07,1129
996RS,Japan,Feb-07,1109
996RS,Japan,Mar-07,1093
RoadStar,US,Jan-07,657
RoadStar,US,Feb-07,664
RoadStar,US,Mar-07,660
RoadStar,Canada,Jan-07,689
RoadStar,Canada,Feb-07,668
RoadStar,Canada,Mar-07,684
RoadStar,Brazil,Jan-07,679
RoadStar,Brazil,Feb-07,684
RoadStar,Brazil,Mar-07,654
RoadStar,Argentina,Jan-07,654
RoadStar,Argentina,Feb-07,679
RoadStar,Argentina,Mar-07,691
RoadStar,UK,Jan-07,686
RoadStar,UK,Feb-07,654
RoadStar,UK,Mar-07,676
RoadStar,France,Jan-07,653
RoadStar,France,Feb-07,683
RoadStar,France,Mar-07,698
RoadStar,Germany,Jan-07,664
RoadStar,Germany,Feb-07,700
RoadStar,Germany,Mar-07,685
RoadStar,Spain,Jan-07,656
RoadStar,Spain,Feb-07,657
RoadStar,Spain,Mar-07,673
RoadStar,Italy,Jan-07,666
RoadStar,Italy,Feb-07,661
RoadStar,Italy,Mar-07,690
RoadStar,China,Jan-07,698
RoadStar,China,Feb-07,661
RoadStar,China,Mar-07,654
RoadStar,Japan,Jan-07,696
RoadStar,Japan,Feb-07,681
RoadStar,Japan,Mar-07,658
RoadLiner,US,Jan-07,819
RoadLiner,US,Feb-07,794
RoadLiner,US,Mar-07,819
RoadLiner,Canada,Jan-07,818
RoadLiner,Canada,Feb-07,780
RoadLiner,Canada,Mar-07,797
RoadLiner,Brazil,Jan-07,809
RoadLiner,Brazil,Feb-07,802
RoadLiner,Brazil,Mar-07,811
RoadLiner,Argentina,Jan-07,825
RoadLiner,Argentina,Feb-07,797
RoadLiner,Argentina,Mar-07,800
RoadLiner,UK,Jan-07,820
RoadLiner,UK,Feb-07,805
RoadLiner,UK,Mar-07,821
RoadLiner,France,Jan-07,803
RoadLiner,France,Feb-07,782
RoadLiner,France,Mar-07,816
RoadLiner,Germany,Jan-07,820
RoadLiner,Germany,Feb-07,800
RoadLiner,Germany,Mar-07,826
RoadLiner,Spain,Jan-07,807
RoadLiner,Spain,Feb-07,786
RoadLiner,Spain,Mar-07,800
RoadLiner,Italy,Jan-07,788
RoadLiner,Italy,Feb-07,805
RoadLiner,Italy,Mar-07,780
RoadLiner,China,Jan-07,795
RoadLiner,China,Feb-07,802
RoadLiner,China,Mar-07,786
RoadLiner,Japan,Jan-07,799
RoadLiner,Japan,Feb-07,806
RoadLiner,Japan,Mar-07,803
Victory,US,Jan-07,667
Victory,US,Feb-07,639
Victory,US,Mar-07,666
Victory,Canada,Jan-07,666
Victory,Canada,Feb-07,678
Victory,Canada,Mar-07,644
Victory,Brazil,Jan-07,658
Victory,Brazil,Feb-07,635
Victory,Brazil,Mar-07,638
Victory,Argentina,Jan-07,652
Victory,Argentina,Feb-07,654
Victory,Argentina,Mar-07,667
Victory,UK,Jan-07,671
Victory,UK,Feb-07,650
Victory,UK,Mar-07,636
Victory,France,Jan-07,680
Victory,France,Feb-07,637
Victory,France,Mar-07,655
Victory,Germany,Jan-07,657
Victory,Germany,Feb-07,652
Victory,Germany,Mar-07,658
Victory,Spain,Jan-07,660
Victory,Spain,Feb-07,655
Victory,Spain,Mar-07,675
Victory,Italy,Jan-07,637
Victory,Italy,Feb-07,657
Victory,Italy,Mar-07,680
Victory,China,Jan-07,650
Victory,China,Feb-07,673
Victory,China,Mar-07,663
Victory,Japan,Jan-07,652
Victory,Japan,Feb-07,643
Victory,Japan,Mar-07,649
Boulevard,US,Jan-07,847
Boulevard,US,Feb-07,812
Boulevard,US,Mar-07,841
Boulevard,Canada,Jan-07,855
Boulevard,Canada,Feb-07,847
Boulevard,Canada,Mar-07,856
Boulevard,Brazil,Jan-07,831
Boulevard,Brazil,Feb-07,850
Boulevard,Brazil,Mar-07,840
Boulevard,Argentina,Jan-07,849
Boulevard,Argentina,Feb-07,817
Boulevard,Argentina,Mar-07,825
Boulevard,UK,Jan-07,816
Boulevard,UK,Feb-07,835
Boulevard,UK,Mar-07,844
Boulevard,France,Jan-07,829
Boulevard,France,Feb-07,815
Boulevard,France,Mar-07,815
Boulevard,Germany,Jan-07,821
Boulevard,Germany,Feb-07,819
Boulevard,Germany,Mar-07,858
Boulevard,Spain,Jan-07,846
