Markets,Months,Products,value
Argentina,Feb-07,200S,0.0
Argentina,Feb-07,300S,0.0
Argentina,Feb-07,600S,79.0
Argentina,Feb-07,626S,0.0
Argentina,Feb-07,676RS,182.0
Argentina,Feb-07,676S,191.0
Argentina,Feb-07,900S,34.0
Argentina,Feb-07,929S,0.0
Argentina,Feb-07,996RS,0.0
Argentina,Feb-07,996S,200.0
Argentina,Feb-07,Bandit 1200,0.0
Argentina,Feb-07,Bandit 1200S,195.0
Argentina,Feb-07,Bandit 900,0.0
Argentina,Feb-07,Boulevard,76.0
Argentina,Feb-07,CRS550,0.0
Argentina,Feb-07,CRX500,0.0
Argentina,Feb-07,CRX600,83.0
Argentina,Feb-07,CRX650,58.0
Argentina,Feb-07,Enduro 350,0.0
Argentina,Feb-07,Enduro 450,0.0
Argentina,Feb-07,Enduro 550,58.0
Argentina,Feb-07,KingTwin,0.0
Argentina,Feb-07,MegaTwin,0.0
Argentina,Feb-07,RoadLiner,0.0
Argentina,Feb-07,RoadStar,0.0
Argentina,Feb-07,ST1200,0.0
Argentina,Feb-07,ST1200R,47.0
Argentina,Feb-07,ST900,0.0
Argentina,Feb-07,Victory,0.0
Argentina,Jan-07,200S,0.0
Argentina,Jan-07,300S,0.0
Argentina,Jan-07,600S,0.0
Argentina,Jan-07,626S,0.0
Argentina,Jan-07,676RS,0.0
Argentina,Jan-07,676S,0.0
Argentina,Jan-07,900S,0.0
Argentina,Jan-07,929S,0.0
Argentina,Jan-07,996RS,0.0
Argentina,Jan-07,996S,0.0
Argentina,Jan-07,Bandit 1200,0.0
Argentina,Jan-07,Bandit 1200S,0.0
Argentina,Jan-07,Bandit 900,0.0
Argentina,Jan-07,Boulevard,0.0
Argentina,Jan-07,CRS550,0.0
Argentina,Jan-07,CRX500,0.0
Argentina,Jan-07,CRX600,0.0
Argentina,Jan-07,CRX650,0.0
Argentina,Jan-07,Enduro 350,0.0
Argentina,Jan-07,Enduro 450,0.0
Argentina,Jan-07,Enduro 550,0.0
Argentina,Jan-07,KingTwin,0.0
Argentina,Jan-07,MegaTwin,0.0
Argentina,Jan-07,RoadLiner,0.0
Argentina,Jan-07,RoadStar,0.0
Argentina,Jan-07,ST1200,0.0
Argentina,Jan-07,ST1200R,0.0
Argentina,Jan-07,ST900,0.0
Argentina,Jan-07,Victory,0.0
Argentina,Mar-07,200S,61.0
Argentina,Mar-07,300S,44.0
Argentina,Mar-07,600S,0.0
Argentina,Mar-07,626S,0.0
Argentina,Mar-07,676RS,90.0
Argentina,Mar-07,676S,97.0
Argentina,Mar-07,900S,0.0
Argentina,Mar-07,929S,7.0
Argentina,Mar-07,996RS,0.0
Argentina,Mar-07,996S,105.0
Argentina,Mar-07,Bandit 1200,0.0
