Plants,Months,Products,value
Bucarest,Feb-07,200S,0.0
Bucarest,Feb-07,300S,0.0
Bucarest,Feb-07,600S,0.0
Bucarest,Feb-07,626S,0.0
Bucarest,Feb-07,676RS,0.0
Bucarest,Feb-07,676S,0.0
Bucarest,Feb-07,900S,0.0
Bucarest,Feb-07,929S,0.0
Bucarest,Feb-07,996RS,0.0
Bucarest,Feb-07,996S,0.0
Bucarest,Feb-07,Bandit 1200,0.0
Bucarest,Feb-07,Bandit 1200S,0.0
Bucarest,Feb-07,Bandit 900,0.0
Bucarest,Feb-07,Boulevard,0.0
Bucarest,Feb-07,CRS550,0.0
Bucarest,Feb-07,CRX500,0.0
Bucarest,Feb-07,CRX600,0.0
Bucarest,Feb-07,CRX650,0.0
Bucarest,Feb-07,Enduro 350,10.0
Bucarest,Feb-07,Enduro 450,0.0
Bucarest,Feb-07,Enduro 550,0.0
Bucarest,Feb-07,KingTwin,179.0
Bucarest,Feb-07,MegaTwin,35.0
Bucarest,Feb-07,RoadLiner,0.0
Bucarest,Feb-07,RoadStar,0.0
Bucarest,Feb-07,ST1200,16.0
Bucarest,Feb-07,ST1200R,0.0
Bucarest,Feb-07,ST900,0.0
Bucarest,Feb-07,Victory,0.0
Bucarest,Jan-07,200S,0.0
Bucarest,Jan-07,300S,0.0
Bucarest,Jan-07,600S,0.0
Bucarest,Jan-07,626S,0.0
Bucarest,Jan-07,676RS,0.0
Bucarest,Jan-07,676S,0.0
Bucarest,Jan-07,900S,0.0
Bucarest,Jan-07,929S,0.0
Bucarest,Jan-07,996RS,0.0
Bucarest,Jan-07,996S,0.0
Bucarest,Jan-07,Bandit 1200,0.0
Bucarest,Jan-07,Bandit 1200S,0.0
Bucarest,Jan-07,Bandit 900,0.0
Bucarest,Jan-07,Boulevard,0.0
Bucarest,Jan-07,CRS550,0.0
Bucarest,Jan-07,CRX500,0.0
Bucarest,Jan-07,CRX600,0.0
Bucarest,Jan-07,CRX650,0.0
Bucarest,Jan-07,Enduro 350,363.0
Bucarest,Jan-07,Enduro 450,0.0
Bucarest,Jan-07,Enduro 550,0.0
Bucarest,Jan-07,KingTwin,512.0
Bucarest,Jan-07,MegaTwin,875.0
Bucarest,Jan-07,RoadLiner,0.0
Bucarest,Jan-07,RoadStar,0.0
Bucarest,Jan-07,ST1200,314.0
Bucarest,Jan-07,ST1200R,0.0
Bucarest,Jan-07,ST900,0.0
Bucarest,Jan-07,Victory,0.0
Bucarest,Mar-07,200S,0.0
Bucarest,Mar-07,300S,0.0
Bucarest,Mar-07,600S,0.0
Bucarest,Mar-07,626S,0.0
Bucarest,Mar-07,676RS,0.0
Bucarest,Mar-07,676S,0.0
Bucarest,Mar-07,900S,0.0
Bucarest,Mar-07,929S,0.0
Bucarest,Mar-07,996RS,0.0
Bucarest,Mar-07,996S,0.0
Bucarest,Mar-07,Bandit 1200,0.0
Bucarest,Mar-07,Bandit 1200S,0.0
Bucarest,Mar-07,Bandit 900,0.0
Bucarest,Mar-07,Boulevard,0.0
Bucarest,Mar-07,CRS550,0.0
Bucarest,Mar-07,CRX500,0.0
Bucarest,Mar-07,CRX600,0.0
Bucarest,Mar-07,CRX650,0.0
Bucarest,Mar-07,Enduro 350,23.0
Bucarest,Mar-07,Enduro 450,0.0
Bucarest,Mar-07,Enduro 550,0.0
Bucarest,Mar-07,KingTwin,173.0
Bucarest,Mar-07,MegaTwin,30.0
Bucarest,Mar-07,RoadLiner,0.0
Bucarest,Mar-07,RoadStar,0.0
Bucarest,Mar-07,ST1200,53.0
Bucarest,Mar-07,ST1200R,0.0
Bucarest,Mar-07,ST900,0.0
Bucarest,Mar-07,Victory,0.0
Dallas,Feb-07,200S,315.0
Dallas,Feb-07,300S,0.0
Dallas,Feb-07,600S,0.0
Dallas,Feb-07,626S,0.0
Dallas,Feb-07,676RS,108.0
Dallas,Feb-07,676S,436.0
Dallas,Feb-07,900S,0.0
Dallas,Feb-07,929S,0.0
Dallas,Feb-07,996RS,0.0
Dallas,Feb-07,996S,20.0
Dallas,Feb-07,Bandit 1200,0.0
Dallas,Feb-07,Bandit 1200S,0.0
Dallas,Feb-07,Bandit 900,0.0
Dallas,Feb-07,Boulevard,193.0
Dallas,Feb-07,CRS550,0.0
Dallas,Feb-07,CRX500,0.0
Dallas,Feb-07,CRX600,0.0
Dallas,Feb-07,CRX650,0.0
Dallas,Feb-07,Enduro 350,0.0
Dallas,Feb-07,Enduro 450,0.0
Dallas,Feb-07,Enduro 550,0.0
Dallas,Feb-07,KingTwin,0.0
Dallas,Feb-07,MegaTwin,0.0
Dallas,Feb-07,RoadLiner,0.0
Dallas,Feb-07,RoadStar,200.0
Dallas,Feb-07,ST1200,0.0
Dallas,Feb-07,ST1200R,0.0
Dallas,Feb-07,ST900,0.0
Dallas,Feb-07,Victory,0.0
Dallas,Jan-07,200S,780.0
Dallas,Jan-07,300S,0.0
Dallas,Jan-07,600S,0.0
Dallas,Jan-07,626S,0.0
Dallas,Jan-07,676RS,951.0
Dallas,Jan-07,676S,1263.0
Dallas,Jan-07,900S,0.0
Dallas,Jan-07,929S,0.0
Dallas,Jan-07,996RS,0.0
Dallas,Jan-07,996S,698.0
Dallas,Jan-07,Bandit 1200,0.0
Dallas,Jan-07,Bandit 1200S,0.0
Dallas,Jan-07,Bandit 900,0.0
Dallas,Jan-07,Boulevard,1382.0
Dallas,Jan-07,CRS550,0.0
Dallas,Jan-07,CRX500,0.0
Dallas,Jan-07,CRX600,0.0
Dallas,Jan-07,CRX650,0.0
Dallas,Jan-07,Enduro 350,0.0
Dallas,Jan-07,Enduro 450,0.0
Dallas,Jan-07,Enduro 550,0.0
Dallas,Jan-07,KingTwin,0.0
Dallas,Jan-07,MegaTwin,0.0
Dallas,Jan-07,RoadLiner,0.0
Dallas,Jan-07,RoadStar,636.0
Dallas,Jan-07,ST1200,0.0
Dallas,Jan-07,ST1200R,0.0
Dallas,Jan-07,ST900,0.0
Dallas,Jan-07,Victory,0.0
Dallas,Mar-07,200S,223.0
Dallas,Mar-07,300S,0.0
Dallas,Mar-07,600S,0.0
Dallas,Mar-07,626S,0.0
Dallas,Mar-07,676RS,152.0
Dallas,Mar-07,676S,350.0
Dallas,Mar-07,900S,0.0
