Markets,Months,Products,value
Argentina,Feb-07,200S,0.0
Argentina,Feb-07,300S,0.0
Argentina,Feb-07,600S,0.0
Argentina,Feb-07,626S,208.0
Argentina,Feb-07,676RS,182.0
Argentina,Feb-07,676S,191.0
Argentina,Feb-07,900S,69.0
Argentina,Feb-07,929S,13.0
Argentina,Feb-07,996RS,109.0
Argentina,Feb-07,996S,200.0
Argentina,Feb-07,Bandit 1200,183.0
Argentina,Feb-07,Bandit 1200S,195.0
Argentina,Feb-07,Bandit 900,146.0
Argentina,Feb-07,Boulevard,76.0
Argentina,Feb-07,CRS550,217.0
Argentina,Feb-07,CRX500,164.0
Argentina,Feb-07,CRX600,83.0
Argentina,Feb-07,CRX650,121.0
Argentina,Feb-07,Enduro 350,143.0
Argentina,Feb-07,Enduro 450,31.0
Argentina,Feb-07,Enduro 550,114.0
Argentina,Feb-07,KingTwin,0.0
Argentina,Feb-07,MegaTwin,0.0
Argentina,Feb-07,RoadLiner,124.0
Argentina,Feb-07,RoadStar,207.0
Argentina,Feb-07,ST1200,182.0
Argentina,Feb-07,ST1200R,101.0
Argentina,Feb-07,ST900,151.0
Argentina,Feb-07,Victory,43.0
Argentina,Jan-07,200S,0.0
Argentina,Jan-07,300S,0.0
Argentina,Jan-07,600S,0.0
Argentina,Jan-07,626S,0.0
Argentina,Jan-07,676RS,0.0
Argentina,Jan-07,676S,0.0
Argentina,Jan-07,900S,0.0
Argentina,Jan-07,929S,0.0
Argentina,Jan-07,996RS,0.0
Argentina,Jan-07,996S,0.0
Argentina,Jan-07,Bandit 1200,0.0
Argentina,Jan-07,Bandit 1200S,0.0
Argentina,Jan-07,Bandit 900,0.0
Argentina,Jan-07,Boulevard,0.0
Argentina,Jan-07,CRS550,0.0
Argentina,Jan-07,CRX500,0.0
Argentina,Jan-07,CRX600,0.0
Argentina,Jan-07,CRX650,0.0
Argentina,Jan-07,Enduro 350,0.0
Argentina,Jan-07,Enduro 450,0.0
Argentina,Jan-07,Enduro 550,0.0
Argentina,Jan-07,KingTwin,0.0
Argentina,Jan-07,MegaTwin,0.0
Argentina,Jan-07,RoadLiner,0.0
Argentina,Jan-07,RoadStar,0.0
Argentina,Jan-07,ST1200,0.0
Argentina,Jan-07,ST1200R,0.0
Argentina,Jan-07,ST900,0.0
Argentina,Jan-07,Victory,0.0
Argentina,Mar-07,200S,0.0
Argentina,Mar-07,300S,44.0
Argentina,Mar-07,600S,77.0
Argentina,Mar-07,626S,106.0
Argentina,Mar-07,676RS,90.0
Argentina,Mar-07,676S,97.0
Argentina,Mar-07,900S,35.0
Argentina,Mar-07,929S,7.0
Argentina,Mar-07,996RS,55.0
Argentina,Mar-07,996S,105.0
Argentina,Mar-07,Bandit 1200,93.0
