id_of_Plant,id_of_Market,id_of_Month,id_of_Product,deliveryVar
Bucarest,Argentina,Feb-07,200S,0.0
Bucarest,Argentina,Feb-07,300S,0.0
Bucarest,Argentina,Feb-07,600S,0.0
Bucarest,Argentina,Feb-07,626S,0.0
Bucarest,Argentina,Feb-07,676RS,0.0
Bucarest,Argentina,Feb-07,676S,0.0
Bucarest,Argentina,Feb-07,900S,0.0
Bucarest,Argentina,Feb-07,929S,0.0
Bucarest,Argentina,Feb-07,996RS,0.0
Bucarest,Argentina,Feb-07,996S,0.0
Bucarest,Argentina,Feb-07,Bandit 1200,0.0
Bucarest,Argentina,Feb-07,Bandit 1200S,0.0
Bucarest,Argentina,Feb-07,Bandit 900,0.0
Bucarest,Argentina,Feb-07,Boulevard,0.0
Bucarest,Argentina,Feb-07,CRS550,0.0
Bucarest,Argentina,Feb-07,CRX500,0.0
Bucarest,Argentina,Feb-07,CRX600,0.0
Bucarest,Argentina,Feb-07,CRX650,0.0
Bucarest,Argentina,Feb-07,Enduro 350,70.0
Bucarest,Argentina,Feb-07,Enduro 450,0.0
Bucarest,Argentina,Feb-07,Enduro 550,0.0
Bucarest,Argentina,Feb-07,KingTwin,0.0
Bucarest,Argentina,Feb-07,MegaTwin,0.0
Bucarest,Argentina,Feb-07,RoadLiner,0.0
Bucarest,Argentina,Feb-07,RoadStar,0.0
Bucarest,Argentina,Feb-07,ST1200,182.0
Bucarest,Argentina,Feb-07,ST1200R,0.0
Bucarest,Argentina,Feb-07,ST900,0.0
Bucarest,Argentina,Feb-07,Victory,0.0
Bucarest,Argentina,Jan-07,200S,0.0
Bucarest,Argentina,Jan-07,300S,0.0
Bucarest,Argentina,Jan-07,600S,155.0
Bucarest,Argentina,Jan-07,626S,0.0
Bucarest,Argentina,Jan-07,676RS,0.0
Bucarest,Argentina,Jan-07,676S,0.0
Bucarest,Argentina,Jan-07,900S,0.0
Bucarest,Argentina,Jan-07,929S,0.0
Bucarest,Argentina,Jan-07,996RS,0.0
Bucarest,Argentina,Jan-07,996S,0.0
Bucarest,Argentina,Jan-07,Bandit 1200,0.0
Bucarest,Argentina,Jan-07,Bandit 1200S,0.0
Bucarest,Argentina,Jan-07,Bandit 900,0.0
Bucarest,Argentina,Jan-07,Boulevard,0.0
Bucarest,Argentina,Jan-07,CRS550,0.0
Bucarest,Argentina,Jan-07,CRX500,0.0
Bucarest,Argentina,Jan-07,CRX600,0.0
Bucarest,Argentina,Jan-07,CRX650,0.0
Bucarest,Argentina,Jan-07,Enduro 350,77.0
Bucarest,Argentina,Jan-07,Enduro 450,0.0
Bucarest,Argentina,Jan-07,Enduro 550,0.0
Bucarest,Argentina,Jan-07,KingTwin,267.0
Bucarest,Argentina,Jan-07,MegaTwin,177.0
Bucarest,Argentina,Jan-07,RoadLiner,0.0
Bucarest,Argentina,Jan-07,RoadStar,0.0
Bucarest,Argentina,Jan-07,ST1200,0.0
Bucarest,Argentina,Jan-07,ST1200R,0.0
Bucarest,Argentina,Jan-07,ST900,0.0
Bucarest,Argentina,Jan-07,Victory,0.0
Bucarest,Argentina,Mar-07,200S,0.0
Bucarest,Argentina,Mar-07,300S,0.0
Bucarest,Argentina,Mar-07,600S,0.0
Bucarest,Argentina,Mar-07,626S,0.0
Bucarest,Argentina,Mar-07,676RS,0.0
Bucarest,Argentina,Mar-07,676S,0.0
Bucarest,Argentina,Mar-07,900S,0.0
Bucarest,Argentina,Mar-07,929S,0.0
Bucarest,Argentina,Mar-07,996RS,0.0
Bucarest,Argentina,Mar-07,996S,0.0
Bucarest,Argentina,Mar-07,Bandit 1200,0.0
Bucarest,Argentina,Mar-07,Bandit 1200S,0.0
Bucarest,Argentina,Mar-07,Bandit 900,0.0
Bucarest,Argentina,Mar-07,Boulevard,0.0
Bucarest,Argentina,Mar-07,CRS550,0.0
Bucarest,Argentina,Mar-07,CRX500,0.0
Bucarest,Argentina,Mar-07,CRX600,0.0
Bucarest,Argentina,Mar-07,CRX650,0.0
Bucarest,Argentina,Mar-07,Enduro 350,73.0
Bucarest,Argentina,Mar-07,Enduro 450,0.0
Bucarest,Argentina,Mar-07,Enduro 550,0.0
Bucarest,Argentina,Mar-07,KingTwin,0.0
Bucarest,Argentina,Mar-07,MegaTwin,97.0
Bucarest,Argentina,Mar-07,RoadLiner,0.0
Bucarest,Argentina,Mar-07,RoadStar,0.0
Bucarest,Argentina,Mar-07,ST1200,0.0
Bucarest,Argentina,Mar-07,ST1200R,0.0
Bucarest,Argentina,Mar-07,ST900,0.0
Bucarest,Argentina,Mar-07,Victory,0.0
Bucarest,Brazil,Feb-07,200S,0.0
Bucarest,Brazil,Feb-07,300S,0.0
Bucarest,Brazil,Feb-07,600S,0.0
Bucarest,Brazil,Feb-07,626S,0.0
Bucarest,Brazil,Feb-07,676RS,0.0
Bucarest,Brazil,Feb-07,676S,0.0
