Markets,Months,Products,value
Argentina,Feb-07,200S,128.0
Argentina,Feb-07,300S,41.0
Argentina,Feb-07,600S,79.0
Argentina,Feb-07,626S,0.0
Argentina,Feb-07,676RS,0.0
Argentina,Feb-07,676S,94.0
Argentina,Feb-07,900S,0.0
Argentina,Feb-07,929S,6.0
Argentina,Feb-07,996RS,0.0
Argentina,Feb-07,996S,200.0
Argentina,Feb-07,Bandit 1200,90.0
Argentina,Feb-07,Bandit 1200S,195.0
Argentina,Feb-07,Bandit 900,75.0
Argentina,Feb-07,Boulevard,37.0
Argentina,Feb-07,CRS550,0.0
Argentina,Feb-07,CRX500,0.0
Argentina,Feb-07,CRX600,0.0
Argentina,Feb-07,CRX650,121.0
Argentina,Feb-07,Enduro 350,0.0
Argentina,Feb-07,Enduro 450,15.0
Argentina,Feb-07,Enduro 550,58.0
Argentina,Feb-07,KingTwin,184.0
Argentina,Feb-07,MegaTwin,89.0
Argentina,Feb-07,RoadLiner,61.0
Argentina,Feb-07,RoadStar,207.0
Argentina,Feb-07,ST1200,0.0
Argentina,Feb-07,ST1200R,0.0
Argentina,Feb-07,ST900,79.0
Argentina,Feb-07,Victory,22.0
Argentina,Jan-07,200S,0.0
Argentina,Jan-07,300S,0.0
Argentina,Jan-07,600S,0.0
Argentina,Jan-07,626S,0.0
Argentina,Jan-07,676RS,0.0
Argentina,Jan-07,676S,0.0
Argentina,Jan-07,900S,0.0
Argentina,Jan-07,929S,0.0
Argentina,Jan-07,996RS,0.0
Argentina,Jan-07,996S,0.0
Argentina,Jan-07,Bandit 1200,0.0
Argentina,Jan-07,Bandit 1200S,0.0
Argentina,Jan-07,Bandit 900,0.0
Argentina,Jan-07,Boulevard,0.0
Argentina,Jan-07,CRS550,0.0
Argentina,Jan-07,CRX500,0.0
Argentina,Jan-07,CRX600,0.0
Argentina,Jan-07,CRX650,0.0
Argentina,Jan-07,Enduro 350,0.0
Argentina,Jan-07,Enduro 450,0.0
Argentina,Jan-07,Enduro 550,0.0
Argentina,Jan-07,KingTwin,0.0
Argentina,Jan-07,MegaTwin,0.0
Argentina,Jan-07,RoadLiner,0.0
Argentina,Jan-07,RoadStar,0.0
Argentina,Jan-07,ST1200,0.0
Argentina,Jan-07,ST1200R,0.0
Argentina,Jan-07,ST900,0.0
Argentina,Jan-07,Victory,0.0
Argentina,Mar-07,200S,61.0
Argentina,Mar-07,300S,0.0
Argentina,Mar-07,600S,0.0
Argentina,Mar-07,626S,0.0
Argentina,Mar-07,676RS,90.0
Argentina,Mar-07,676S,0.0
Argentina,Mar-07,900S,0.0
Argentina,Mar-07,929S,0.0
Argentina,Mar-07,996RS,55.0
Argentina,Mar-07,996S,105.0
Argentina,Mar-07,Bandit 1200,0.0
Argentina,Mar-07,Bandit 1200S,99.0
Argentina,Mar-07,Bandit 900,0.0
Argentina,Mar-07,Boulevard,0.0
Argentina,Mar-07,CRS550,105.0
Argentina,Mar-07,CRX500,81.0
Argentina,Mar-07,CRX600,0.0
Argentina,Mar-07,CRX650,63.0
Argentina,Mar-07,Enduro 350,0.0
Argentina,Mar-07,Enduro 450,0.0
Argentina,Mar-07,Enduro 550,0.0
Argentina,Mar-07,KingTwin,92.0
Argentina,Mar-07,MegaTwin,0.0
Argentina,Mar-07,RoadLiner,0.0
Argentina,Mar-07,RoadStar,105.0
Argentina,Mar-07,ST1200,91.0
Argentina,Mar-07,ST1200R,0.0
Argentina,Mar-07,ST900,0.0
Argentina,Mar-07,Victory,0.0
Brazil,Feb-07,200S,178.0
Brazil,Feb-07,300S,0.0
Brazil,Feb-07,600S,142.0
Brazil,Feb-07,626S,0.0
Brazil,Feb-07,676RS,0.0
Brazil,Feb-07,676S,6.0
Brazil,Feb-07,900S,83.0
Brazil,Feb-07,929S,0.0
Brazil,Feb-07,996RS,0.0
Brazil,Feb-07,996S,8.0
Brazil,Feb-07,Bandit 1200,72.0
Brazil,Feb-07,Bandit 1200S,0.0
Brazil,Feb-07,Bandit 900,0.0
Brazil,Feb-07,Boulevard,0.0
Brazil,Feb-07,CRS550,0.0
Brazil,Feb-07,CRX500,143.0
Brazil,Feb-07,CRX600,0.0
Brazil,Feb-07,CRX650,107.0
Brazil,Feb-07,Enduro 350,29.0
Brazil,Feb-07,Enduro 450,0.0
Brazil,Feb-07,Enduro 550,36.0
Brazil,Feb-07,KingTwin,0.0
Brazil,Feb-07,MegaTwin,78.0
Brazil,Feb-07,RoadLiner,0.0
Brazil,Feb-07,RoadStar,154.0
Brazil,Feb-07,ST1200,60.0
Brazil,Feb-07,ST1200R,14.0
Brazil,Feb-07,ST900,37.0
Brazil,Feb-07,Victory,0.0
Brazil,Jan-07,200S,0.0
Brazil,Jan-07,300S,0.0
Brazil,Jan-07,600S,0.0
Brazil,Jan-07,626S,0.0
Brazil,Jan-07,676RS,0.0
Brazil,Jan-07,676S,0.0
Brazil,Jan-07,900S,0.0
Brazil,Jan-07,929S,0.0
Brazil,Jan-07,996RS,0.0
Brazil,Jan-07,996S,0.0
Brazil,Jan-07,Bandit 1200,0.0
Brazil,Jan-07,Bandit 1200S,0.0
Brazil,Jan-07,Bandit 900,0.0
Brazil,Jan-07,Boulevard,0.0
Brazil,Jan-07,CRS550,0.0
Brazil,Jan-07,CRX500,0.0
Brazil,Jan-07,CRX600,0.0
Brazil,Jan-07,CRX650,0.0
Brazil,Jan-07,Enduro 350,0.0
Brazil,Jan-07,Enduro 450,0.0
Brazil,Jan-07,Enduro 550,0.0
Brazil,Jan-07,KingTwin,0.0
Brazil,Jan-07,MegaTwin,0.0
Brazil,Jan-07,RoadLiner,0.0
Brazil,Jan-07,RoadStar,0.0
Brazil,Jan-07,ST1200,0.0
Brazil,Jan-07,ST1200R,0.0
Brazil,Jan-07,ST900,0.0
Brazil,Jan-07,Victory,0.0
Brazil,Mar-07,200S,90.0
Brazil,Mar-07,300S,55.0
Brazil,Mar-07,600S,72.0
Brazil,Mar-07,626S,22.0
Brazil,Mar-07,676RS,59.0
Brazil,Mar-07,676S,0.0
Brazil,Mar-07,900S,43.0
Brazil,Mar-07,929S,0.0
Brazil,Mar-07,996RS,99.0
Brazil,Mar-07,996S,0.0
Brazil,Mar-07,Bandit 1200,0.0
Brazil,Mar-07,Bandit 1200S,34.0
Brazil,Mar-07,Bandit 900,0.0
Brazil,Mar-07,Boulevard,9.0
Brazil,Mar-07,CRS550,110.0
Brazil,Mar-07,CRX500,73.0
Brazil,Mar-07,CRX600,0.0
Brazil,Mar-07,CRX650,0.0
Brazil,Mar-07,Enduro 350,0.0
Brazil,Mar-07,Enduro 450,0.0
Brazil,Mar-07,Enduro 550,18.0
Brazil,Mar-07,KingTwin,0.0
Brazil,Mar-07,MegaTwin,0.0
Brazil,Mar-07,RoadLiner,103.0
Brazil,Mar-07,RoadStar,79.0
Brazil,Mar-07,ST1200,0.0
Brazil,Mar-07,ST1200R,0.0
Brazil,Mar-07,ST900,20.0
Brazil,Mar-07,Victory,0.0
Canada,Feb-07,200S,193.0
Canada,Feb-07,300S,45.0
Canada,Feb-07,600S,149.0
Canada,Feb-07,626S,0.0
Canada,Feb-07,676RS,32.0
Canada,Feb-07,676S,0.0
Canada,Feb-07,900S,97.0
Canada,Feb-07,929S,85.0
Canada,Feb-07,996RS,0.0
Canada,Feb-07,996S,181.0
Canada,Feb-07,Bandit 1200,0.0
Canada,Feb-07,Bandit 1200S,130.0
Canada,Feb-07,Bandit 900,0.0
Canada,Feb-07,Boulevard,54.0
Canada,Feb-07,CRS550,70.0
Canada,Feb-07,CRX500,0.0
Canada,Feb-07,CRX600,3.0
Canada,Feb-07,CRX650,135.0
Canada,Feb-07,Enduro 350,4.0
Canada,Feb-07,Enduro 450,0.0
Canada,Feb-07,Enduro 550,0.0
Canada,Feb-07,KingTwin,0.0
Canada,Feb-07,MegaTwin,35.0
Canada,Feb-07,RoadLiner,86.0
Canada,Feb-07,RoadStar,98.0
Canada,Feb-07,ST1200,26.0
Canada,Feb-07,ST1200R,75.0
Canada,Feb-07,ST900,0.0
Canada,Feb-07,Victory,0.0
Canada,Jan-07,200S,0.0
Canada,Jan-07,300S,0.0
Canada,Jan-07,600S,0.0
Canada,Jan-07,626S,0.0
Canada,Jan-07,676RS,0.0
Canada,Jan-07,676S,0.0
Canada,Jan-07,900S,0.0
Canada,Jan-07,929S,0.0
Canada,Jan-07,996RS,0.0
Canada,Jan-07,996S,0.0
Canada,Jan-07,Bandit 1200,0.0
Canada,Jan-07,Bandit 1200S,0.0
Canada,Jan-07,Bandit 900,0.0
Canada,Jan-07,Boulevard,0.0
Canada,Jan-07,CRS550,0.0
Canada,Jan-07,CRX500,0.0
Canada,Jan-07,CRX600,0.0
Canada,Jan-07,CRX650,0.0
Canada,Jan-07,Enduro 350,0.0
Canada,Jan-07,Enduro 450,0.0
Canada,Jan-07,Enduro 550,0.0
Canada,Jan-07,KingTwin,0.0
Canada,Jan-07,MegaTwin,0.0
Canada,Jan-07,RoadLiner,0.0
Canada,Jan-07,RoadStar,0.0
Canada,Jan-07,ST1200,0.0
Canada,Jan-07,ST1200R,0.0
Canada,Jan-07,ST900,0.0
Canada,Jan-07,Victory,0.0
Canada,Mar-07,200S,97.0
Canada,Mar-07,300S,22.0
Canada,Mar-07,600S,78.0
