Plants,Months,Products,value
Bucarest,Feb-07,200S,0.0
Bucarest,Feb-07,300S,0.0
Bucarest,Feb-07,600S,73.0
Bucarest,Feb-07,626S,0.0
Bucarest,Feb-07,676RS,0.0
Bucarest,Feb-07,676S,0.0
Bucarest,Feb-07,900S,0.0
Bucarest,Feb-07,929S,0.0
Bucarest,Feb-07,996RS,0.0
Bucarest,Feb-07,996S,0.0
Bucarest,Feb-07,Bandit 1200,0.0
Bucarest,Feb-07,Bandit 1200S,0.0
Bucarest,Feb-07,Bandit 900,0.0
Bucarest,Feb-07,Boulevard,0.0
Bucarest,Feb-07,CRS550,0.0
Bucarest,Feb-07,CRX500,0.0
Bucarest,Feb-07,CRX600,0.0
Bucarest,Feb-07,CRX650,0.0
Bucarest,Feb-07,Enduro 350,139.0
Bucarest,Feb-07,Enduro 450,0.0
Bucarest,Feb-07,Enduro 550,0.0
Bucarest,Feb-07,KingTwin,572.0
Bucarest,Feb-07,MegaTwin,301.0
Bucarest,Feb-07,RoadLiner,0.0
Bucarest,Feb-07,RoadStar,0.0
Bucarest,Feb-07,ST1200,182.0
Bucarest,Feb-07,ST1200R,0.0
Bucarest,Feb-07,ST900,0.0
Bucarest,Feb-07,Victory,0.0
Bucarest,Jan-07,200S,0.0
Bucarest,Jan-07,300S,0.0
Bucarest,Jan-07,600S,226.0
Bucarest,Jan-07,626S,0.0
Bucarest,Jan-07,676RS,0.0
Bucarest,Jan-07,676S,0.0
Bucarest,Jan-07,900S,0.0
Bucarest,Jan-07,929S,0.0
Bucarest,Jan-07,996RS,0.0
Bucarest,Jan-07,996S,0.0
Bucarest,Jan-07,Bandit 1200,0.0
Bucarest,Jan-07,Bandit 1200S,0.0
Bucarest,Jan-07,Bandit 900,0.0
Bucarest,Jan-07,Boulevard,0.0
Bucarest,Jan-07,CRS550,0.0
Bucarest,Jan-07,CRX500,0.0
Bucarest,Jan-07,CRX600,0.0
Bucarest,Jan-07,CRX650,0.0
Bucarest,Jan-07,Enduro 350,1309.0
Bucarest,Jan-07,Enduro 450,0.0
Bucarest,Jan-07,Enduro 550,0.0
Bucarest,Jan-07,KingTwin,1412.0
Bucarest,Jan-07,MegaTwin,1151.0
Bucarest,Jan-07,RoadLiner,0.0
Bucarest,Jan-07,RoadStar,0.0
Bucarest,Jan-07,ST1200,0.0
Bucarest,Jan-07,ST1200R,0.0
Bucarest,Jan-07,ST900,0.0
Bucarest,Jan-07,Victory,0.0
Bucarest,Mar-07,200S,0.0
Bucarest,Mar-07,300S,0.0
Bucarest,Mar-07,600S,0.0
Bucarest,Mar-07,626S,0.0
Bucarest,Mar-07,676RS,0.0
Bucarest,Mar-07,676S,0.0
Bucarest,Mar-07,900S,0.0
Bucarest,Mar-07,929S,0.0
Bucarest,Mar-07,996RS,0.0
Bucarest,Mar-07,996S,0.0
Bucarest,Mar-07,Bandit 1200,0.0
Bucarest,Mar-07,Bandit 1200S,0.0
Bucarest,Mar-07,Bandit 900,0.0
Bucarest,Mar-07,Boulevard,0.0
Bucarest,Mar-07,CRS550,0.0
Bucarest,Mar-07,CRX500,0.0
Bucarest,Mar-07,CRX600,0.0
Bucarest,Mar-07,CRX650,0.0
Bucarest,Mar-07,Enduro 350,250.0
Bucarest,Mar-07,Enduro 450,0.0
Bucarest,Mar-07,Enduro 550,0.0
Bucarest,Mar-07,KingTwin,414.0
Bucarest,Mar-07,MegaTwin,408.0
Bucarest,Mar-07,RoadLiner,0.0
Bucarest,Mar-07,RoadStar,0.0
Bucarest,Mar-07,ST1200,95.0
Bucarest,Mar-07,ST1200R,0.0
Bucarest,Mar-07,ST900,0.0
Bucarest,Mar-07,Victory,0.0
Dallas,Feb-07,200S,418.0
Dallas,Feb-07,300S,0.0
Dallas,Feb-07,600S,0.0
Dallas,Feb-07,626S,0.0
Dallas,Feb-07,676RS,136.0
Dallas,Feb-07,676S,297.0
Dallas,Feb-07,900S,0.0
Dallas,Feb-07,929S,0.0
Dallas,Feb-07,996RS,0.0
Dallas,Feb-07,996S,274.0
Dallas,Feb-07,Bandit 1200,0.0
Dallas,Feb-07,Bandit 1200S,0.0
Dallas,Feb-07,Bandit 900,0.0
Dallas,Feb-07,Boulevard,271.0
Dallas,Feb-07,CRS550,0.0
Dallas,Feb-07,CRX500,0.0
Dallas,Feb-07,CRX600,0.0
Dallas,Feb-07,CRX650,0.0
Dallas,Feb-07,Enduro 350,0.0
Dallas,Feb-07,Enduro 450,404.0
Dallas,Feb-07,Enduro 550,0.0
Dallas,Feb-07,KingTwin,0.0
Dallas,Feb-07,MegaTwin,0.0
Dallas,Feb-07,RoadLiner,0.0
Dallas,Feb-07,RoadStar,413.0
Dallas,Feb-07,ST1200,0.0
Dallas,Feb-07,ST1200R,0.0
Dallas,Feb-07,ST900,0.0
Dallas,Feb-07,Victory,0.0
Dallas,Jan-07,200S,738.0
Dallas,Jan-07,300S,0.0
Dallas,Jan-07,600S,0.0
Dallas,Jan-07,626S,0.0
Dallas,Jan-07,676RS,718.0
Dallas,Jan-07,676S,1052.0
Dallas,Jan-07,900S,0.0
Dallas,Jan-07,929S,0.0
Dallas,Jan-07,996RS,0.0
Dallas,Jan-07,996S,441.0
Dallas,Jan-07,Bandit 1200,0.0
Dallas,Jan-07,Bandit 1200S,0.0
Dallas,Jan-07,Bandit 900,0.0
Dallas,Jan-07,Boulevard,1098.0
Dallas,Jan-07,CRS550,0.0
Dallas,Jan-07,CRX500,0.0
Dallas,Jan-07,CRX600,0.0
Dallas,Jan-07,CRX650,0.0
Dallas,Jan-07,Enduro 350,0.0
Dallas,Jan-07,Enduro 450,1294.0
Dallas,Jan-07,Enduro 550,0.0
Dallas,Jan-07,KingTwin,0.0
Dallas,Jan-07,MegaTwin,0.0
Dallas,Jan-07,RoadLiner,0.0
Dallas,Jan-07,RoadStar,1807.0
Dallas,Jan-07,ST1200,0.0
Dallas,Jan-07,ST1200R,0.0
Dallas,Jan-07,ST900,0.0
Dallas,Jan-07,Victory,0.0
Dallas,Mar-07,200S,227.0
Dallas,Mar-07,300S,0.0
Dallas,Mar-07,600S,0.0
Dallas,Mar-07,626S,0.0
Dallas,Mar-07,676RS,303.0
Dallas,Mar-07,676S,700.0
