grp,shelf,numFacings,offset,widthOnShelf
Grp101,A005,5,0,35
Grp102,A004,5,0,35
Grp102,A005,4,35,28
Grp102,A006,6,0,42
Grp103,A005,1,63,7
Grp104,A005,5,70,30
Grp104,A006,11,42,66
Grp105,A002,2,0,12
Grp105,A003,1,0,6
Grp106,A002,2,12,12
Grp107,A003,2,6,12
Grp108,A003,2,18,16
Grp109,A003,3,34,24
Grp109,A004,3,35,24
Grp110,A001,1,0.5,8
Grp110,A002,1,24,8
Grp111,A001,2,8.5,16
Grp112,A001,9,24.5,49.5
Grp113,A002,6,32,33
Grp113,A003,3,58,16.5
Grp113,A004,2,59,11
Grp114,A002,2,65,11
Grp115,A006,6,108,36
Grp116,A005,7,102,42
Grp117,A002,1,76,6
Grp117,A003,5,74.5,30
Grp117,A004,1,70,6
Grp118,A001,3,74,21
Grp118,A002,7,82,49
Grp119,A003,2,104.5,14
Grp120,A003,1,118.5,6
Grp121,A004,3,76,16.5
Grp122,A004,7,92.5,38.5
Grp123,A002,2,131,13
Grp123,A003,3,124.5,19.5
Grp123,A004,2,131,13
Grp124,A001,7,95,49
Grp201,A004,5,0,35
Grp201,A005,9,0,63
Grp201,A006,6,0,42
Grp202,A005,6,63,37
Grp202,A006,11,42,66
Grp203,A002,4,0,24
Grp203,A003,1,0,6
Grp204,A003,4,6,28
Grp205,A001,1,0.5,8
Grp205,A002,1,24,8
Grp205,A003,3,34,24
Grp205,A004,3,35,24
Grp206,A001,11,8.5,65.5
Grp207,A002,8,32,44
Grp207,A003,3,58,16.5
Grp207,A004,2,59,11
Grp208,A005,7,102,42
Grp208,A006,6,108,36
Grp209,A001,3,74,21
Grp209,A002,8,76,55
Grp209,A003,5,74.5,30
Grp209,A004,1,70,6
Grp210,A003,3,104.5,20
Grp211,A004,10,76,55
Grp212,A001,7,95,49
Grp212,A002,2,131,13
Grp212,A003,3,124.5,19.5
Grp212,A004,2,131,13
