sku,shelf,numFacings,offset,skuWidth,offset2,parentGrp
SU0084,A001,1,0.5,8,8.5,Grp110
SU0086,A001,2,8.5,8,24.5,Grp111
SU0097,A001,9,24.5,5.5,74,Grp112
SU0162,A001,3,74,7,95,Grp118
SU0235,A001,7,95,7,144,Grp124
SU0033,A002,2,0,6,12,Grp105
SU0043,A002,2,12,6,24,Grp106
SU0080,A002,1,24,8,32,Grp110
SU0103,A002,6,32,5.5,65,Grp113
SU0112,A002,2,65,5.5,76,Grp114
SU0140,A002,1,76,6,82,Grp117
SU0158,A002,7,82,7,131,Grp118
SU0216,A002,2,131,6.5,144,Grp123
SU0039,A003,1,0,6,6,Grp105
SU0052,A003,1,6,6,12,Grp107
SU0055,A003,1,12,6,18,Grp107
SU0061,A003,2,18,8,34,Grp108
SU0070,A003,3,34,8,58,Grp109
SU0102,A003,1,58,5.5,63.5,Grp113
SU0108,A003,2,63.5,5.5,74.5,Grp113
SU0141,A003,5,74.5,6,104.5,Grp117
SU0164,A003,2,104.5,7,118.5,Grp119
SU0184,A003,1,118.5,6,124.5,Grp120
SU0221,A003,3,124.5,6.5,144,Grp123
SU0011,A004,4,0,7,28,Grp102
SU0012,A004,1,28,7,35,Grp102
SU0073,A004,3,35,8,59,Grp109
SU0107,A004,2,59,5.5,70,Grp113
SU0142,A004,1,70,6,76,Grp117
SU0198,A004,3,76,5.5,92.5,Grp121
SU0206,A004,7,92.5,5.5,131,Grp122
SU0219,A004,2,131,6.5,144,Grp123
SU0001,A005,5,0,7,35,Grp101
SU0014,A005,4,35,7,63,Grp102
SU0024,A005,1,63,7,70,Grp103
SU0032,A005,5,70,6,100,Grp104
SU0129,A005,7,102,6,144,Grp116
SU0015,A006,6,0,7,42,Grp102
SU0031,A006,11,42,6,108,Grp104
SU0120,A006,6,108,6,144,Grp115
