sku,shelf,unitsPerFacing
SU0001,A001,6
SU0002,A001,6
SU0003,A001,6
SU0004,A001,6
SU0005,A001,6
SU0006,A001,6
SU0007,A001,6
SU0008,A001,6
SU0009,A001,6
SU0010,A001,6
SU0011,A001,6
SU0012,A001,6
SU0013,A001,6
SU0014,A001,6
SU0015,A001,6
SU0016,A001,6
SU0017,A001,6
SU0018,A001,6
SU0019,A001,6
SU0020,A001,6
SU0021,A001,6
SU0022,A001,6
SU0023,A001,6
SU0024,A001,6
SU0025,A001,6
SU0026,A001,6
SU0027,A001,6
SU0028,A001,6
SU0029,A001,6
SU0030,A001,6
SU0031,A001,6
SU0032,A001,6
SU0033,A001,6
SU0034,A001,6
SU0035,A001,6
SU0036,A001,6
SU0037,A001,6
SU0038,A001,6
SU0039,A001,6
SU0040,A001,6
SU0041,A001,6
SU0042,A001,6
SU0043,A001,6
SU0044,A001,6
SU0045,A001,6
SU0046,A001,6
SU0047,A001,6
SU0048,A001,6
SU0049,A001,6
SU0050,A001,6
SU0051,A001,6
SU0052,A001,6
SU0053,A001,6
SU0054,A001,6
SU0055,A001,6
SU0056,A001,6
SU0057,A001,6
SU0058,A001,6
SU0059,A001,6
SU0060,A001,6
SU0061,A001,6
SU0062,A001,6
SU0063,A001,6
SU0064,A001,6
SU0065,A001,6
SU0066,A001,6
SU0067,A001,6
SU0068,A001,6
SU0069,A001,6
SU0070,A001,6
SU0071,A001,6
SU0072,A001,6
SU0073,A001,6
SU0074,A001,6
SU0075,A001,6
SU0076,A001,6
SU0077,A001,6
SU0078,A001,6
SU0079,A001,6
SU0080,A001,6
SU0081,A001,6
SU0082,A001,6
SU0083,A001,6
SU0084,A001,6
SU0085,A001,6
SU0086,A001,6
SU0087,A001,6
SU0088,A001,6
SU0089,A001,6
SU0090,A001,6
SU0091,A001,6
SU0092,A001,6
SU0093,A001,6
SU0094,A001,6
SU0095,A001,6
SU0096,A001,6
SU0097,A001,6
SU0098,A001,6
SU0099,A001,6
SU0100,A001,6
SU0101,A001,6
SU0102,A001,6
SU0103,A001,6
SU0104,A001,6
SU0105,A001,6
SU0106,A001,6
SU0107,A001,6
SU0108,A001,6
SU0109,A001,6
SU0110,A001,6
SU0111,A001,6
SU0112,A001,6
SU0113,A001,6
SU0114,A001,6
SU0115,A001,6
SU0116,A001,6
SU0117,A001,6
SU0118,A001,6
SU0119,A001,6
SU0120,A001,6
SU0121,A001,6
SU0122,A001,6
SU0123,A001,6
SU0124,A001,6
SU0125,A001,6
SU0126,A001,6
SU0127,A001,6
SU0128,A001,6
SU0129,A001,6
SU0130,A001,6
SU0131,A001,6
