grp,shelf,numFacings,offset,widthOnShelf
Grp101,A002,3,0,21
Grp101,A003,3,0,21
Grp102,A001,4,0,28
Grp102,A002,1,21,7
Grp102,A003,1,21,7
Grp102,A004,4,0,28
Grp102,A005,3,0,21
Grp102,A006,4,0,28
Grp103,A001,1,28,7
Grp104,A001,2,35,12
Grp104,A002,3,28,18
Grp104,A003,1,28,6
Grp104,A004,2,28,12
Grp104,A005,3,22,18
Grp105,A004,1,40,6
Grp105,A005,1,40,6
Grp106,A003,2,35,12
Grp107,A006,3,29,18
Grp108,A006,2,47,16
Grp109,A001,4,47,32
Grp109,A002,1,46,8
Grp109,A003,1,47,8
Grp109,A004,2,46.5,16
Grp110,A004,1,62.5,8
Grp110,A005,2,47,16
Grp111,A005,2,63,16
Grp112,A006,6,63,33
Grp113,A001,4,79,22
Grp113,A002,2,54,11
Grp113,A003,2,55,11
Grp113,A004,1,70.5,5.5
Grp114,A004,1,76,5.5
Grp115,A003,5,66,30
Grp116,A002,6,65,36
Grp117,A001,6,101,36
Grp118,A001,1,137,7
Grp118,A002,3,101,21
Grp118,A003,2,97,14
Grp118,A004,2,81.5,14
Grp118,A005,3,79,21
Grp118,A006,2,97,14
Grp119,A004,2,95.5,14
Grp120,A005,1,100,6
Grp121,A005,2,106,11
Grp122,A006,6,111,33
Grp123,A003,4,111,26
Grp123,A004,1,109.5,6.5
Grp123,A005,2,117,13
Grp124,A002,3,122,21
Grp124,A003,1,137,7
Grp124,A004,4,116,28
Grp124,A005,2,130,14
Grp201,A001,4,0,28
Grp201,A002,4,0,28
Grp201,A003,4,0,28
Grp201,A004,4,0,28
Grp201,A005,3,0,21
Grp201,A006,4,0,28
Grp202,A001,3,28,19
Grp202,A002,3,28,18
Grp202,A003,1,28,6
Grp202,A004,2,28,12
Grp202,A005,3,22,18
Grp203,A003,2,35,12
Grp203,A004,1,40,6
Grp203,A005,1,40,6
Grp204,A006,5,29,34
Grp205,A001,4,47,32
Grp205,A002,1,46,8
Grp205,A003,1,47,8
Grp205,A004,3,46.5,24
Grp205,A005,2,47,16
Grp206,A005,2,63,16
Grp206,A006,6,63,33
Grp207,A001,4,79,22
Grp207,A002,2,54,11
Grp207,A003,2,55,11
Grp207,A004,2,70.5,11
Grp208,A002,6,65,36
Grp208,A003,5,66,30
Grp209,A001,7,101,43
Grp209,A002,3,101,21
Grp209,A003,2,97,14
Grp209,A004,2,81.5,14
Grp209,A005,3,79,21
Grp209,A006,2,97,14
Grp210,A004,2,95.5,14
Grp210,A005,1,100,6
Grp211,A005,2,106,11
Grp211,A006,6,111,33
Grp212,A002,3,122,21
Grp212,A003,5,111,33
Grp212,A004,5,109.5,34.5
Grp212,A005,4,117,27
