id,level,parentGroup,alpha,beta,needRectangularity,needSquareness
Grp101,1,Grp201,550,0.35,0,0
Grp102,1,Grp201,2000,0.25,0,0
Grp103,1,Grp202,300,0.25,0,0
Grp104,1,Grp202,950,0.3,0,0
Grp105,1,Grp203,450,0.2,0,0
Grp106,1,Grp203,300,0.25,0,0
Grp107,1,Grp204,500,0.25,0,0
Grp108,1,Grp204,400,0.3,0,0
Grp109,1,Grp205,1000,0.3,0,0
Grp110,1,Grp205,1100,0.15,0,0
Grp111,1,Grp206,980,0.15,0,0
Grp112,1,Grp206,770,0.25,0,0
Grp113,1,Grp207,1500,0.2,0,0
Grp114,1,Grp207,300,0.2,0,0
Grp115,1,Grp208,550,0.3,0,0
Grp116,1,Grp208,600,0.3,0,0
Grp117,1,Grp209,500,0.35,0,0
Grp118,1,Grp209,899,0.35,0,0
Grp119,1,Grp210,976,0.1,0,0
Grp120,1,Grp210,250,0.2,0,0
Grp121,1,Grp211,300,0.3,0,0
Grp122,1,Grp211,700,0.25,0,0
Grp123,1,Grp212,750,0.3,0,0
Grp124,1,Grp212,1500,0.24,0,0
Grp201,2,,-1,-1,1,1
Grp202,2,,-1,-1,1,1
Grp203,2,,-1,-1,1,1
Grp204,2,,-1,-1,1,1
Grp205,2,,-1,-1,1,1
Grp206,2,,-1,-1,1,1
Grp207,2,,-1,-1,1,1
Grp208,2,,-1,-1,1,1
Grp209,2,,-1,-1,1,1
Grp210,2,,-1,-1,1,1
Grp211,2,,-1,-1,1,1
Grp212,2,,-1,-1,1,1
