sku,value
SU0001,-6
SU0002,6
SU0003,9
SU0004,15
SU0005,12
SU0006,9
SU0007,-15
SU0008,6
SU0009,0
SU0010,-3
SU0011,2
SU0012,-21
SU0013,-10
SU0014,-15
SU0015,-3
SU0016,0
SU0017,9
SU0018,3
SU0019,11
SU0020,6
SU0021,11
SU0022,9
SU0023,9
SU0024,12
SU0025,12
SU0026,-6
SU0027,6
SU0028,0
SU0029,-8
SU0030,1
SU0031,-14
SU0032,-9
SU0033,9
SU0034,2
SU0035,14
SU0036,1
SU0037,6
SU0038,3
SU0039,1
SU0040,1
SU0041,2
SU0042,2
SU0043,9
SU0044,12
SU0045,6
SU0046,30
SU0047,6
SU0048,9
SU0049,15
SU0050,18
SU0051,10
SU0052,10
SU0053,6
SU0054,-9
SU0055,9
SU0056,9
SU0057,15
SU0058,15
SU0059,15
SU0060,15
SU0061,3
SU0062,21
SU0063,21
SU0064,21
SU0065,21
SU0066,21
SU0067,17
SU0068,14
SU0069,13
SU0070,9
SU0071,-9
SU0072,3
SU0073,15
SU0074,15
SU0075,15
SU0076,15
SU0077,15
SU0078,9
SU0079,9
SU0080,3
SU0081,15
SU0082,15
SU0083,15
SU0084,15
SU0085,15
SU0086,3
SU0087,7
SU0088,7
SU0089,7
SU0090,7
SU0091,7
SU0092,7
SU0093,7
SU0094,7
SU0095,7
SU0096,7
SU0097,-29
SU0098,7
SU0099,7
SU0100,7
SU0101,7
SU0102,-5
SU0103,-5
SU0104,1
SU0105,7
SU0106,7
SU0107,7
SU0108,-9
SU0109,15
SU0110,15
SU0111,15
SU0112,15
SU0113,15
SU0114,15
SU0115,9
SU0116,15
SU0117,15
SU0118,15
SU0119,15
SU0120,-9
SU0121,15
SU0122,9
SU0123,15
SU0124,15
SU0125,15
SU0126,15
SU0127,15
SU0128,15
SU0129,15
SU0130,15
SU0131,15
SU0132,4
SU0133,4
SU0134,4
SU0135,4
SU0136,4
SU0137,4
SU0138,4
SU0139,-32
SU0140,-32
SU0141,4
SU0142,4
SU0143,4
SU0144,4
SU0145,4
SU0146,4
SU0147,4
SU0148,4
SU0149,4
SU0150,4
SU0151,4
SU0152,7
SU0153,7
SU0154,7
SU0155,1
SU0156,-5
SU0157,1
SU0158,7
SU0159,-11
SU0160,-5
SU0161,1
SU0162,-11
SU0163,7
SU0164,-5
SU0165,7
SU0166,7
SU0167,7
SU0168,7
SU0169,7
SU0170,7
SU0171,7
SU0172,7
SU0173,7
SU0174,7
SU0175,7
SU0176,12
SU0177,12
SU0178,6
SU0179,12
SU0180,12
SU0181,12
SU0182,12
SU0183,12
SU0184,12
SU0185,12
SU0186,12
SU0187,12
SU0188,12
SU0189,12
SU0190,12
SU0191,12
SU0192,12
SU0193,12
SU0194,-9
SU0195,3
SU0196,3
SU0197,3
SU0198,3
SU0199,3
SU0200,-33
SU0201,3
SU0202,3
SU0203,3
SU0204,3
SU0205,3
SU0206,3
SU0207,3
SU0208,3
SU0209,3
SU0210,3
SU0211,-3
SU0212,-15
SU0213,-9
SU0214,3
SU0215,3
SU0216,14
SU0217,14
SU0218,14
SU0219,14
SU0220,14
SU0221,8
SU0222,2
SU0223,14
SU0224,14
SU0225,2
SU0226,14
SU0227,14
SU0228,14
SU0229,14
SU0230,14
SU0231,14
SU0232,14
SU0233,14
SU0234,8
SU0235,-10
SU0236,8
