grp,alpha,beta,numFacings
Grp101,550,0.3500,6
Grp102,2000,0.25,13
Grp103,300,0.25,1
Grp104,950,0.3000,16
Grp105,450,0.2000,1
Grp106,300,0.25,2
Grp107,500,0.25,3
Grp108,400,0.3000,2
Grp109,1000,0.3000,6
Grp110,1100,0.1500,2
Grp111,980,0.1500,2
Grp112,770,0.25,6
Grp113,1500,0.2000,16
Grp114,300,0.2000,2
Grp115,550,0.3000,6
Grp116,600,0.3000,5
Grp117,500,0.3500,10
Grp118,899,0.3500,11
Grp119,976,0.1000,1
Grp120,250,0.2000,1
Grp121,300,0.3000,4
Grp122,700,0.25,5
Grp123,750,0.3000,5
Grp124,1500,0.2400,9
Grp201,-1,-1,19
Grp202,-1,-1,17
Grp203,-1,-1,3
Grp204,-1,-1,5
Grp205,-1,-1,8
Grp206,-1,-1,8
Grp207,-1,-1,18
Grp208,-1,-1,11
Grp209,-1,-1,21
Grp210,-1,-1,2
Grp211,-1,-1,9
Grp212,-1,-1,14
