grp,shelf,numFacings,offset,widthOnShelf
Grp101,A003,1,0,7
Grp101,A004,1,0,7
Grp101,A005,1,0,7
Grp101,A006,3,0,21
Grp102,A001,1,0,7
Grp102,A002,4,0,28
Grp102,A003,3,7,21
Grp102,A004,3,7,21
Grp102,A005,2,7,14
Grp103,A001,1,7,7
Grp104,A001,16,14,96
Grp105,A006,1,21,6
Grp106,A006,2,27,12
Grp107,A002,1,28,6
Grp107,A003,2,28,12
Grp108,A004,2,28,16
Grp109,A003,6,40,48
Grp110,A002,2,34.5,16
Grp111,A005,2,21.5,16
Grp112,A004,6,44,33
Grp113,A005,9,37.5,49.5
Grp113,A006,7,39,38.5
Grp114,A006,2,77.5,11
Grp115,A002,6,50.5,36
Grp116,A002,5,86.5,30
Grp117,A003,6,88,36
Grp117,A004,4,77,24
Grp118,A004,2,101,16
Grp118,A005,5,87,35
Grp118,A006,4,88.5,28
Grp119,A002,1,116.5,7
Grp120,A001,1,110,6
Grp121,A005,4,122,22
Grp122,A006,5,116.5,27.5
Grp123,A002,1,123.5,6.5
Grp123,A003,2,124,13
Grp123,A004,2,117,13
Grp124,A001,4,116,28
Grp124,A002,2,130,14
Grp124,A003,1,137,7
Grp124,A004,2,130,14
Grp201,A001,1,0,7
Grp201,A002,4,0,28
Grp201,A003,4,0,28
Grp201,A004,4,0,28
Grp201,A005,3,0,21
Grp201,A006,3,0,21
Grp202,A001,17,7,103
Grp203,A006,3,21,18
Grp204,A002,1,28,6
Grp204,A003,2,28,12
Grp204,A004,2,28,16
Grp205,A002,2,34.5,16
Grp205,A003,6,40,48
Grp206,A004,6,44,33
Grp206,A005,2,21.5,16
Grp207,A005,9,37.5,49.5
Grp207,A006,9,39,49.5
Grp208,A002,11,50.5,66
Grp209,A003,6,88,36
Grp209,A004,6,77,40
Grp209,A005,5,87,35
Grp209,A006,4,88.5,28
Grp210,A001,1,110,6
Grp210,A002,1,116.5,7
Grp211,A005,4,122,22
Grp211,A006,5,116.5,27.5
Grp212,A001,4,116,28
Grp212,A002,3,123.5,20.5
Grp212,A003,3,124,20
Grp212,A004,4,117,27
