sku,shelf,numFacings,offset,skuWidth,offset2,parentGrp
SU0009,A001,1,0,7,7,Grp102
SU0016,A001,1,7,7,14,Grp103
SU0026,A001,15,14,6,104,Grp104
SU0027,A001,1,104,6,110,Grp104
SU0185,A001,1,110,6,116,Grp120
SU0235,A001,4,116,7,144,Grp124
SU0015,A002,4,0,7,28,Grp102
SU0053,A002,1,28,6,34,Grp107
SU0085,A002,2,34.5,8,50.5,Grp110
SU0120,A002,6,50.5,6,86.5,Grp115
SU0129,A002,5,86.5,6,116.5,Grp116
SU0163,A002,1,116.5,7,123.5,Grp119
SU0213,A002,1,123.5,6.5,130,Grp123
SU0222,A002,1,130,7,137,Grp124
SU0232,A002,1,137,7,144,Grp124
SU0006,A003,1,0,7,7,Grp101
SU0012,A003,3,7,7,28,Grp102
SU0052,A003,2,28,6,40,Grp107
SU0073,A003,6,40,8,88,Grp109
SU0142,A003,6,88,6,124,Grp117
SU0215,A003,2,124,6.5,137,Grp123
SU0231,A003,1,137,7,144,Grp124
SU0007,A004,1,0,7,7,Grp101
SU0011,A004,3,7,7,28,Grp102
SU0061,A004,2,28,8,44,Grp108
SU0097,A004,6,44,5.5,77,Grp112
SU0141,A004,4,77,6,101,Grp117
SU0154,A004,2,101,8,117,Grp118
SU0214,A004,2,117,6.5,130,Grp123
SU0236,A004,2,130,7,144,Grp124
SU0005,A005,1,0,7,7,Grp101
SU0010,A005,2,7,7,21,Grp102
SU0089,A005,2,21.5,8,37.5,Grp111
SU0103,A005,8,37.5,5.5,81.5,Grp113
SU0110,A005,1,81.5,5.5,87,Grp113
SU0161,A005,5,87,7,122,Grp118
SU0198,A005,4,122,5.5,144,Grp121
SU0001,A006,3,0,7,21,Grp101
SU0042,A006,1,21,6,27,Grp105
SU0043,A006,2,27,6,39,Grp106
SU0104,A006,6,39,5.5,72,Grp113
SU0111,A006,1,72,5.5,77.5,Grp113
SU0112,A006,2,77.5,5.5,88.5,Grp114
SU0162,A006,4,88.5,7,116.5,Grp118
SU0206,A006,5,116.5,5.5,144,Grp122
