grp,alpha,beta,numFacings
Grp101,550,0.3500,11
Grp102,2000,0.25,25
Grp103,300,0.25,0
Grp104,950,0.3000,2
Grp105,450,0.2000,0
Grp106,300,0.25,0
Grp107,500,0.25,0
Grp108,400,0.3000,2
Grp109,1000,0.3000,1
Grp110,1100,0.1500,1
Grp111,980,0.1500,1
Grp112,770,0.25,1
Grp113,1500,0.2000,1
Grp114,300,0.2000,1
Grp115,550,0.3000,1
Grp116,600,0.3000,1
Grp117,500,0.3500,16
Grp118,899,0.3500,20
Grp119,976,0.1000,1
Grp120,250,0.2000,0
Grp121,300,0.3000,0
Grp122,700,0.25,0
Grp123,750,0.3000,13
Grp124,1500,0.2400,23
Grp201,-1,-1,36
Grp202,-1,-1,2
Grp203,-1,-1,0
Grp204,-1,-1,2
Grp205,-1,-1,2
Grp206,-1,-1,2
Grp207,-1,-1,2
Grp208,-1,-1,2
Grp209,-1,-1,36
Grp210,-1,-1,1
Grp211,-1,-1,0
Grp212,-1,-1,36
