grp,shelf,numFacings,offset,widthOnShelf
Grp101,A001,5,0,35
Grp101,A002,1,0,7
Grp101,A003,5,0,35
Grp102,A001,1,35,7
Grp102,A002,5,7,35
Grp102,A003,1,35,7
Grp102,A004,6,0,42
Grp102,A005,6,0,42
Grp102,A006,6,0,42
Grp104,A002,2,46,12
Grp108,A003,2,42,16
Grp109,A005,1,42,8
Grp110,A005,1,50,8
Grp111,A004,1,44.5,8
Grp112,A004,1,52.5,5.5
Grp113,A001,1,47,5.5
Grp114,A001,1,52.5,5.5
Grp115,A006,1,46,6
Grp116,A006,1,52,6
Grp117,A001,2,58,16
Grp117,A002,4,58,24
Grp117,A003,1,58,8
Grp117,A004,5,58,30
Grp117,A005,1,58,6
Grp117,A006,3,58,20
Grp118,A001,4,74,28
Grp118,A002,2,82,14
Grp118,A003,5,66,35
Grp118,A004,1,88,7
Grp118,A005,5,64,35
Grp118,A006,3,78,24
Grp119,A004,1,95,7
Grp123,A001,6,102,39
Grp123,A002,2,102,13
Grp123,A003,5,102,32.5
Grp124,A002,4,115,28
Grp124,A003,1,134.5,7
Grp124,A004,6,102,42
Grp124,A005,6,102,42
Grp124,A006,6,102,42
Grp201,A001,6,0,42
Grp201,A002,6,0,42
Grp201,A003,6,0,42
Grp201,A004,6,0,42
Grp201,A005,6,0,42
Grp201,A006,6,0,42
Grp202,A002,2,46,12
Grp204,A003,2,42,16
Grp205,A005,2,42,16
Grp206,A004,2,44.5,13.5
Grp207,A001,2,47,11
Grp208,A006,2,46,12
Grp209,A001,6,58,44
Grp209,A002,6,58,38
Grp209,A003,6,58,43
Grp209,A004,6,58,37
Grp209,A005,6,58,41
Grp209,A006,6,58,44
Grp210,A004,1,95,7
Grp212,A001,6,102,39
Grp212,A002,6,102,41
Grp212,A003,6,102,39.5
Grp212,A004,6,102,42
Grp212,A005,6,102,42
Grp212,A006,6,102,42
