sku,shelf,numFacings,offset,skuWidth,offset2,parentGrp
SU0002,A001,5,0,7,35,Grp101
SU0012,A001,1,35,7,42,Grp102
SU0106,A001,1,47,5.5,52.5,Grp113
SU0114,A001,1,52.5,5.5,58,Grp114
SU0146,A001,2,58,8,74,Grp117
SU0162,A001,4,74,7,102,Grp118
SU0212,A001,6,102,6.5,141,Grp123
SU0008,A002,1,0,7,7,Grp101
SU0009,A002,5,7,7,42,Grp102
SU0032,A002,2,46,6,58,Grp104
SU0142,A002,4,58,6,82,Grp117
SU0159,A002,2,82,7,96,Grp118
SU0213,A002,2,102,6.5,115,Grp123
SU0227,A002,4,115,7,143,Grp124
SU0001,A003,5,0,7,35,Grp101
SU0013,A003,1,35,7,42,Grp102
SU0065,A003,2,42,8,58,Grp108
SU0147,A003,1,58,8,66,Grp117
SU0160,A003,5,66,7,101,Grp118
SU0217,A003,5,102,6.5,134.5,Grp123
SU0228,A003,1,134.5,7,141.5,Grp124
SU0014,A004,6,0,7,42,Grp102
SU0086,A004,1,44.5,8,52.5,Grp111
SU0100,A004,1,52.5,5.5,58,Grp112
SU0143,A004,5,58,6,88,Grp117
SU0161,A004,1,88,7,95,Grp118
SU0164,A004,1,95,7,102,Grp119
SU0229,A004,6,102,7,144,Grp124
SU0010,A005,6,0,7,42,Grp102
SU0074,A005,1,42,8,50,Grp109
SU0079,A005,1,50,8,58,Grp110
SU0140,A005,1,58,6,64,Grp117
SU0155,A005,5,64,7,99,Grp118
SU0236,A005,6,102,7,144,Grp124
SU0011,A006,6,0,7,42,Grp102
SU0126,A006,1,46,6,52,Grp115
SU0132,A006,1,52,6,58,Grp116
SU0141,A006,2,58,6,70,Grp117
SU0149,A006,1,70,8,78,Grp117
SU0150,A006,3,78,8,102,Grp118
SU0235,A006,6,102,7,144,Grp124
