store_id,store_geo_code,brand,alpha,geo_code,store_geo_x,store_geo_y,city
0,60880504,Donelans,1.0,60880504,7.287271527600059,43.71282417160167,Nice
1,60883003,Donelans,1.0,60883003,7.223177307334076,43.67436051558438,Nice
2,60883003,Target,0.7,60883003,7.223177307334076,43.67436051558438,Nice
3,60883501,Donelans,1.0,60883501,7.210420643838329,43.73396026459232,Nice
4,60883501,Costco,0.9,60883501,7.210420643838329,43.73396026459232,Nice
5,60882902,Costco,0.9,60882902,7.205506156443581,43.67523535361162,Nice
6,60880502,Costco,0.9,60880502,7.28899320170082,43.71002695594064,Nice
7,60880502,WalMart,0.8,60880502,7.28899320170082,43.71002695594064,Nice
8,60883002,WalMart,0.8,60883002,7.22103251384805,43.67117197961558,Nice
9,60883403,WalMart,0.8,60883403,7.223261858220633,43.71697155627306,Nice
10,60880702,Target,0.7,60880702,7.287691761124934,43.72897863569395,Nice
