geo_code,store_id,store_geo_code,brand,alpha,distance,drive_time,beta,agg_beta,baseline_cf_beta,retail_market,optimized_cf_beta,baseline_revenue,optimized_revenue,incremental_revenue
60883801,0,60880504,Donelans,1.0,3276.6,6.5532,0.906808,3.0797968,1.0,6605852.26084,1.0,1468269.12481,1468269.12481,0.0
60883801,6,60880502,Costco,0.9,3612.8,7.2256,0.7798176,3.0797968,1.0,6605852.26084,1.0,1262651.08498,1262651.08498,0.0
60883801,10,60880702,Target,0.7,2068.0,4.136,0.7,3.0797968,1.0,6605852.26084,1.0,1133413.45397,1133413.45397,0.0
60883801,7,60880502,WalMart,0.8,3612.8,7.2256,0.6931712,3.0797968,1.0,6605852.26084,1.0,1122356.51998,1122356.51998,0.0
60883701,3,60883501,Donelans,1.0,2225.7,4.4514,1.0,3.2676832,1.0,8783009.93988,1.0,2058027.62958,2058027.62958,0.0
60883701,4,60883501,Costco,0.9,2225.7,4.4514,0.9,3.2676832,1.0,8783009.93988,1.0,1852224.86662,1852224.86662,0.0
60883701,9,60883403,WalMart,0.8,2387.9,4.7758,0.8,3.2676832,1.0,8783009.93988,1.0,1646422.10366,1646422.10366,0.0
60883701,10,60880702,Target,0.7,4075.2,8.1504,0.5676832,3.2676832,1.0,8783009.93988,1.0,1168307.71045,1168307.71045,0.0
60883602,3,60883501,Donelans,1.0,3402.3,6.8046,0.891724,3.0661588,0.949924,6126889.13775,1.0,1360403.74702,1343649.9552,-16753.7918184
60883602,4,60883501,Costco,0.9,3402.3,6.8046,0.8025516,3.0661588,0.949924,6126889.13775,1.0,1224363.37232,1209284.95968,-15078.4126366
60883602,9,60883403,WalMart,0.8,1306.2,2.6124,0.8,3.0661588,0.949924,6126889.13775,1.0,1220470.68108,1205440.20814,-15030.4729431
60883602,2,60883003,Target,0.7,4025.2,8.0504,0.5718832,3.0661588,0.949924,6126889.13775,1.0,872458.348254,861713.754549,-10744.5937053
60883601,3,60883501,Donelans,1.0,2324.8,4.6496,1.0,3.2301688,1.0,6923786.32899,1.0,1636763.60362,1636763.60362,0.0
60883601,4,60883501,Costco,0.9,2324.8,4.6496,0.9,3.2301688,1.0,6923786.32899,1.0,1473087.24325,1473087.24325,0.0
60883601,9,60883403,WalMart,0.8,869.5,1.739,0.8,3.2301688,1.0,6923786.32899,1.0,1309410.88289,1309410.88289,0.0
60883601,10,60880702,Target,0.7,4521.8,9.0436,0.5301688,3.2301688,1.0,6923786.32899,1.0,867760.995613,867760.995613,0.0
60883501,3,60883501,Donelans,1.0,0.0,0.0,1.0,3.0849916,1.0,4303689.61061,1.0,1053536.95479,1053536.95479,0.0
60883501,4,60883501,Costco,0.9,0.0,0.0,0.9,3.0849916,1.0,4303689.61061,1.0,948183.259312,948183.259312,0.0
60883501,9,60883403,WalMart,0.8,2152.5,4.305,0.8,3.0849916,1.0,4303689.61061,1.0,842829.563833,842829.563833,0.0
60883501,10,60880702,Target,0.7,6250.1,12.5002,0.3849916,3.0849916,1.0,4303689.61061,1.0,405602.877884,405602.877884,0.0
60883403,3,60883501,Donelans,1.0,2152.5,4.305,1.0,3.2123104,1.0,4295763.94249,1.0,1019811.82168,1019811.82168,0.0
60883403,4,60883501,Costco,0.9,2152.5,4.305,0.9,3.2123104,1.0,4295763.94249,1.0,917830.639508,917830.639508,0.0
60883403,9,60883403,WalMart,0.8,0.0,0.0,0.8,3.2123104,1.0,4295763.94249,1.0,815849.457341,815849.457341,0.0
