customer_geo_code,store_geo_code,store_option_id,population,retail_market,drive_time,turnover,alpha,beta,is_open,baseline_turnover,baseline_drive_time,incremental_revenue,market_share
60880101,60880501,1,1763.6845289,4716316.64752,3.5824,3435138.66286,1,1.0,True,3435138.66286,3.5824,0.0,27.1648
60880102,60880501,1,1765.51488825,4969667.02882,3.3884,3638949.22785,1,1.0,True,3638949.22785,3.3884,0.0,26.7768
60880103,60880501,1,1910.54229914,6093034.49475,2.7706,4536800.36837,1,1.0,True,4536800.36837,2.7706,0.0,25.5412
60880201,60880501,1,2405.84350919,8035873.37994,1.9998,6107295.91225,1,1.0,True,6107295.91225,1.9998,0.0,23.9996
60880202,60880501,1,2201.36470134,6164252.20878,2.6202,4608370.29428,1,1.0,True,4608370.29428,2.6202,0.0,25.2404
60880203,60880501,1,2724.84073412,8356554.80485,2.0954,6335037.34512,1,1.0,True,6335037.34512,2.0954,0.0,24.1908
60880204,60880501,1,2370.56733705,7091326.64739,1.5636,5451301.351,1,1.0,True,5451301.351,1.5636,0.0,23.1272
60880205,60880501,1,2269.84540331,6424557.82357,1.3748,4962996.61694,1,1.0,True,4962996.61694,1.3748,0.0,22.7496
60880206,60880501,1,2829.24153927,9162238.0957,1.8854,6984300.80245,1,1.0,True,6984300.80245,1.8854,0.0,23.7708
60880301,60880501,1,2176.96528231,7116477.01636,1.3564,5500125.82459,1,1.0,True,5500125.82459,1.3564,0.0,22.7128
60880302,60880501,1,2354.22557736,8363575.6472,0.8264,6552627.33946,1,1.0,True,6552627.33946,0.8264,0.0,21.6528
60880303,60880501,1,2171.42045195,7170980.99219,1.13,5574720.62333,1,1.0,True,5574720.62333,1.13,0.0,22.26
60880304,60880501,1,3740.33824655,10828185.6028,0.8616,8475957.18793,1,1.0,True,8475957.18793,0.8616,0.0,21.7232
60880305,60880501,1,3512.30010666,10494212.4119,0.8136,8224608.10513,1,1.0,True,8224608.10513,0.8136,0.0,21.6272
60880401,60880501,1,1957.19086605,4585105.43596,3.764,3322917.61155,1,1.0,True,3322917.61155,3.764,0.0,27.528
60880402,60880501,1,1616.68027071,4378325.90429,2.0088,3326757.1019,1,1.0,True,3326757.1019,2.0088,0.0,24.0176
60880403,60880501,1,2662.72702422,6624556.48815,1.8268,5057610.39467,1,1.0,True,5057610.39467,1.8268,0.0,23.6536
60880404,60880501,1,1641.16910759,4041005.8099,1.0222,3150190.32514,1,1.0,True,3150190.32514,1.0222,0.0,22.0444
60880501,60880501,1,3985.2518245,13872681.68,0.0,11098145.344,1,1.0,True,11098145.344,0.0,0.0,20.0
60880502,60880501,1,3516.86349058,12004309.6708,0.8418,9401343.17899,1,1.0,True,9401343.17899,0.8418,0.0,21.6836
60880503,60880501,1,2288.74334066,7538189.01506,1.1458,5857806.07258,1,1.0,True,5857806.07258,1.1458,0.0,22.2916
60880504,60880501,1,3706.28658047,12351472.1723,1.5168,9506483.47803,1,1.0,True,9506483.47803,1.5168,0.0,23.0336
60880505,60880501,1,2299.35622572,7803264.88935,1.5738,5996996.34583,1,1.0,True,5996996.34583,1.5738,0.0,23.1476
60880506,60880501,1,2435.07659175,7604927.23587,2.0718,5768824.02375,1,1.0,True,5768824.02375,2.0718,0.0,24.1436
60880507,60880501,1,2728.52660928,8149205.9481,2.4698,6116826.58147,1,1.0,True,6116826.58147,2.4698,0.0,24.9396
60880508,60880702,1,2353.67776754,7837633.65148,2.2582,5916128.03495,1,1.0,False,5809881.07317,2.936,106246.961779,24.5164
60880509,60880702,1,1742.23777743,5453019.93466,1.6274,4184931.0549,1,1.0,False,3964476.36498,3.6488,220454.689919,23.2548
60880601,60880501,1,3043.88703864,10473386.3875,2.0784,7943351.38467,1,1.0,True,7943351.38467,2.0784,0.0,24.1568
60880602,60880501,1,1286.50312386,3618099.10718,2.6206,2704847.47534,1,1.0,True,2704847.47534,2.6206,0.0,25.2412
60880603,60880702,1,2962.84360627,10355495.0059,2.0328,7863382.99974,1,1.0,False,7562203.78299,3.487,301179.216751,24.0656
60880604,60880702,1,2722.6181546,9157339.23659,1.6966,7015144.55429,1,1.0,False,6699033.20385,3.4226,316111.350447,23.3932
60880605,60880702,1,1329.29404226,3304765.3691,0.7968,2591147.55436,1,1.0,False,2324730.58937,4.8276,266416.964996,21.5936
60880701,60880702,1,2361.25578474,6389373.93772,2.1844,4832360.18159,1,1.0,False,4746538.11085,2.856,85822.0707315,24.3688
60880702,60880702,1,3872.62192814,10832567.8449,0.0,8666054.27595,1,1.0,False,7592460.14198,4.9554,1073594.13398,20.0
60880801,60880702,1,1658.04159525,3798157.56848,3.1708,2797662.09442,1,1.0,False,2776468.37519,3.4498,21193.7192321,26.3416
60880901,60880702,1,2374.90474825,7302999.73025,1.9548,5556881.70675,1,1.0,False,4507761.9775,6.3792,1049119.72925,23.9096
60880902,60880702,1,2031.71137536,7114576.61957,2.5418,5329984.67862,1,1.0,False,4212256.23338,6.799,1117728.44524,25.0836
60880903,60880702,1,1690.06723802,3906632.97519,4.7396,2754988.82717,1,1.0,False,1761797.71262,9.1504,993191.114548,29.4792
60880904,60880702,1,1180.24201298,3413911.83027,3.1018,2519344.02991,1,1.0,False,1988426.11772,6.9592,530917.912197,26.2036
60880905,60880702,1,2249.77521629,6223350.12597,3.4858,4544813.0234,1,1.0,False,3393866.6511,7.5776,1150946.3723,26.9716
60881001,60880702,1,2029.90437798,5287879.22109,2.3194,3985009.23556,1,1.0,False,3814062.6761,3.9358,170946.559459,24.6388
60881002,60881504,1,1912.23612608,5136444.06703,2.195,3883665.35908,1,1.0,False,3642231.94215,4.5452,241433.416926,24.39
60881003,60880702,1,1546.71904732,4058620.80402,3.1692,2989645.02217,1,1.0,False,2743725.07042,5.3996,245919.951757,26.3384
