customer_geo_code,store_geo_code,store_option_id,population,retail_market,drive_time,turnover,alpha,beta,is_open,baseline_turnover,baseline_drive_time,incremental_revenue,market_share
60880101,60881705,1,1763.6845289,4716316.64752,1.8852,3595229.31514,1,1.0,False,3435138.66286,3.5824,160090.652283,23.7704
60880102,60881705,1,1765.51488825,4969667.02882,1.525,3824158.77868,1,1.0,False,3638949.22785,3.3884,185209.55083,23.05
60880103,60880204,1,1910.54229914,6093034.49475,1.2072,4727317.37096,1,1.0,False,4536800.36837,2.7706,190517.002582,22.4144
60880201,60880204,1,2405.84350919,8035873.37994,0.613,6330178.89631,1,1.0,False,6107295.91225,1.9998,222882.984066,21.226
60880202,60880204,1,2201.36470134,6164252.20878,1.346,4765460.09757,1,1.0,False,4608370.29428,2.6202,157089.803289,22.692
60880203,60880204,1,2724.84073412,8356554.80485,0.5318,6596363.52698,1,1.0,False,6335037.34512,2.0954,261326.181857,21.0636
60880204,60880204,1,2370.56733705,7091326.64739,0.0,5673061.31792,1,1.0,False,5451301.351,1.5636,221759.966917,20.0
60880205,60880204,1,2269.84540331,6424557.82357,0.4994,5075477.77531,1,1.0,False,4962996.61694,1.3748,112481.158375,20.9988
60880206,60880204,1,2829.24153927,9162238.0957,0.6626,7208372.49732,1,1.0,False,6984300.80245,1.8854,224071.694869,21.3252
60880301,60880204,1,2176.96528231,7116477.01636,0.931,5560672.81104,1,1.0,False,5500125.82459,1.3564,60546.9864552,21.862
60880302,60880501,1,2354.22557736,8363575.6472,0.8264,6552627.33946,1,1.0,True,6552627.33946,0.8264,0.0,21.6528
60880303,60880204,1,2171.42045195,7170980.99219,0.6872,5638226.831,1,1.0,False,5574720.62333,1.13,63506.2076669,21.3744
60880304,60880204,1,3740.33824655,10828185.6028,0.7024,8510434.13089,1,1.0,False,8475957.18793,0.8616,34476.9429593,21.4048
60880305,60880501,1,3512.30010666,10494212.4119,0.8136,8224608.10513,1,1.0,True,8224608.10513,0.8136,0.0,21.6272
60880401,60880204,1,1957.19086605,4585105.43596,3.4484,3351858.79706,1,1.0,False,3322917.61155,3.764,28941.1855118,26.8968
60880402,60880204,1,1616.68027071,4378325.90429,1.324,3386722.65348,1,1.0,False,3326757.1019,2.0088,59965.5515851,22.648
60880403,60880501,1,2662.72702422,6624556.48815,1.8268,5057610.39467,1,1.0,True,5057610.39467,1.8268,0.0,23.6536
60880404,60880501,1,1641.16910759,4041005.8099,1.0222,3150190.32514,1,1.0,True,3150190.32514,1.0222,0.0,22.0444
60880501,60880501,1,3985.2518245,13872681.68,0.0,11098145.344,1,1.0,True,11098145.344,0.0,0.0,20.0
60880502,60880501,1,3516.86349058,12004309.6708,0.8418,9401343.17899,1,1.0,True,9401343.17899,0.8418,0.0,21.6836
60880503,60880501,1,2288.74334066,7538189.01506,1.1458,5857806.07258,1,1.0,True,5857806.07258,1.1458,0.0,22.2916
60880504,60880507,1,3706.28658047,12351472.1723,1.2344,9576244.59286,1,1.0,False,9506483.47803,1.5168,69761.1148292,22.4688
60880505,60880507,1,2299.35622572,7803264.88935,0.8972,6102590.12631,1,1.0,False,5996996.34583,1.5738,105593.780483,21.7944
60880506,60880507,1,2435.07659175,7604927.23587,0.8936,5948026.52914,1,1.0,False,5768824.02375,2.0718,179202.505386,21.7872
60880507,60880507,1,2728.52660928,8149205.9481,0.0,6519364.75848,1,1.0,False,6116826.58147,2.4698,402538.177012,20.0
60880508,60880507,1,2353.67776754,7837633.65148,0.7886,6146491.76323,1,1.0,False,5809881.07317,2.936,336610.690064,21.5772
60880509,60880507,1,1742.23777743,5453019.93466,1.322,4218238.10066,1,1.0,False,3964476.36498,3.6488,253761.735679,22.644
60880601,60881603,1,3043.88703864,10473386.3875,0.7822,8214863.45338,1,1.0,False,7943351.38467,2.0784,271512.06871,21.5644
60880602,60881603,1,1286.50312386,3618099.10718,0.674,2845707.30978,1,1.0,False,2704847.47534,2.6206,140859.834441,21.348
