customer_geo_code,store_geo_code,store_option_id,baseline_turnover,baseline_drive_time,alpha,beta
60880101,60880501,1,3435138.66286,3.5824,1,1.0
60880102,60880501,1,3638949.22785,3.3884,1,1.0
60880103,60880501,1,4536800.36837,2.7706,1,1.0
60880201,60880501,1,6107295.91225,1.9998,1,1.0
60880202,60880501,1,4608370.29428,2.6202,1,1.0
60880203,60880501,1,6335037.34512,2.0954,1,1.0
60880204,60880501,1,5451301.351,1.5636,1,1.0
60880205,60880501,1,4962996.61694,1.3748,1,1.0
60880206,60880501,1,6984300.80245,1.8854,1,1.0
60880301,60880501,1,5500125.82459,1.3564,1,1.0
60880302,60880501,1,6552627.33946,0.8264,1,1.0
60880303,60880501,1,5574720.62333,1.13,1,1.0
60880304,60880501,1,8475957.18793,0.8616,1,1.0
60880305,60880501,1,8224608.10513,0.8136,1,1.0
60880401,60880501,1,3322917.61155,3.764,1,1.0
60880402,60880501,1,3326757.1019,2.0088,1,1.0
60880403,60880501,1,5057610.39467,1.8268,1,1.0
60880404,60880501,1,3150190.32514,1.0222,1,1.0
60880501,60880501,1,11098145.344,0.0,1,1.0
60880502,60880501,1,9401343.17899,0.8418,1,1.0
60880503,60880501,1,5857806.07258,1.1458,1,1.0
60880504,60880501,1,9506483.47803,1.5168,1,1.0
60880505,60880501,1,5996996.34583,1.5738,1,1.0
60880506,60880501,1,5768824.02375,2.0718,1,1.0
60880507,60880501,1,6116826.58147,2.4698,1,1.0
60880508,60880501,1,5809881.07317,2.936,1,1.0
60880509,60880501,1,3964476.36498,3.6488,1,1.0
60880601,60880501,1,7943351.38467,2.0784,1,1.0
60880602,60880501,1,2704847.47534,2.6206,1,1.0
60880603,60880501,1,7562203.78299,3.487,1,1.0
60880604,60880501,1,6699033.20385,3.4226,1,1.0
60880605,60880501,1,2324730.58937,4.8276,1,1.0
60880701,60880501,1,4746538.11085,2.856,1,1.0
60880702,60880501,1,7592460.14198,4.9554,1,1.0
60880801,60880501,1,2776468.37519,3.4498,1,1.0
60880901,60880501,1,4507761.9775,6.3792,1,0.917248
60880902,60880501,1,4212256.23338,6.799,1,0.89206
60880903,60880501,1,1761797.71262,9.1504,1,0.750976
60880904,60880501,1,1988426.11772,6.9592,1,0.882448
60880905,60880501,1,3393866.6511,7.5776,1,0.845344
60881001,60880501,1,3814062.6761,3.9358,1,1.0
60881002,60880501,1,3642231.94215,4.5452,1,1.0
60881003,60880501,1,2743725.07042,5.3996,1,0.976024
60881004,60880501,1,5913363.34251,4.9004,1,1.0
60881005,60880501,1,4803225.22007,6.1702,1,0.929788
60881101,60883701,1,7609696.01468,5.3856,1,0.976864
60881102,60883701,1,7046060.9814,4.9828,1,1.0
60881103,60883701,1,5045407.09767,4.743,1,1.0
60881104,60883701,1,3756824.60214,4.0656,1,1.0
60881105,60883701,1,4276751.28667,4.703,1,1.0
60881201,60883701,1,5550121.47899,2.912,1,1.0
60881202,60883701,1,2990373.2136,3.134,1,1.0
60881203,60883701,1,4227870.29237,2.5202,1,1.0
60881204,60883701,1,8097874.74498,1.6892,1,1.0
60881301,60883701,1,4954264.89578,4.8812,1,1.0
60881302,60883701,1,5903918.51358,4.765,1,1.0
