geo_code,store_id,store_geo_code,brand,alpha,distance,drive_time,beta
60883801,0,60880504,Donelans,1.0,3276.6,6.5532,0.906808
60883801,6,60880502,Costco,0.9,3612.8,7.2256,0.7798176
60883801,10,60880702,Target,0.7,2068.0,4.136,0.7
60883801,7,60880502,WalMart,0.8,3612.8,7.2256,0.6931712000000001
60883701,3,60883501,Donelans,1.0,2225.7,4.4514,1.0
60883701,4,60883501,Costco,0.9,2225.7,4.4514,0.9
60883701,9,60883403,WalMart,0.8,2387.9,4.7758,0.8
60883701,10,60880702,Target,0.7,4075.2,8.1504,0.5676831999999999
60883602,3,60883501,Donelans,1.0,3402.3,6.8046,0.891724
60883602,4,60883501,Costco,0.9,3402.3,6.8046,0.8025516
60883602,9,60883403,WalMart,0.8,1306.2,2.6124,0.8
60883602,2,60883003,Target,0.7,4025.2,8.0504,0.5718832
60883601,3,60883501,Donelans,1.0,2324.8,4.6496,1.0
60883601,4,60883501,Costco,0.9,2324.8,4.6496,0.9
60883601,9,60883403,WalMart,0.8,869.5,1.739,0.8
60883601,10,60880702,Target,0.7,4521.8,9.0436,0.5301688
60883501,3,60883501,Donelans,1.0,0.0,0.0,1.0
60883501,4,60883501,Costco,0.9,0.0,0.0,0.9
60883501,9,60883403,WalMart,0.8,2152.5,4.305,0.8
60883501,10,60880702,Target,0.7,6250.1,12.5002,0.38499159999999993
60883403,3,60883501,Donelans,1.0,2152.5,4.305,1.0
60883403,4,60883501,Costco,0.9,2152.5,4.305,0.9
60883403,9,60883403,WalMart,0.8,0.0,0.0,0.8
60883403,2,60883003,Target,0.7,4734.4,9.4688,0.5123103999999999
60883402,3,60883501,Donelans,1.0,3073.1,6.1462,0.931228
60883402,4,60883501,Costco,0.9,3073.1,6.1462,0.8381052
60883402,9,60883403,WalMart,0.8,931.9,1.8638,0.8
60883402,2,60883003,Target,0.7,3859.2,7.7184,0.5858272
60883401,1,60883003,Donelans,1.0,3119.3,6.2386,0.925684
60883401,9,60883403,WalMart,0.8,1680.5,3.361,0.8
60883401,5,60882902,Costco,0.9,3500.3,7.0006,0.7919676
60883401,2,60883003,Target,0.7,3119.3,6.2386,0.6479788
60883301,3,60883501,Donelans,1.0,1691.9,3.3838,1.0
60883301,4,60883501,Costco,0.9,1691.9,3.3838,0.9
