customer_geo_code,store_geo_code,store_option_id,population,retail_market,drive_time,turnover,alpha,beta,is_open,baseline_turnover,baseline_drive_time,incremental_revenue,market_share
60880101,60880203,1,1763.6845289,4716316.64752,1.487,3632790.06092,1,1.0,False,3435138.66286,3.5824,197651.398064,22.974
60880102,60880203,1,1765.51488825,4969667.02882,1.316,3844931.98686,1,1.0,False,3638949.22785,3.3884,205982.759011,22.632
60880103,60880203,1,1910.54229914,6093034.49475,0.677,4791927.90874,1,1.0,False,4536800.36837,2.7706,255127.540364,21.354
60880201,60880203,1,2405.84350919,8035873.37994,0.52,6345125.6208,1,1.0,False,6107295.91225,1.9998,237829.708553,21.04
60880202,60880203,1,2201.36470134,6164252.20878,1.0866,4797440.23803,1,1.0,False,4608370.29428,2.6202,189069.943748,22.1732
60880203,60880203,1,2724.84073412,8356554.80485,0.0,6685243.84388,1,1.0,False,6335037.34512,2.0954,350206.498762,20.0
60880204,60880203,1,2370.56733705,7091326.64739,0.5318,5597637.96769,1,1.0,False,5451301.351,1.5636,146336.616696,21.0636
60880205,60880203,1,2269.84540331,6424557.82357,0.8914,5025109.24198,1,1.0,False,4962996.61694,1.3748,62112.6250383,21.7828
60880206,60880203,1,2829.24153927,9162238.0957,0.6912,7203131.69713,1,1.0,False,6984300.80245,1.8854,218830.894678,21.3824
60880301,60880203,1,2176.96528231,7116477.01636,1.2926,5509206.44926,1,1.0,False,5500125.82459,1.3564,9080.62467287,22.5852
60880302,60880501,1,2354.22557736,8363575.6472,0.8264,6552627.33946,1,1.0,True,6552627.33946,0.8264,0.0,21.6528
60880303,60880501,1,2171.42045195,7170980.99219,1.13,5574720.62333,1,1.0,True,5574720.62333,1.13,0.0,22.26
60880304,60880501,1,3740.33824655,10828185.6028,0.8616,8475957.18793,1,1.0,True,8475957.18793,0.8616,0.0,21.7232
60880305,60880501,1,3512.30010666,10494212.4119,0.8136,8224608.10513,1,1.0,True,8224608.10513,0.8136,0.0,21.6272
60880401,60880203,1,1957.19086605,4585105.43596,3.4846,3348539.18072,1,1.0,False,3322917.61155,3.764,25621.5691761,26.9692
60880402,60880203,1,1616.68027071,4378325.90429,1.4344,3377055.30989,1,1.0,False,3326757.1019,2.0088,50298.2079884,22.8688
60880403,60880501,1,2662.72702422,6624556.48815,1.8268,5057610.39467,1,1.0,True,5057610.39467,1.8268,0.0,23.6536
60880404,60880501,1,1641.16910759,4041005.8099,1.0222,3150190.32514,1,1.0,True,3150190.32514,1.0222,0.0,22.0444
60880501,60880501,1,3985.2518245,13872681.68,0.0,11098145.344,1,1.0,True,11098145.344,0.0,0.0,20.0
60880502,60880501,1,3516.86349058,12004309.6708,0.8418,9401343.17899,1,1.0,True,9401343.17899,0.8418,0.0,21.6836
60880503,60880501,1,2288.74334066,7538189.01506,1.1458,5857806.07258,1,1.0,True,5857806.07258,1.1458,0.0,22.2916
60880504,60880501,1,3706.28658047,12351472.1723,1.5168,9506483.47803,1,1.0,True,9506483.47803,1.5168,0.0,23.0336
60880505,60880501,1,2299.35622572,7803264.88935,1.5738,5996996.34583,1,1.0,True,5996996.34583,1.5738,0.0,23.1476
60880506,60880604,1,2435.07659175,7604927.23587,2.0002,5779714.27955,1,1.0,False,5768824.02375,2.0718,10890.2558018,24.0004
60880507,60880604,1,2728.52660928,8149205.9481,1.1246,6336072.81829,1,1.0,False,6116826.58147,2.4698,219246.236828,22.2492
60880508,60880604,1,2353.67776754,7837633.65148,1.4744,6038990.78007,1,1.0,False,5809881.07317,2.936,229109.7069,22.9488
60880509,60880604,1,1742.23777743,5453019.93466,1.441,4205259.91321,1,1.0,False,3964476.36498,3.6488,240783.548235,22.882
60880601,60880501,1,3043.88703864,10473386.3875,2.0784,7943351.38467,1,1.0,True,7943351.38467,2.0784,0.0,24.1568
60880602,60880604,1,1286.50312386,3618099.10718,1.7788,2765761.79191,1,1.0,False,2704847.47534,2.6206,60914.3165685,23.5576
60880603,60880604,1,2962.84360627,10355495.0059,0.5664,8167088.95728,1,1.0,False,7562203.78299,3.487,604885.174283,21.1328
60880604,60880604,1,2722.6181546,9157339.23659,0.0,7325871.38927,1,1.0,False,6699033.20385,3.4226,626838.185423,20.0
60880605,60880604,1,1329.29404226,3304765.3691,1.4066,2550842.63592,1,1.0,False,2324730.58937,4.8276,226112.046554,22.8132
60880701,60880604,1,2361.25578474,6389373.93772,0.5688,5038813.63226,1,1.0,False,4746538.11085,2.856,292275.521407,21.1376
60880702,60880604,1,3872.62192814,10832567.8449,1.6966,8298483.58384,1,1.0,False,7592460.14198,4.9554,706023.441862,23.3932
60880801,60880604,1,1658.04159525,3798157.56848,2.8814,2819645.83043,1,1.0,False,2776468.37519,3.4498,43177.4552385,25.7628
60880901,60880902,1,2374.90474825,7302999.73025,0.5938,5755669.3594,1,1.0,False,4507761.9775,6.3792,1247907.38191,21.1876
60880902,60880902,1,2031.71137536,7114576.61957,0.0,5691661.29566,1,1.0,False,4212256.23338,6.799,1479405.06227,20.0
60880903,60880902,1,1690.06723802,3906632.97519,2.3606,2940866.42413,1,1.0,False,1761797.71262,9.1504,1179068.71151,24.7212
