Products,Markets,Months,value
200S,US,Jan-07,32
200S,US,Feb-07,9
200S,US,Mar-07,2
200S,US,Apr-07,0
200S,US,May-07,0
200S,US,Jun-07,0
200S,US,Jul-07,0
200S,US,Aug-07,0
200S,US,Sep-07,0
200S,US,Oct-07,0
200S,US,Nov-07,0
200S,US,Dec-07,0
200S,US,Jan-08,0
200S,US,Feb-08,0
200S,US,Mar-08,0
200S,US,Apr-08,0
200S,US,May-08,0
200S,US,Jun-08,0
200S,US,Jul-08,0
200S,US,Aug-08,0
200S,US,Sep-08,0
200S,US,Oct-08,0
200S,US,Nov-08,0
200S,US,Dec-08,0
200S,Canada,Jan-07,37
200S,Canada,Feb-07,10
200S,Canada,Mar-07,2
200S,Canada,Apr-07,0
200S,Canada,May-07,0
200S,Canada,Jun-07,0
200S,Canada,Jul-07,0
200S,Canada,Aug-07,0
200S,Canada,Sep-07,0
200S,Canada,Oct-07,0
200S,Canada,Nov-07,0
200S,Canada,Dec-07,0
200S,Canada,Jan-08,0
200S,Canada,Feb-08,0
200S,Canada,Mar-08,0
200S,Canada,Apr-08,0
200S,Canada,May-08,0
200S,Canada,Jun-08,0
200S,Canada,Jul-08,0
200S,Canada,Aug-08,0
200S,Canada,Sep-08,0
200S,Canada,Oct-08,0
200S,Canada,Nov-08,0
200S,Canada,Dec-08,0
200S,Brazil,Jan-07,36
200S,Brazil,Feb-07,9
200S,Brazil,Mar-07,2
200S,Brazil,Apr-07,0
200S,Brazil,May-07,0
200S,Brazil,Jun-07,0
200S,Brazil,Jul-07,0
200S,Brazil,Aug-07,0
200S,Brazil,Sep-07,0
200S,Brazil,Oct-07,0
200S,Brazil,Nov-07,0
200S,Brazil,Dec-07,0
200S,Brazil,Jan-08,0
200S,Brazil,Feb-08,0
200S,Brazil,Mar-08,0
200S,Brazil,Apr-08,0
200S,Brazil,May-08,0
200S,Brazil,Jun-08,0
200S,Brazil,Jul-08,0
200S,Brazil,Aug-08,0
200S,Brazil,Sep-08,0
200S,Brazil,Oct-08,0
200S,Brazil,Nov-08,0
200S,Brazil,Dec-08,0
200S,Argentina,Jan-07,26
200S,Argentina,Feb-07,7
200S,Argentina,Mar-07,1
200S,Argentina,Apr-07,0
200S,Argentina,May-07,0
200S,Argentina,Jun-07,0
200S,Argentina,Jul-07,0
200S,Argentina,Aug-07,0
200S,Argentina,Sep-07,0
200S,Argentina,Oct-07,0
200S,Argentina,Nov-07,0
200S,Argentina,Dec-07,0
200S,Argentina,Jan-08,0
200S,Argentina,Feb-08,0
200S,Argentina,Mar-08,0
200S,Argentina,Apr-08,0
200S,Argentina,May-08,0
200S,Argentina,Jun-08,0
200S,Argentina,Jul-08,0
200S,Argentina,Aug-08,0
200S,Argentina,Sep-08,0
200S,Argentina,Oct-08,0
200S,Argentina,Nov-08,0
200S,Argentina,Dec-08,0
200S,UK,Jan-07,29
200S,UK,Feb-07,7
200S,UK,Mar-07,1
200S,UK,Apr-07,0
200S,UK,May-07,0
200S,UK,Jun-07,0
200S,UK,Jul-07,0
200S,UK,Aug-07,0
200S,UK,Sep-07,0
200S,UK,Oct-07,0
200S,UK,Nov-07,0
200S,UK,Dec-07,0
200S,UK,Jan-08,0
200S,UK,Feb-08,0
200S,UK,Mar-08,0
200S,UK,Apr-08,0
200S,UK,May-08,0
200S,UK,Jun-08,0
200S,UK,Jul-08,0
200S,UK,Aug-08,0
200S,UK,Sep-08,0
200S,UK,Oct-08,0
200S,UK,Nov-08,0
200S,UK,Dec-08,0
200S,France,Jan-07,33
200S,France,Feb-07,8
200S,France,Mar-07,2
200S,France,Apr-07,0
200S,France,May-07,0
200S,France,Jun-07,0
200S,France,Jul-07,0
200S,France,Aug-07,0
200S,France,Sep-07,0
200S,France,Oct-07,0
200S,France,Nov-07,0
200S,France,Dec-07,0
200S,France,Jan-08,0
200S,France,Feb-08,0
200S,France,Mar-08,0
200S,France,Apr-08,0
200S,France,May-08,0
200S,France,Jun-08,0
200S,France,Jul-08,0
200S,France,Aug-08,0
200S,France,Sep-08,0
200S,France,Oct-08,0
200S,France,Nov-08,0
200S,France,Dec-08,0
200S,Germany,Jan-07,9
200S,Germany,Feb-07,3
200S,Germany,Mar-07,0
200S,Germany,Apr-07,0
200S,Germany,May-07,0
200S,Germany,Jun-07,0
200S,Germany,Jul-07,0
200S,Germany,Aug-07,0
200S,Germany,Sep-07,0
200S,Germany,Oct-07,0
200S,Germany,Nov-07,0
200S,Germany,Dec-07,0
200S,Germany,Jan-08,0
200S,Germany,Feb-08,0
200S,Germany,Mar-08,0
200S,Germany,Apr-08,0
200S,Germany,May-08,0
200S,Germany,Jun-08,0
200S,Germany,Jul-08,0
200S,Germany,Aug-08,0
200S,Germany,Sep-08,0
200S,Germany,Oct-08,0
200S,Germany,Nov-08,0
200S,Germany,Dec-08,0
200S,Spain,Jan-07,27
200S,Spain,Feb-07,7
200S,Spain,Mar-07,1
200S,Spain,Apr-07,0
200S,Spain,May-07,0
200S,Spain,Jun-07,0
200S,Spain,Jul-07,0
200S,Spain,Aug-07,0
200S,Spain,Sep-07,0
200S,Spain,Oct-07,0
200S,Spain,Nov-07,0
200S,Spain,Dec-07,0
200S,Spain,Jan-08,0
200S,Spain,Feb-08,0
200S,Spain,Mar-08,0
200S,Spain,Apr-08,0
200S,Spain,May-08,0
200S,Spain,Jun-08,0
200S,Spain,Jul-08,0
200S,Spain,Aug-08,0
200S,Spain,Sep-08,0
200S,Spain,Oct-08,0
200S,Spain,Nov-08,0
200S,Spain,Dec-08,0
200S,Italy,Jan-07,13
200S,Italy,Feb-07,3
200S,Italy,Mar-07,1
200S,Italy,Apr-07,0
200S,Italy,May-07,0
200S,Italy,Jun-07,0
200S,Italy,Jul-07,0
200S,Italy,Aug-07,0
200S,Italy,Sep-07,0
200S,Italy,Oct-07,0
200S,Italy,Nov-07,0
200S,Italy,Dec-07,0
200S,Italy,Jan-08,0
200S,Italy,Feb-08,0
200S,Italy,Mar-08,0
200S,Italy,Apr-08,0
200S,Italy,May-08,0
200S,Italy,Jun-08,0
200S,Italy,Jul-08,0
200S,Italy,Aug-08,0
200S,Italy,Sep-08,0
200S,Italy,Oct-08,0
200S,Italy,Nov-08,0
200S,Italy,Dec-08,0
200S,China,Jan-07,35
200S,China,Feb-07,8
200S,China,Mar-07,2
