product,market,month,demand,allocation,absdiff,reldiff
200S,US,Jan-07,6666,784,5882,88.2255887206
200S,US,Feb-07,88,88,0,0.0
200S,US,Mar-07,81,81,0,0.0
200S,Canada,Jan-07,93,6,87,92.5531914894
200S,Canada,Feb-07,96,96,0,0.0
200S,Canada,Mar-07,97,97,0,0.0
200S,Brazil,Jan-07,90,6,84,92.3076923077
200S,Brazil,Feb-07,88,88,0,0.0
200S,Brazil,Mar-07,90,89,1,1.0989010989
200S,Argentina,Jan-07,64,5,59,90.7692307692
200S,Argentina,Feb-07,67,67,0,0.0
200S,Argentina,Mar-07,61,61,0,0.0
200S,UK,Jan-07,72,5,67,91.7808219178
200S,UK,Feb-07,73,73,0,0.0
200S,UK,Mar-07,71,71,0,0.0
200S,France,Jan-07,83,5,78,92.8571428571
200S,France,Feb-07,79,79,0,0.0
200S,France,Mar-07,75,75,0,0.0
200S,Germany,Jan-07,22,2,20,86.9565217391
200S,Germany,Feb-07,30,30,0,0.0
200S,Germany,Mar-07,22,22,0,0.0
200S,Spain,Jan-07,68,4,64,92.7536231884
200S,Spain,Feb-07,65,65,0,0.0
200S,Spain,Mar-07,59,59,0,0.0
200S,Italy,Jan-07,32,2,30,90.9090909091
200S,Italy,Feb-07,34,34,0,0.0
200S,Italy,Mar-07,36,36,0,0.0
200S,China,Jan-07,87,6,81,92.0454545455
200S,China,Feb-07,82,82,0,0.0
200S,China,Mar-07,87,87,0,0.0
200S,Japan,Jan-07,64,5,59,90.7692307692
200S,Japan,Feb-07,63,63,0,0.0
200S,Japan,Mar-07,58,58,0,0.0
300S,US,Jan-07,28,25,3,10.3448275862
300S,US,Feb-07,28,25,3,10.3448275862
300S,US,Mar-07,22,19,3,13.0434782609
300S,Canada,Jan-07,20,18,2,9.52380952381
300S,Canada,Feb-07,23,21,2,8.33333333333
300S,Canada,Mar-07,22,19,3,13.0434782609
300S,Brazil,Jan-07,62,55,7,11.1111111111
300S,Brazil,Feb-07,58,51,7,11.8644067797
300S,Brazil,Mar-07,55,48,7,12.5
300S,Argentina,Jan-07,46,41,5,10.6382978723
300S,Argentina,Feb-07,41,36,5,11.9047619048
300S,Argentina,Mar-07,44,39,5,11.1111111111
300S,UK,Jan-07,27,24,3,10.7142857143
300S,UK,Feb-07,30,27,3,9.67741935484
300S,UK,Mar-07,30,27,3,9.67741935484
300S,France,Jan-07,108,96,12,11.0091743119
300S,France,Feb-07,108,96,12,11.0091743119
300S,France,Mar-07,105,93,12,11.320754717
300S,Germany,Jan-07,36,32,4,10.8108108108
300S,Germany,Feb-07,45,41,4,8.69565217391
