Markets,Months,Products,value
Shanghai,200S,Jan-07,811.0
Shanghai,200S,Feb-07,88.0
Shanghai,200S,Mar-07,81.0
Shanghai,300S,Jan-07,28.0
Shanghai,300S,Feb-07,28.0
Shanghai,300S,Mar-07,22.0
Shanghai,600S,Jan-07,6.0
Shanghai,600S,Feb-07,1.0
Shanghai,600S,Mar-07,5.0
Shanghai,626S,Jan-07,73.0
Shanghai,626S,Feb-07,79.0
Shanghai,626S,Mar-07,82.0
Shanghai,676S,Jan-07,47.0
Shanghai,676S,Feb-07,49.0
Shanghai,676S,Mar-07,56.0
Shanghai,676RS,Jan-07,101.0
Shanghai,676RS,Feb-07,106.0
Shanghai,676RS,Mar-07,116.0
Shanghai,900S,Jan-07,9.0
Shanghai,900S,Feb-07,14.0
Shanghai,900S,Mar-07,6.0
Shanghai,929S,Jan-07,107.0
Shanghai,929S,Feb-07,106.0
Shanghai,929S,Mar-07,107.0
Shanghai,996S,Jan-07,70.0
Shanghai,996S,Feb-07,68.0
Shanghai,996S,Mar-07,68.0
Shanghai,996RS,Jan-07,15.0
Shanghai,996RS,Feb-07,17.0
Shanghai,996RS,Mar-07,15.0
Shanghai,RoadStar,Jan-07,52.0
Shanghai,RoadStar,Feb-07,80.0
Shanghai,RoadStar,Mar-07,77.0
Shanghai,RoadLiner,Jan-07,16.0
Shanghai,RoadLiner,Feb-07,19.0
Shanghai,RoadLiner,Mar-07,17.0
Shanghai,Victory,Jan-07,97.0
Shanghai,Victory,Feb-07,31.0
Shanghai,Victory,Mar-07,95.0
Shanghai,Boulevard,Jan-07,84.0
Shanghai,Boulevard,Feb-07,92.0
Shanghai,Boulevard,Mar-07,93.0
Shanghai,KingTwin,Jan-07,36.0
Shanghai,KingTwin,Feb-07,24.0
Shanghai,KingTwin,Mar-07,24.0
Shanghai,MegaTwin,Jan-07,66.0
Shanghai,MegaTwin,Feb-07,71.0
Shanghai,MegaTwin,Mar-07,75.0
