Plants,Months,Products,value
Houston,200S,Jan-07,231.0
Houston,200S,Feb-07,230.0
Houston,200S,Mar-07,231.0
Houston,300S,Jan-07,101.0
Houston,300S,Feb-07,102.0
Houston,300S,Mar-07,101.0
Houston,600S,Jan-07,62.0
Houston,600S,Feb-07,74.0
Houston,600S,Mar-07,78.0
Houston,626S,Jan-07,0.0
Houston,626S,Feb-07,0.0
Houston,626S,Mar-07,0.0
Houston,676S,Jan-07,133.0
Houston,676S,Feb-07,172.0
Houston,676S,Mar-07,161.0
Houston,676RS,Jan-07,224.0
Houston,676RS,Feb-07,224.0
Houston,676RS,Mar-07,225.0
Houston,900S,Jan-07,0.0
Houston,900S,Feb-07,0.0
Houston,900S,Mar-07,0.0
Houston,929S,Jan-07,0.0
Houston,929S,Feb-07,0.0
Houston,929S,Mar-07,0.0
Houston,996S,Jan-07,27.0
Houston,996S,Feb-07,31.0
Houston,996S,Mar-07,71.0
Houston,996RS,Jan-07,0.0
Houston,996RS,Feb-07,0.0
Houston,996RS,Mar-07,1.0
Houston,RoadStar,Jan-07,205.0
Houston,RoadStar,Feb-07,205.0
Houston,RoadStar,Mar-07,204.0
Houston,RoadLiner,Jan-07,197.0
Houston,RoadLiner,Feb-07,197.0
Houston,RoadLiner,Mar-07,198.0
Houston,Victory,Jan-07,0.0
Houston,Victory,Feb-07,0.0
Houston,Victory,Mar-07,0.0
Houston,Boulevard,Jan-07,0.0
Houston,Boulevard,Feb-07,0.0
Houston,Boulevard,Mar-07,1.0
Houston,KingTwin,Jan-07,141.0
Houston,KingTwin,Feb-07,139.0
Houston,KingTwin,Mar-07,126.0
Houston,MegaTwin,Jan-07,130.0
Houston,MegaTwin,Feb-07,130.0
Houston,MegaTwin,Mar-07,130.0
Houston,ST900,Jan-07,0.0
Houston,ST900,Feb-07,0.0
Houston,ST900,Mar-07,0.0
Houston,ST1200,Jan-07,103.0
Houston,ST1200,Feb-07,46.0
Houston,ST1200,Mar-07,38.0
Houston,ST1200R,Jan-07,0.0
Houston,ST1200R,Feb-07,1.0
Houston,ST1200R,Mar-07,1.0
Houston,Bandit 900,Jan-07,1.0
Houston,Bandit 900,Feb-07,0.0
Houston,Bandit 900,Mar-07,0.0
Houston,Bandit 1200,Jan-07,117.0
Houston,Bandit 1200,Feb-07,117.0
Houston,Bandit 1200,Mar-07,117.0
Houston,Bandit 1200S,Jan-07,0.0
Houston,Bandit 1200S,Feb-07,0.0
Houston,Bandit 1200S,Mar-07,1.0
Houston,Enduro 350,Jan-07,0.0
Houston,Enduro 350,Feb-07,0.0
Houston,Enduro 350,Mar-07,0.0
Houston,Enduro 450,Jan-07,2.0
Houston,Enduro 450,Feb-07,0.0
Houston,Enduro 450,Mar-07,0.0
Houston,Enduro 550,Jan-07,0.0
Houston,Enduro 550,Feb-07,0.0
Houston,Enduro 550,Mar-07,1.0
Houston,CRX500,Jan-07,0.0
Houston,CRX500,Feb-07,0.0
Houston,CRX500,Mar-07,0.0
Houston,CRS550,Jan-07,96.0
Houston,CRS550,Feb-07,96.0
Houston,CRS550,Mar-07,96.0
Houston,CRX600,Jan-07,0.0
Houston,CRX600,Feb-07,0.0
Houston,CRX600,Mar-07,0.0
Houston,CRX650,Jan-07,105.0
Houston,CRX650,Feb-07,96.0
Houston,CRX650,Mar-07,49.0
Dallas,200S,Jan-07,76.0
Dallas,200S,Feb-07,76.0
Dallas,200S,Mar-07,76.0
Dallas,300S,Jan-07,0.0
Dallas,300S,Feb-07,0.0
Dallas,300S,Mar-07,0.0
Dallas,600S,Jan-07,0.0
Dallas,600S,Feb-07,0.0
Dallas,600S,Mar-07,0.0
Dallas,626S,Jan-07,0.0
Dallas,626S,Feb-07,0.0
Dallas,626S,Mar-07,0.0
Dallas,676S,Jan-07,244.0
Dallas,676S,Feb-07,244.0
Dallas,676S,Mar-07,244.0
Dallas,676RS,Jan-07,36.0
Dallas,676RS,Feb-07,36.0
Dallas,676RS,Mar-07,36.0
Dallas,900S,Jan-07,0.0
Dallas,900S,Feb-07,0.0
Dallas,900S,Mar-07,0.0
Dallas,929S,Jan-07,0.0
Dallas,929S,Feb-07,0.0
Dallas,929S,Mar-07,0.0
Dallas,996S,Jan-07,172.0
Dallas,996S,Feb-07,172.0
Dallas,996S,Mar-07,172.0
Dallas,996RS,Jan-07,0.0
Dallas,996RS,Feb-07,0.0
Dallas,996RS,Mar-07,0.0
Dallas,RoadStar,Jan-07,262.0
Dallas,RoadStar,Feb-07,262.0
Dallas,RoadStar,Mar-07,262.0
Dallas,RoadLiner,Jan-07,105.0
Dallas,RoadLiner,Feb-07,57.0
Dallas,RoadLiner,Mar-07,104.0
Dallas,Victory,Jan-07,0.0
Dallas,Victory,Feb-07,0.0
Dallas,Victory,Mar-07,0.0
Dallas,Boulevard,Jan-07,197.0
Dallas,Boulevard,Feb-07,197.0
Dallas,Boulevard,Mar-07,197.0
Dallas,KingTwin,Jan-07,41.0
Dallas,KingTwin,Feb-07,41.0
Dallas,KingTwin,Mar-07,41.0
Dallas,MegaTwin,Jan-07,0.0
Dallas,MegaTwin,Feb-07,0.0
Dallas,MegaTwin,Mar-07,0.0
Dallas,ST900,Jan-07,0.0
Dallas,ST900,Feb-07,0.0
Dallas,ST900,Mar-07,0.0
Dallas,ST1200,Jan-07,10.0
Dallas,ST1200,Feb-07,82.0
Dallas,ST1200,Mar-07,82.0
Dallas,ST1200R,Jan-07,45.0
Dallas,ST1200R,Feb-07,97.0
Dallas,ST1200R,Mar-07,0.0
Dallas,Bandit 900,Jan-07,146.0
Dallas,Bandit 900,Feb-07,125.0
Dallas,Bandit 900,Mar-07,105.0
Dallas,Bandit 1200,Jan-07,117.0
Dallas,Bandit 1200,Feb-07,117.0
Dallas,Bandit 1200,Mar-07,117.0
Dallas,Bandit 1200S,Jan-07,98.0
Dallas,Bandit 1200S,Feb-07,39.0
Dallas,Bandit 1200S,Mar-07,101.0
Dallas,Enduro 350,Jan-07,0.0
Dallas,Enduro 350,Feb-07,0.0
Dallas,Enduro 350,Mar-07,0.0
Dallas,Enduro 450,Jan-07,160.0
Dallas,Enduro 450,Feb-07,160.0
Dallas,Enduro 450,Mar-07,160.0
Dallas,Enduro 550,Jan-07,104.0
Dallas,Enduro 550,Feb-07,104.0
Dallas,Enduro 550,Mar-07,104.0
Dallas,CRX500,Jan-07,0.0
Dallas,CRX500,Feb-07,0.0
Dallas,CRX500,Mar-07,0.0
Dallas,CRS550,Jan-07,86.0
Dallas,CRS550,Feb-07,86.0
Dallas,CRS550,Mar-07,86.0
Dallas,CRX600,Jan-07,3.0
Dallas,CRX600,Feb-07,12.0
Dallas,CRX600,Mar-07,0.0
Dallas,CRX650,Jan-07,0.0
Dallas,CRX650,Feb-07,0.0
Dallas,CRX650,Mar-07,0.0
Los Angeles,200S,Jan-07,89.0
Los Angeles,200S,Feb-07,89.0
Los Angeles,200S,Mar-07,89.0
Los Angeles,300S,Jan-07,61.0
Los Angeles,300S,Feb-07,61.0
Los Angeles,300S,Mar-07,61.0
Los Angeles,600S,Jan-07,0.0
Los Angeles,600S,Feb-07,0.0
Los Angeles,600S,Mar-07,0.0
Los Angeles,626S,Jan-07,213.0
Los Angeles,626S,Feb-07,213.0
Los Angeles,626S,Mar-07,213.0
Los Angeles,676S,Jan-07,0.0
Los Angeles,676S,Feb-07,0.0
Los Angeles,676S,Mar-07,48.0
Los Angeles,676RS,Jan-07,0.0
Los Angeles,676RS,Feb-07,0.0
Los Angeles,676RS,Mar-07,0.0
Los Angeles,900S,Jan-07,156.0
Los Angeles,900S,Feb-07,130.0
Los Angeles,900S,Mar-07,156.0
Los Angeles,929S,Jan-07,111.0
Los Angeles,929S,Feb-07,111.0
Los Angeles,929S,Mar-07,111.0
Los Angeles,996S,Jan-07,204.0
Los Angeles,996S,Feb-07,204.0
Los Angeles,996S,Mar-07,204.0
Los Angeles,996RS,Jan-07,36.0
Los Angeles,996RS,Feb-07,36.0
Los Angeles,996RS,Mar-07,36.0
Los Angeles,RoadStar,Jan-07,8.0
Los Angeles,RoadStar,Feb-07,0.0
Los Angeles,RoadStar,Mar-07,0.0
Los Angeles,RoadLiner,Jan-07,8.0
Los Angeles,RoadLiner,Feb-07,57.0
Los Angeles,RoadLiner,Mar-07,0.0
Los Angeles,Victory,Jan-07,0.0
Los Angeles,Victory,Feb-07,0.0
Los Angeles,Victory,Mar-07,0.0
Los Angeles,Boulevard,Jan-07,0.0
Los Angeles,Boulevard,Feb-07,0.0
Los Angeles,Boulevard,Mar-07,0.0
Los Angeles,KingTwin,Jan-07,0.0
Los Angeles,KingTwin,Feb-07,0.0
Los Angeles,KingTwin,Mar-07,0.0
Los Angeles,MegaTwin,Jan-07,0.0
Los Angeles,MegaTwin,Feb-07,0.0
Los Angeles,MegaTwin,Mar-07,0.0
Los Angeles,ST900,Jan-07,64.0
Los Angeles,ST900,Feb-07,25.0
Los Angeles,ST900,Mar-07,0.0
Los Angeles,ST1200,Jan-07,56.0
Los Angeles,ST1200,Feb-07,56.0
Los Angeles,ST1200,Mar-07,56.0
Los Angeles,ST1200R,Jan-07,175.0
Los Angeles,ST1200R,Feb-07,175.0
Los Angeles,ST1200R,Mar-07,175.0
Los Angeles,Bandit 900,Jan-07,0.0
Los Angeles,Bandit 900,Feb-07,0.0
Los Angeles,Bandit 900,Mar-07,0.0
Los Angeles,Bandit 1200,Jan-07,16.0
Los Angeles,Bandit 1200,Feb-07,31.0
Los Angeles,Bandit 1200,Mar-07,0.0
Los Angeles,Bandit 1200S,Jan-07,88.0
Los Angeles,Bandit 1200S,Feb-07,88.0
Los Angeles,Bandit 1200S,Mar-07,88.0
Los Angeles,Enduro 350,Jan-07,0.0
Los Angeles,Enduro 350,Feb-07,0.0
Los Angeles,Enduro 350,Mar-07,0.0
