plant,product,month,capacity,production,absdiff,reldiff
Houston,200S,Jan-07,231,231,0,0.0
Houston,200S,Feb-07,231,230,1,0.431034482759
Houston,200S,Mar-07,231,231,0,0.0
Houston,300S,Jan-07,102,101,1,0.970873786408
Houston,300S,Feb-07,102,102,0,0.0
Houston,300S,Mar-07,102,101,1,0.970873786408
Houston,600S,Jan-07,245,62,183,74.3902439024
Houston,600S,Feb-07,245,74,171,69.512195122
Houston,600S,Mar-07,245,78,167,67.8861788618
Houston,626S,Jan-07,164,0,164,99.3939393939
Houston,626S,Feb-07,164,0,164,99.3939393939
Houston,626S,Mar-07,164,0,164,99.3939393939
Houston,676S,Jan-07,230,133,97,41.9913419913
Houston,676S,Feb-07,230,172,58,25.1082251082
Houston,676S,Mar-07,230,161,69,29.8701298701
Houston,676RS,Jan-07,225,224,1,0.442477876106
Houston,676RS,Feb-07,225,224,1,0.442477876106
Houston,676RS,Mar-07,225,225,0,0.0
Houston,900S,Jan-07,48,0,48,97.9591836735
Houston,900S,Feb-07,48,0,48,97.9591836735
Houston,900S,Mar-07,48,0,48,97.9591836735
Houston,929S,Jan-07,112,0,112,99.1150442478
Houston,929S,Feb-07,112,0,112,99.1150442478
Houston,929S,Mar-07,112,0,112,99.1150442478
Houston,996S,Jan-07,89,27,62,68.8888888889
Houston,996S,Feb-07,89,31,58,64.4444444444
Houston,996S,Mar-07,89,71,18,20.0
Houston,996RS,Jan-07,246,0,246,99.5951417004
Houston,996RS,Feb-07,246,0,246,99.5951417004
Houston,996RS,Mar-07,246,1,245,99.1902834008
Houston,RoadStar,Jan-07,205,205,0,0.0
Houston,RoadStar,Feb-07,205,205,0,0.0
Houston,RoadStar,Mar-07,205,204,1,0.485436893204
Houston,RoadLiner,Jan-07,198,197,1,0.502512562814
Houston,RoadLiner,Feb-07,198,197,1,0.502512562814
Houston,RoadLiner,Mar-07,198,198,0,0.0
Houston,Victory,Jan-07,273,0,273,99.6350364964
Houston,Victory,Feb-07,273,0,273,99.6350364964
Houston,Victory,Mar-07,273,0,273,99.6350364964
Houston,Boulevard,Jan-07,238,0,238,99.5815899582
Houston,Boulevard,Feb-07,238,0,238,99.5815899582
Houston,Boulevard,Mar-07,238,1,237,99.1631799163
Houston,KingTwin,Jan-07,216,141,75,34.5622119816
Houston,KingTwin,Feb-07,216,139,77,35.4838709677
Houston,KingTwin,Mar-07,216,126,90,41.4746543779
Houston,MegaTwin,Jan-07,130,130,0,0.0
Houston,MegaTwin,Feb-07,130,130,0,0.0
Houston,MegaTwin,Mar-07,130,130,0,0.0
Houston,ST900,Jan-07,80,0,80,98.7654320988
Houston,ST900,Feb-07,80,0,80,98.7654320988
Houston,ST900,Mar-07,80,0,80,98.7654320988
Houston,ST1200,Jan-07,182,103,79,43.1693989071
Houston,ST1200,Feb-07,182,46,136,74.3169398907
Houston,ST1200,Mar-07,182,38,144,78.6885245902
Houston,ST1200R,Jan-07,72,0,72,98.6301369863
Houston,ST1200R,Feb-07,72,1,71,97.2602739726
Houston,ST1200R,Mar-07,72,1,71,97.2602739726
Houston,Bandit 900,Jan-07,146,1,145,98.6394557823
Houston,Bandit 900,Feb-07,146,0,146,99.3197278912
Houston,Bandit 900,Mar-07,146,0,146,99.3197278912
Houston,Bandit 1200,Jan-07,117,117,0,0.0
Houston,Bandit 1200,Feb-07,117,117,0,0.0
Houston,Bandit 1200,Mar-07,117,117,0,0.0
Houston,Bandit 1200S,Jan-07,235,0,235,99.5762711864
Houston,Bandit 1200S,Feb-07,235,0,235,99.5762711864
Houston,Bandit 1200S,Mar-07,235,1,234,99.1525423729
Houston,Enduro 350,Jan-07,240,0,240,99.5850622407
Houston,Enduro 350,Feb-07,240,0,240,99.5850622407
Houston,Enduro 350,Mar-07,240,0,240,99.5850622407
Houston,Enduro 450,Jan-07,55,2,53,94.6428571429
Houston,Enduro 450,Feb-07,55,0,55,98.2142857143
Houston,Enduro 450,Mar-07,55,0,55,98.2142857143
Houston,Enduro 550,Jan-07,215,0,215,99.537037037
Houston,Enduro 550,Feb-07,215,0,215,99.537037037
Houston,Enduro 550,Mar-07,215,1,214,99.0740740741
Houston,CRX500,Jan-07,83,0,83,98.8095238095
Houston,CRX500,Feb-07,83,0,83,98.8095238095
Houston,CRX500,Mar-07,83,0,83,98.8095238095
Houston,CRS550,Jan-07,96,96,0,0.0
Houston,CRS550,Feb-07,96,96,0,0.0
Houston,CRS550,Mar-07,96,96,0,0.0
Houston,CRX600,Jan-07,81,0,81,98.7804878049
Houston,CRX600,Feb-07,81,0,81,98.7804878049
Houston,CRX600,Mar-07,81,0,81,98.7804878049
Houston,CRX650,Jan-07,138,105,33,23.7410071942
Houston,CRX650,Feb-07,138,96,42,30.2158273381
Houston,CRX650,Mar-07,138,49,89,64.0287769784
Dallas,200S,Jan-07,76,76,0,0.0
Dallas,200S,Feb-07,76,76,0,0.0
Dallas,200S,Mar-07,76,76,0,0.0
Dallas,300S,Jan-07,253,0,253,99.6062992126
Dallas,300S,Feb-07,253,0,253,99.6062992126
Dallas,300S,Mar-07,253,0,253,99.6062992126
Dallas,600S,Jan-07,122,0,122,99.1869918699
Dallas,600S,Feb-07,122,0,122,99.1869918699
Dallas,600S,Mar-07,122,0,122,99.1869918699
Dallas,626S,Jan-07,98,0,98,98.9898989899
Dallas,626S,Feb-07,98,0,98,98.9898989899
Dallas,626S,Mar-07,98,0,98,98.9898989899
Dallas,676S,Jan-07,244,244,0,0.0
Dallas,676S,Feb-07,244,244,0,0.0
Dallas,676S,Mar-07,244,244,0,0.0
Dallas,676RS,Jan-07,36,36,0,0.0
Dallas,676RS,Feb-07,36,36,0,0.0
Dallas,676RS,Mar-07,36,36,0,0.0
Dallas,900S,Jan-07,34,0,34,97.1428571429
Dallas,900S,Feb-07,34,0,34,97.1428571429
Dallas,900S,Mar-07,34,0,34,97.1428571429
Dallas,929S,Jan-07,181,0,181,99.4505494505
Dallas,929S,Feb-07,181,0,181,99.4505494505
Dallas,929S,Mar-07,181,0,181,99.4505494505
Dallas,996S,Jan-07,172,172,0,0.0
Dallas,996S,Feb-07,172,172,0,0.0
Dallas,996S,Mar-07,172,172,0,0.0
Dallas,996RS,Jan-07,149,0,149,99.3333333333
Dallas,996RS,Feb-07,149,0,149,99.3333333333
Dallas,996RS,Mar-07,149,0,149,99.3333333333
Dallas,RoadStar,Jan-07,262,262,0,0.0
Dallas,RoadStar,Feb-07,262,262,0,0.0
Dallas,RoadStar,Mar-07,262,262,0,0.0
Dallas,RoadLiner,Jan-07,105,105,0,0.0
Dallas,RoadLiner,Feb-07,105,57,48,45.2830188679
Dallas,RoadLiner,Mar-07,105,104,1,0.943396226415
Dallas,Victory,Jan-07,155,0,155,99.358974359
Dallas,Victory,Feb-07,155,0,155,99.358974359
Dallas,Victory,Mar-07,155,0,155,99.358974359
Dallas,Boulevard,Jan-07,197,197,0,0.0
Dallas,Boulevard,Feb-07,197,197,0,0.0
Dallas,Boulevard,Mar-07,197,197,0,0.0
Dallas,KingTwin,Jan-07,41,41,0,0.0
Dallas,KingTwin,Feb-07,41,41,0,0.0
Dallas,KingTwin,Mar-07,41,41,0,0.0
Dallas,MegaTwin,Jan-07,178,0,178,99.4413407821
Dallas,MegaTwin,Feb-07,178,0,178,99.4413407821
Dallas,MegaTwin,Mar-07,178,0,178,99.4413407821
Dallas,ST900,Jan-07,31,0,31,96.875
Dallas,ST900,Feb-07,31,0,31,96.875
Dallas,ST900,Mar-07,31,0,31,96.875
Dallas,ST1200,Jan-07,82,10,72,86.7469879518
Dallas,ST1200,Feb-07,82,82,0,0.0
Dallas,ST1200,Mar-07,82,82,0,0.0
Dallas,ST1200R,Jan-07,186,45,141,75.4010695187
Dallas,ST1200R,Feb-07,186,97,89,47.5935828877
Dallas,ST1200R,Mar-07,186,0,186,99.4652406417
Dallas,Bandit 900,Jan-07,206,146,60,28.9855072464
Dallas,Bandit 900,Feb-07,206,125,81,39.1304347826
Dallas,Bandit 900,Mar-07,206,105,101,48.7922705314
Dallas,Bandit 1200,Jan-07,117,117,0,0.0
Dallas,Bandit 1200,Feb-07,117,117,0,0.0
Dallas,Bandit 1200,Mar-07,117,117,0,0.0
Dallas,Bandit 1200S,Jan-07,207,98,109,52.4038461538
Dallas,Bandit 1200S,Feb-07,207,39,168,80.7692307692
Dallas,Bandit 1200S,Mar-07,207,101,106,50.9615384615
Dallas,Enduro 350,Jan-07,43,0,43,97.7272727273
Dallas,Enduro 350,Feb-07,43,0,43,97.7272727273
Dallas,Enduro 350,Mar-07,43,0,43,97.7272727273
Dallas,Enduro 450,Jan-07,160,160,0,0.0
Dallas,Enduro 450,Feb-07,160,160,0,0.0
Dallas,Enduro 450,Mar-07,160,160,0,0.0
Dallas,Enduro 550,Jan-07,104,104,0,0.0
Dallas,Enduro 550,Feb-07,104,104,0,0.0
Dallas,Enduro 550,Mar-07,104,104,0,0.0
Dallas,CRX500,Jan-07,161,0,161,99.3827160494
Dallas,CRX500,Feb-07,161,0,161,99.3827160494
Dallas,CRX500,Mar-07,161,0,161,99.3827160494
Dallas,CRS550,Jan-07,86,86,0,0.0
Dallas,CRS550,Feb-07,86,86,0,0.0
Dallas,CRS550,Mar-07,86,86,0,0.0
Dallas,CRX600,Jan-07,125,3,122,96.8253968254
Dallas,CRX600,Feb-07,125,12,113,89.6825396825
Dallas,CRX600,Mar-07,125,0,125,99.2063492063
Dallas,CRX650,Jan-07,35,0,35,97.2222222222
Dallas,CRX650,Feb-07,35,0,35,97.2222222222
Dallas,CRX650,Mar-07,35,0,35,97.2222222222
Los Angeles,200S,Jan-07,89,89,0,0.0
Los Angeles,200S,Feb-07,89,89,0,0.0
Los Angeles,200S,Mar-07,89,89,0,0.0
Los Angeles,300S,Jan-07,61,61,0,0.0
Los Angeles,300S,Feb-07,61,61,0,0.0
Los Angeles,300S,Mar-07,61,61,0,0.0
Los Angeles,600S,Jan-07,115,0,115,99.1379310345
Los Angeles,600S,Feb-07,115,0,115,99.1379310345
Los Angeles,600S,Mar-07,115,0,115,99.1379310345
Los Angeles,626S,Jan-07,213,213,0,0.0
Los Angeles,626S,Feb-07,213,213,0,0.0
Los Angeles,626S,Mar-07,213,213,0,0.0
Los Angeles,676S,Jan-07,48,0,48,97.9591836735
