from,to,value
Alabama,Alabama,0.0
Alabama,Alaska,5569.338239440972
Alabama,Arizona,2288.4107210393654
Alabama,Arkansas,568.6793141779109
Alabama,California,3024.2969439852627
Alabama,Colorado,1802.8748658437003
Alabama,Connecticut,1578.3940724274366
Alabama,Delaware,1244.9977840877768
Alabama,Florida,744.5302150479931
Alabama,Georgia,295.05920839962323
Alabama,Hawaii,7006.7802973136495
Alabama,Idaho,2705.968253857834
Alabama,Illinois,861.501104273531
Alabama,Indiana,784.8135767310534
Alabama,Iowa,1169.5830492567743
Alabama,Kansas,1099.3014609939435
Alabama,Kentucky,573.9991617557278
Alabama,Louisiana,512.3114365877265
Alabama,Maine,1999.4852434882214
Alabama,Maryland,1136.1957739420764
Alabama,Massachusetts,1701.7801533118393
Alabama,Michigan,1186.5459870827324
Alabama,Minnesota,1557.222713178618
Alabama,Mississippi,270.1429868372372
Alabama,Missouri,800.8012499865482
Alabama,Montana,2541.34179825539
Alabama,Nebraska,1374.8851376995906
Alabama,Nevada,2792.8456400091427
Alabama,New Hampshire,1777.257007065131
Alabama,New Jersey,1374.8865593247613
Alabama,New Mexico,1809.2320293287282
Alabama,New York,1472.457887618476
Alabama,North Carolina,714.8246442670276
Alabama,North Dakota,1969.2298048407697
Alabama,Ohio,916.5153200512095
Alabama,Oklahoma,981.394351119481
Alabama,Oregon,3298.4555555418224
Alabama,Pennsylvania,1214.990282379095
Alabama,Rhode Island,1670.5506532358058
Alabama,South Carolina,555.6266105318392
Alabama,South Dakota,1682.5170114850732
Alabama,Tennessee,327.2721974095961
Alabama,Texas,1034.9148085448935
Alabama,Utah,2376.619161570635
Alabama,Vermont,1746.8039760222073
Alabama,Virginia,957.0940497202856
Alabama,Washington,3330.1429158449823
Alabama,West Virginia,823.0685585932393
Alabama,Wisconsin,1298.1568067509972
Alabama,Wyoming,2107.1449387145094
Alaska,Alabama,5569.338239440972
Alaska,Alaska,0.0
Alaska,Arizona,4224.257259968696
Alaska,Arkansas,5076.202740863494
Alaska,California,3619.6912779016056
Alaska,Colorado,4032.752002929853
Alaska,Connecticut,5525.458344649735
Alaska,Delaware,5583.034818545584
Alaska,Florida,6307.566073777211
Alaska,Georgia,5715.631990366809
Alaska,Hawaii,4497.314090980254
Alaska,Idaho,3111.7769055185026
Alaska,Illinois,4779.756272936144
Alaska,Indiana,4968.423954717188
Alaska,Iowa,4412.068313755259
Alaska,Kansas,4527.629049530875
Alaska,Kentucky,5244.495200768618
Alaska,Louisiana,5451.228348021948
Alaska,Maine,5427.863082905094
Alaska,Maryland,5537.692004643964
Alaska,Massachusetts,5533.003431106637
Alaska,Michigan,4762.059442204382
Alaska,Minnesota,4069.3146101364628
Alaska,Mississippi,5421.9309643835395
Alaska,Missouri,4769.13156383376
Alaska,Montana,3093.2156692660797
Alaska,Nebraska,4219.115409620804
Alaska,Nevada,3526.0536081392306
Alaska,New Hampshire,5425.084017268199
Alaska,New Jersey,5548.032958601357
Alaska,New Mexico,4371.2157723638575
Alaska,New York,5362.9526015292395
Alaska,North Carolina,5685.19308870568
Alaska,North Dakota,3609.5868859819334
Alaska,Ohio,5107.139140545668
Alaska,Oklahoma,4782.2768184527495
Alaska,Oregon,2715.3150122785896
Alaska,Pennsylvania,5382.230236821291
Alaska,Rhode Island,5581.977071152802
Alaska,South Carolina,5785.0417258001635
Alaska,South Dakota,3888.493186546218
Alaska,Tennessee,5307.99570884421
Alaska,Texas,5165.182081987998
Alaska,Utah,3604.522945929049
Alaska,Vermont,5315.674606739078
Alaska,Virginia,5580.430173659523
Alaska,Washington,2494.8055976667565
Alaska,West Virginia,5369.182177518329
Alaska,Wisconsin,4414.064077289543
Alaska,Wyoming,3605.36057928188
Arizona,Alabama,2288.4107210393654
Arizona,Alaska,4224.257259968696
Arizona,Arizona,0.0
Arizona,Arkansas,1752.9145196929496
Arizona,California,797.5515349427523
Arizona,Colorado,806.8912542468412
Arizona,Connecticut,3484.77938929152
Arizona,Delaware,3248.623505162867
Arizona,Florida,2908.841744705464
Arizona,Georgia,2574.1730075340947
Arizona,Hawaii,4718.537819378638
Arizona,Idaho,1198.1852815080745
Arizona,Illinois,2117.2763366276645
Arizona,Indiana,2334.3716683357866
Arizona,Iowa,1840.489014483145
Arizona,Kansas,1422.6497093248079
Arizona,Kentucky,2448.0217703128383
Arizona,Louisiana,1855.3336846534437
Arizona,Maine,3775.9641467099536
Arizona,Maryland,3137.067132958177
Arizona,Massachusetts,3588.3822725204805
Arizona,Michigan,2557.286888581585
Arizona,Minnesota,1997.2177993075559
Arizona,Mississippi,2022.994260515161
Arizona,Missouri,1795.2058508454236
Arizona,Montana,1469.6660487425486
Arizona,Nebraska,1421.6826862352461
Arizona,Nevada,717.9967757150471
Arizona,New Hampshire,3592.4499029655885
Arizona,New Jersey,3333.2972723917937
Arizona,New Mexico,492.00503390249196
Arizona,New York,3306.77985024474
Arizona,North Carolina,2887.991483096419
Arizona,North Dakota,1818.26938612071
Arizona,Ohio,2636.9688345402255
Arizona,Oklahoma,1341.373124415732
Arizona,Oregon,1512.6692994729851
Arizona,Pennsylvania,3106.940905968127
Arizona,Rhode Island,3588.346566264613
Arizona,South Carolina,2807.626098597845
Arizona,South Dakota,1563.9162077294034
Arizona,Tennessee,2266.3186595303614
Arizona,Texas,1334.9079301566826
Arizona,Utah,715.1512267043963
Arizona,Vermont,3506.12259876886
Arizona,Virginia,3019.8686368209587
Arizona,Washington,1738.6846611071107
Arizona,West Virginia,2776.1753520043753
Arizona,Wisconsin,2209.7799466335205
Arizona,Wyoming,1066.4341574862615
Arkansas,Alabama,568.6793141779109
Arkansas,Alaska,5076.202740863494
Arkansas,Arizona,1752.9145196929496
Arkansas,Arkansas,0.0
Arkansas,California,2466.7393013251058
Arkansas,Colorado,1234.4275418607588
Arkansas,Connecticut,1859.2574438344677
Arkansas,Delaware,1568.870519177621
Arkansas,Florida,1291.6413407331368
Arkansas,Georgia,832.7655433653256
Arkansas,Hawaii,6466.708008373677
Arkansas,Idaho,2147.0808757438353
Arkansas,Illinois,668.4508430157439
Arkansas,Indiana,765.4322448889494
Arkansas,Iowa,786.6354026296856
Arkansas,Kansas,553.995299014782
Arkansas,Kentucky,752.4634639186685
Arkansas,Louisiana,425.3049792572271
Arkansas,Maine,2230.8083503407606
Arkansas,Maryland,1453.7255758882072
Arkansas,Massachusetts,1976.8664014119336
Arkansas,Michigan,1148.1915728302597
Arkansas,Minnesota,1199.8539181178053
Arkansas,Mississippi,351.19734579569246
Arkansas,Missouri,387.8631484446993
