salesrep,state,value
John,Alabama,3024.0
John,Alaska,3620.0
John,Arizona,798.0
John,Arkansas,2467.0
John,California,0.0
John,Colorado,1307.0
John,Connecticut,4060.0
John,Delaware,3864.0
John,Florida,3679.0
John,Georgia,3299.0
John,Hawaii,4020.0
John,Idaho,1005.0
John,Illinois,2709.0
John,Indiana,2942.0
John,Iowa,2368.0
John,Kansas,2043.0
John,Kentucky,3101.0
John,Louisiana,2624.0
John,Maine,4295.0
John,Maryland,3759.0
John,Massachusetts,4151.0
John,Michigan,3087.0
John,Minnesota,2401.0
John,Mississippi,2767.0
John,Missouri,2429.0
John,Montana,1424.0
John,Nebraska,1937.0
John,Nevada,337.0
John,New Hampshire,4134.0
John,New Jersey,3932.0
John,New Mexico,1224.0
John,New York,3872.0
John,North Carolina,3569.0
John,North Dakota,2071.0
John,Ohio,3236.0
John,Oklahoma,2048.0
John,Oregon,962.0
John,Pennsylvania,3702.0
John,Rhode Island,4161.0
John,South Carolina,3516.0
John,South Dakota,1938.0
John,Tennessee,2957.0
John,Texas,2120.0
John,Utah,818.0
John,Vermont,4037.0
John,Virginia,3665.0
John,Washington,1264.0
John,West Virginia,3411.0
John,Wisconsin,2693.0
John,Wyoming,1293.0
Jack,Alabama,1472.0
Jack,Alaska,5363.0
Jack,Arizona,3307.0
Jack,Arkansas,1709.0
Jack,California,3872.0
Jack,Colorado,2573.0
Jack,Connecticut,192.0
Jack,Delaware,320.0
Jack,Florida,1714.0
Jack,Georgia,1270.0
Jack,Hawaii,7859.0
Jack,Idaho,3182.0
Jack,Illinois,1190.0
Jack,Indiana,983.0
Jack,Iowa,1505.0
Jack,Kansas,1885.0
Jack,Kentucky,968.0
Jack,Louisiana,1937.0
Jack,Maine,530.0
Jack,Maryland,379.0
Jack,Massachusetts,282.0
Jack,Michigan,793.0
Jack,Minnesota,1564.0
Jack,Mississippi,1666.0
Jack,Missouri,1524.0
Jack,Montana,2839.0
Jack,Nebraska,1936.0
Jack,Nevada,3564.0
Jack,New Hampshire,311.0
Jack,New Jersey,211.0
Jack,New Mexico,2826.0
Jack,New York,0.0
Jack,North Carolina,839.0
Jack,North Dakota,2037.0
Jack,Ohio,682.0
Jack,Oklahoma,2033.0
Jack,Oregon,3766.0
Jack,Pennsylvania,258.0
Jack,Rhode Island,289.0
Jack,South Carolina,1062.0
Jack,South Dakota,1991.0
Jack,Tennessee,1240.0
Jack,Texas,2356.0
Jack,Utah,3075.0
Jack,Vermont,277.0
Jack,Virginia,561.0
Jack,Washington,3664.0
Jack,West Virginia,653.0
Jack,Wisconsin,1210.0
Jack,Wyoming,2639.0
Paul,Alabama,981.0
Paul,Alaska,4782.0
Paul,Arizona,1341.0
Paul,Arkansas,419.0
Paul,California,2048.0
Paul,Colorado,837.0
Paul,Connecticut,2198.0
Paul,Delaware,1932.0
Paul,Florida,1681.0
Paul,Georgia,1252.0
Paul,Hawaii,6050.0
Paul,Idaho,1776.0
Paul,Illinois,876.0
Paul,Indiana,1052.0
Paul,Iowa,786.0
Paul,Kansas,330.0
Paul,Kentucky,1118.0
Paul,Louisiana,678.0
Paul,Maine,2537.0
Paul,Maryland,1818.0
Paul,Massachusetts,2310.0
Paul,Michigan,1368.0
Paul,Minnesota,1155.0
Paul,Mississippi,737.0
Paul,Missouri,523.0
Paul,Montana,1691.0
Paul,Nebraska,629.0
Paul,Nevada,1811.0
Paul,New Hampshire,2335.0
Paul,New Jersey,2029.0
Paul,New Mexico,851.0
Paul,New York,2033.0
Paul,North Carolina,1547.0
Paul,North Dakota,1352.0
Paul,Ohio,1351.0
Paul,Oklahoma,0.0
Paul,Oregon,2350.0
Paul,Pennsylvania,1810.0
Paul,Rhode Island,2301.0
Paul,South Carolina,1472.0
Paul,South Dakota,995.0
Paul,Tennessee,925.0
Paul,Texas,505.0
Paul,Utah,1405.0
Paul,Vermont,2263.0
Paul,Virginia,1689.0
Paul,Washington,2417.0
Paul,West Virginia,1453.0
Paul,Wisconsin,1151.0
Paul,Wyoming,1198.0
Mark,Alabama,745.0
Mark,Alaska,6308.0
Mark,Arizona,2909.0
Mark,Arkansas,1292.0
Mark,California,3679.0
Mark,Colorado,2516.0
Mark,Connecticut,1740.0
Mark,Delaware,1406.0
Mark,Florida,0.0
Mark,Georgia,616.0
Mark,Hawaii,7595.0
Mark,Idaho,3439.0
