Periods,value
Mon-00,1196
Mon-01,1193
Mon-02,1191
Mon-03,1193
Mon-04,1207
Mon-05,1243
Mon-06,1293
Mon-07,1337
Mon-08,1383
Mon-09,1411
Mon-10,1430
Mon-11,1440
Mon-12,1433
Mon-13,1437
Mon-14,1437
Mon-15,1431
Mon-16,1414
Mon-17,1389
Mon-18,1363
Mon-19,1350
Mon-20,1357
Mon-21,1351
Mon-22,1329
Mon-23,1306
Tue-00,1289
Tue-01,1277
Tue-02,1264
Tue-03,1255
Tue-04,1257
Tue-05,1285
Tue-06,1328
Tue-07,1361
Tue-08,1394
Tue-09,1417
Tue-10,1436
Tue-11,1440
Tue-12,1432
Tue-13,1434
Tue-14,1432
Tue-15,1422
Tue-16,1407
Tue-17,1386
Tue-18,1364
Tue-19,1354
Tue-20,1362
Tue-21,1356
Tue-22,1334
Tue-23,1310
Wed-00,1289
Wed-01,1276
Wed-02,1264
Wed-03,1254
Wed-04,1256
Wed-05,1285
Wed-06,1327
Wed-07,1360
Wed-08,1394
Wed-09,1417
Wed-10,1436
Wed-11,1441
Wed-12,1433
Wed-13,1435
Wed-14,1433
Wed-15,1423
Wed-16,1408
Wed-17,1388
Wed-18,1365
Wed-19,1355
Wed-20,1363
Wed-21,1357
Wed-22,1335
Wed-23,1311
Thu-00,1289
Thu-01,1277
Thu-02,1265
Thu-03,1255
Thu-04,1258
Thu-05,1286
Thu-06,1329
Thu-07,1362
Thu-08,1396
Thu-09,1420
Thu-10,1439
Thu-11,1443
Thu-12,1435
Thu-13,1437
Thu-14,1435
Thu-15,1425
Thu-16,1410
Thu-17,1389
Thu-18,1367
Thu-19,1356
Thu-20,1364
Thu-21,1359
Thu-22,1336
Thu-23,1313
Fri-00,1295
Fri-01,1281
Fri-02,1269
Fri-03,1264
Fri-04,1269
Fri-05,1294
Fri-06,1338
Fri-07,1368
Fri-08,1402
Fri-09,1427
Fri-10,1446
Fri-11,1448
Fri-12,1437
Fri-13,1439
Fri-14,1434
Fri-15,1422
Fri-16,1411
Fri-17,1385
Fri-18,1358
Fri-19,1340
Fri-20,1345
Fri-21,1333
Fri-22,1307
Fri-23,1282
Sat-00,1259
Sat-01,1245
Sat-02,1231
Sat-03,1221
Sat-04,1216
Sat-05,1224
Sat-06,1236
Sat-07,1243
Sat-08,1262
Sat-09,1280
Sat-10,1294
Sat-11,1302
Sat-12,1300
Sat-13,1294
Sat-14,1287
Sat-15,1279
Sat-16,1275
Sat-17,1265
Sat-18,1255
Sat-19,1246
Sat-20,1244
Sat-21,1235
Sat-22,1219
Sat-23,1199
Sun-00,1184
Sun-01,1172
Sun-02,1163
Sun-03,1162
Sun-04,1158
Sun-05,1160
Sun-06,1164
Sun-07,1160
Sun-08,1174
Sun-09,1191
Sun-10,1205
Sun-11,1220
Sun-12,1227
Sun-13,1232
Sun-14,1235
Sun-15,1235
Sun-16,1233
Sun-17,1230
Sun-18,1217
Sun-19,1205
Sun-20,1207
Sun-21,1215
Sun-22,1211
Sun-23,1207
