value,Units,Periods
500.0000000000002,COAL_1,Mon-00
233.33333333333314,COAL_2,Mon-00
66.66666666666657,DIESEL_1,Mon-00
31.0,DIESEL_2,Mon-00
0.0,DIESEL_3,Mon-00
0.0,DIESEL_4,Mon-00
110.0,GAS_1,Mon-00
0.0,GAS_2,Mon-00
165.00000000000006,GAS_3,Mon-00
90.0,GAS_4,Mon-00
500.0000000000001,COAL_1,Mon-01
233.33333333333331,COAL_2,Mon-01
90.00000000000001,DIESEL_1,Mon-01
87.0,DIESEL_2,Mon-01
0.0,DIESEL_3,Mon-01
0.0,DIESEL_4,Mon-01
78.0,GAS_1,Mon-01
0.0,GAS_2,Mon-01
165.00000000000003,GAS_3,Mon-01
39.66666666666653,GAS_4,Mon-01
500.0000000000001,COAL_1,Mon-02
259.33333333333337,COAL_2,Mon-02
90.00000000000001,DIESEL_1,Mon-02
87.0,DIESEL_2,Mon-02
0.0,DIESEL_3,Mon-02
0.0,DIESEL_4,Mon-02
0.0,GAS_1,Mon-02
0.0,GAS_2,Mon-02
165.0,GAS_3,Mon-02
89.66666666666653,GAS_4,Mon-02
500.0000000000001,COAL_1,Mon-03
233.33333333333314,COAL_2,Mon-03
90.0,DIESEL_1,Mon-03
87.0,DIESEL_2,Mon-03
0.0,DIESEL_3,Mon-03
0.0,DIESEL_4,Mon-03
0.0,GAS_1,Mon-03
0.0,GAS_2,Mon-03
165.00000000000003,GAS_3,Mon-03
117.66666666666674,GAS_4,Mon-03
500.0000000000001,COAL_1,Mon-04
233.33333333333314,COAL_2,Mon-04
90.0,DIESEL_1,Mon-04
87.0,DIESEL_2,Mon-04
0.0,DIESEL_3,Mon-04
0.0,DIESEL_4,Mon-04
0.0,GAS_1,Mon-04
0.0,GAS_2,Mon-04
165.00000000000003,GAS_3,Mon-04
131.66666666666674,GAS_4,Mon-04
500.0000000000001,COAL_1,Mon-05
242.9999999999999,COAL_2,Mon-05
90.0,DIESEL_1,Mon-05
87.0,DIESEL_2,Mon-05
0.0,DIESEL_3,Mon-05
0.0,DIESEL_4,Mon-05
0.0,GAS_1,Mon-05
0.0,GAS_2,Mon-05
165.00000000000003,GAS_3,Mon-05
158.0,GAS_4,Mon-05
500.0000000000001,COAL_1,Mon-06
292.9999999999999,COAL_2,Mon-06
90.0,DIESEL_1,Mon-06
87.0,DIESEL_2,Mon-06
0.0,DIESEL_3,Mon-06
0.0,DIESEL_4,Mon-06
0.0,GAS_1,Mon-06
0.0,GAS_2,Mon-06
165.00000000000003,GAS_3,Mon-06
158.00000000000003,GAS_4,Mon-06
500.0000000000001,COAL_1,Mon-07
336.9999999999999,COAL_2,Mon-07
90.0,DIESEL_1,Mon-07
87.0,DIESEL_2,Mon-07
0.0,DIESEL_3,Mon-07
0.0,DIESEL_4,Mon-07
0.0,GAS_1,Mon-07
0.0,GAS_2,Mon-07
165.00000000000003,GAS_3,Mon-07
158.0,GAS_4,Mon-07
500.0,COAL_1,Mon-08
383.0,COAL_2,Mon-08
90.0,DIESEL_1,Mon-08
87.0,DIESEL_2,Mon-08
0.0,DIESEL_3,Mon-08
0.0,DIESEL_4,Mon-08
0.0,GAS_1,Mon-08
0.0,GAS_2,Mon-08
165.00000000000003,GAS_3,Mon-08
158.0,GAS_4,Mon-08
500.0000000000001,COAL_1,Mon-09
410.9999999999999,COAL_2,Mon-09
90.0,DIESEL_1,Mon-09
87.0,DIESEL_2,Mon-09
0.0,DIESEL_3,Mon-09
0.0,DIESEL_4,Mon-09
0.0,GAS_1,Mon-09
0.0,GAS_2,Mon-09
165.00000000000003,GAS_3,Mon-09
158.0,GAS_4,Mon-09
500.0000000000001,COAL_1,Mon-10
429.9999999999999,COAL_2,Mon-10
90.0,DIESEL_1,Mon-10
87.0,DIESEL_2,Mon-10
0.0,DIESEL_3,Mon-10
0.0,DIESEL_4,Mon-10
0.0,GAS_1,Mon-10
0.0,GAS_2,Mon-10
165.00000000000003,GAS_3,Mon-10
158.00000000000003,GAS_4,Mon-10
500.0000000000001,COAL_1,Mon-11
439.9999999999999,COAL_2,Mon-11
90.0,DIESEL_1,Mon-11
87.0,DIESEL_2,Mon-11
0.0,DIESEL_3,Mon-11
0.0,DIESEL_4,Mon-11
0.0,GAS_1,Mon-11
0.0,GAS_2,Mon-11
165.00000000000003,GAS_3,Mon-11
158.0,GAS_4,Mon-11
500.0000000000001,COAL_1,Mon-12
432.9999999999999,COAL_2,Mon-12
90.0,DIESEL_1,Mon-12
87.0,DIESEL_2,Mon-12
0.0,DIESEL_3,Mon-12
0.0,DIESEL_4,Mon-12
0.0,GAS_1,Mon-12
0.0,GAS_2,Mon-12
165.00000000000003,GAS_3,Mon-12
158.0,GAS_4,Mon-12
500.0000000000001,COAL_1,Mon-13
436.9999999999999,COAL_2,Mon-13
90.0,DIESEL_1,Mon-13
87.0,DIESEL_2,Mon-13
0.0,DIESEL_3,Mon-13
0.0,DIESEL_4,Mon-13
0.0,GAS_1,Mon-13
0.0,GAS_2,Mon-13
165.00000000000003,GAS_3,Mon-13
158.00000000000003,GAS_4,Mon-13
500.0000000000001,COAL_1,Mon-14
436.9999999999999,COAL_2,Mon-14
90.0,DIESEL_1,Mon-14
87.0,DIESEL_2,Mon-14
0.0,DIESEL_3,Mon-14
0.0,DIESEL_4,Mon-14
0.0,GAS_1,Mon-14
0.0,GAS_2,Mon-14
165.0,GAS_3,Mon-14
158.0,GAS_4,Mon-14
500.0000000000001,COAL_1,Mon-15
430.9999999999999,COAL_2,Mon-15
90.0,DIESEL_1,Mon-15
87.0,DIESEL_2,Mon-15
0.0,DIESEL_3,Mon-15
0.0,DIESEL_4,Mon-15
0.0,GAS_1,Mon-15
0.0,GAS_2,Mon-15
165.0,GAS_3,Mon-15
158.0,GAS_4,Mon-15
500.0000000000001,COAL_1,Mon-16
413.9999999999999,COAL_2,Mon-16
90.0,DIESEL_1,Mon-16
87.0,DIESEL_2,Mon-16
0.0,DIESEL_3,Mon-16
0.0,DIESEL_4,Mon-16
0.0,GAS_1,Mon-16
0.0,GAS_2,Mon-16
165.00000000000003,GAS_3,Mon-16
158.00000000000003,GAS_4,Mon-16
500.0000000000001,COAL_1,Mon-17
388.9999999999999,COAL_2,Mon-17
90.0,DIESEL_1,Mon-17
87.0,DIESEL_2,Mon-17
0.0,DIESEL_3,Mon-17
0.0,DIESEL_4,Mon-17
0.0,GAS_1,Mon-17
0.0,GAS_2,Mon-17
165.0,GAS_3,Mon-17
158.0,GAS_4,Mon-17
500.0000000000001,COAL_1,Mon-18
362.9999999999999,COAL_2,Mon-18
90.0,DIESEL_1,Mon-18
87.0,DIESEL_2,Mon-18
0.0,DIESEL_3,Mon-18
0.0,DIESEL_4,Mon-18
0.0,GAS_1,Mon-18
