item,day,price
SKU001,1,12
SKU002,1,12
SKU003,1,11
SKU004,1,12
SKU005,1,10
SKU001,2,11
SKU002,2,10
SKU003,2,12
SKU004,2,10
SKU005,2,12
SKU001,3,12
SKU002,3,12
SKU003,3,11
SKU004,3,12
SKU005,3,12
SKU001,4,10
SKU002,4,10
SKU003,4,11
SKU004,4,12
SKU005,4,12
SKU001,5,11
SKU002,5,10
SKU003,5,10
SKU004,5,11
SKU005,5,12
SKU001,6,10
SKU002,6,11
SKU003,6,12
SKU004,6,10
SKU005,6,11
SKU001,7,12
SKU002,7,12
SKU003,7,12
SKU004,7,12
SKU005,7,12
SKU001,8,11
SKU002,8,12
SKU003,8,10
SKU004,8,12
SKU005,8,12
SKU001,9,10
SKU002,9,10
SKU003,9,10
SKU004,9,12
SKU005,9,10
SKU001,10,11
SKU002,10,10
SKU003,10,12
SKU004,10,11
SKU005,10,12
SKU001,11,12
SKU002,11,10
SKU003,11,10
SKU004,11,12
SKU005,11,12
SKU001,12,11
SKU002,12,10
SKU003,12,11
SKU004,12,12
SKU005,12,12
SKU001,13,10
SKU002,13,11
SKU003,13,11
SKU004,13,11
SKU005,13,11
SKU001,14,11
SKU002,14,10
SKU003,14,12
SKU004,14,11
SKU005,14,12
SKU001,15,11
SKU002,15,12
SKU003,15,12
SKU004,15,12
SKU005,15,12
SKU001,16,11
SKU002,16,11
SKU003,16,11
SKU004,16,10
SKU005,16,11
SKU001,17,11
SKU002,17,12
SKU003,17,10
SKU004,17,10
SKU005,17,12
SKU001,18,11
SKU002,18,10
SKU003,18,11
SKU004,18,10
SKU005,18,12
SKU001,19,11
SKU002,19,10
SKU003,19,12
SKU004,19,11
SKU005,19,12
SKU001,20,10
SKU002,20,11
SKU003,20,10
SKU004,20,12
SKU005,20,11
SKU001,21,10
SKU002,21,12
SKU003,21,10
SKU004,21,12
SKU005,21,10
SKU001,22,12
SKU002,22,10
SKU003,22,10
SKU004,22,12
SKU005,22,12
SKU001,23,11
SKU002,23,12
SKU003,23,10
SKU004,23,10
SKU005,23,12
SKU001,24,10
SKU002,24,10
SKU003,24,11
SKU004,24,11
SKU005,24,11
SKU001,25,10
SKU002,25,12
SKU003,25,11
SKU004,25,10
SKU005,25,12
SKU001,26,10
SKU002,26,11
SKU003,26,12
SKU004,26,11
SKU005,26,12
SKU001,27,11
SKU002,27,11
SKU003,27,11
SKU004,27,10
SKU005,27,11
SKU001,28,11
SKU002,28,10
SKU003,28,10
SKU004,28,11
SKU005,28,11
SKU001,29,11
SKU002,29,12
SKU003,29,12
SKU004,29,10
SKU005,29,10
SKU001,30,10
SKU002,30,10
SKU003,30,10
SKU004,30,11
SKU005,30,10
