item,day,quantity
SKU001,1,89.0
SKU001,2,81.0
SKU001,3,73.0
SKU001,4,61.0
SKU001,5,55.0
SKU001,6,48.0
SKU001,7,39.0
SKU001,8,32.0
SKU001,9,25.0
SKU001,10,13.0
SKU001,11,2.0
SKU001,12,15.0
SKU001,13,9.0
SKU001,14,2.0
SKU001,15,13.0
SKU001,16,8.0
SKU001,17,2.0
SKU001,18,20.0
SKU001,19,14.0
SKU001,20,2.0
SKU001,21,17.0
SKU001,22,12.0
SKU001,23,2.0
SKU001,24,28.0
SKU001,25,20.0
SKU001,26,9.0
SKU001,27,2.0
SKU001,28,10.0
SKU001,29,2.0
SKU001,30,2.0
SKU002,1,58.0
SKU002,2,47.0
SKU002,3,39.0
SKU002,4,31.0
SKU002,5,25.0
SKU002,6,20.0
SKU002,7,10.0
SKU002,8,2.0
SKU002,9,21.0
SKU002,10,14.0
SKU002,11,2.0
SKU002,12,15.0
SKU002,13,10.0
SKU002,14,2.0
SKU002,15,19.0
SKU002,16,9.0
SKU002,17,2.0
SKU002,18,19.0
SKU002,19,13.0
SKU002,20,2.0
SKU002,21,13.0
SKU002,22,7.0
SKU002,23,2.0
SKU002,24,28.0
SKU002,25,19.0
SKU002,26,10.0
SKU002,27,2.0
SKU002,28,13.0
SKU002,29,2.0
SKU002,30,2.0
SKU003,1,61.0
SKU003,2,53.0
SKU003,3,47.0
SKU003,4,40.0
SKU003,5,30.0
SKU003,6,22.0
SKU003,7,14.0
SKU003,8,2.0
SKU003,9,21.0
SKU003,10,12.0
SKU003,11,2.0
SKU003,12,20.0
SKU003,13,8.0
SKU003,14,2.0
SKU003,15,18.0
SKU003,16,10.0
SKU003,17,2.0
SKU003,18,20.0
SKU003,19,8.0
SKU003,20,2.0
SKU003,21,15.0
SKU003,22,7.0
SKU003,23,2.0
SKU003,24,29.0
SKU003,25,19.0
SKU003,26,9.0
SKU003,27,2.0
SKU003,28,10.0
SKU003,29,2.0
SKU003,30,2.0
SKU004,1,65.0
SKU004,2,54.0
SKU004,3,48.0
SKU004,4,43.0
SKU004,5,32.0
SKU004,6,26.0
SKU004,7,21.0
SKU004,8,13.0
SKU004,9,16.0
SKU004,10,10.0
SKU004,11,2.0
SKU004,12,18.0
SKU004,13,13.0
SKU004,14,2.0
SKU004,15,21.0
SKU004,16,10.0
SKU004,17,2.0
SKU004,18,17.0
SKU004,19,12.0
SKU004,20,2.0
SKU004,21,20.0
SKU004,22,11.0
SKU004,23,2.0
SKU004,24,27.0
SKU004,25,22.0
SKU004,26,11.0
SKU004,27,2.0
SKU004,28,12.0
SKU004,29,2.0
SKU004,30,2.0
SKU005,1,53.0
SKU005,2,42.0
SKU005,3,32.0
SKU005,4,24.0
SKU005,5,13.0
SKU005,6,21.0
SKU005,7,13.0
SKU005,8,2.0
SKU005,9,26.0
SKU005,10,14.0
SKU005,11,2.0
SKU005,12,13.0
SKU005,13,8.0
SKU005,14,2.0
SKU005,15,20.0
SKU005,16,9.0
SKU005,17,2.0
SKU005,18,22.0
SKU005,19,14.0
SKU005,20,2.0
SKU005,21,16.0
SKU005,22,10.0
SKU005,23,2.0
SKU005,24,20.0
SKU005,25,13.0
SKU005,26,7.0
SKU005,27,2.0
SKU005,28,13.0
SKU005,29,2.0
SKU005,30,2.0
