type,item,day,cost
Stock,SKU001,1,89.0
Order,SKU001,1,0.0
Stock,SKU001,2,81.0
Order,SKU001,2,0.0
Stock,SKU001,3,73.0
Order,SKU001,3,0.0
Stock,SKU001,4,61.0
Order,SKU001,4,0.0
Stock,SKU001,5,55.0
Order,SKU001,5,0.0
Stock,SKU001,6,48.0
Order,SKU001,6,0.0
Stock,SKU001,7,39.0
Order,SKU001,7,0.0
Stock,SKU001,8,32.0
Order,SKU001,8,0.0
Stock,SKU001,9,41.0
Order,SKU001,9,200.0
Stock,SKU001,10,29.0
Order,SKU001,10,0.0
Stock,SKU001,11,18.0
Order,SKU001,11,0.0
Stock,SKU001,12,8.0
Order,SKU001,12,0.0
Stock,SKU001,13,2.0
Order,SKU001,13,0.0
Stock,SKU001,14,29.0
Order,SKU001,14,374.0
Stock,SKU001,15,21.0
Order,SKU001,15,0.0
Stock,SKU001,16,16.0
Order,SKU001,16,0.0
Stock,SKU001,17,10.0
Order,SKU001,17,0.0
Stock,SKU001,18,2.0
Order,SKU001,18,0.0
Stock,SKU001,19,41.0
Order,SKU001,19,495.0
Stock,SKU001,20,29.0
Order,SKU001,20,0.0
Stock,SKU001,21,17.0
Order,SKU001,21,0.0
Stock,SKU001,22,12.0
Order,SKU001,22,0.0
Stock,SKU001,23,2.0
Order,SKU001,23,0.0
Stock,SKU001,24,40.0
Order,SKU001,24,500.0
Stock,SKU001,25,32.0
Order,SKU001,25,0.0
Stock,SKU001,26,21.0
Order,SKU001,26,0.0
Stock,SKU001,27,14.0
Order,SKU001,27,0.0
Stock,SKU001,28,2.0
Order,SKU001,28,0.0
Stock,SKU001,29,2.0
Order,SKU001,29,88.0
Stock,SKU001,30,2.0
Order,SKU001,30,60.0
Stock,SKU002,1,58.0
Order,SKU002,1,0.0
Stock,SKU002,2,47.0
Order,SKU002,2,0.0
Stock,SKU002,3,39.0
Order,SKU002,3,0.0
Stock,SKU002,4,31.0
Order,SKU002,4,0.0
Stock,SKU002,5,25.0
Order,SKU002,5,0.0
Stock,SKU002,6,20.0
Order,SKU002,6,0.0
Stock,SKU002,7,10.0
Order,SKU002,7,0.0
Stock,SKU002,8,2.0
Order,SKU002,8,0.0
Stock,SKU002,9,36.0
Order,SKU002,9,450.0
Stock,SKU002,10,29.0
Order,SKU002,10,0.0
Stock,SKU002,11,17.0
Order,SKU002,11,0.0
Stock,SKU002,12,7.0
Order,SKU002,12,0.0
