id,item,day,quantity
SKU001-9,SKU001,9,20.0
SKU001-14,SKU001,14,34.0
SKU001-19,SKU001,19,45.0
SKU001-24,SKU001,24,50.0
SKU001-29,SKU001,29,8.0
SKU001-30,SKU001,30,6.0
SKU002-9,SKU002,9,45.0
SKU002-14,SKU002,14,44.0
SKU002-19,SKU002,19,38.0
SKU002-24,SKU002,24,40.0
SKU002-29,SKU002,29,11.0
SKU002-30,SKU002,30,6.0
SKU003-4,SKU003,4,4.0
SKU003-9,SKU003,9,51.0
SKU003-14,SKU003,14,41.0
SKU003-19,SKU003,19,41.0
SKU003-24,SKU003,24,44.0
SKU003-29,SKU003,29,8.0
SKU003-30,SKU003,30,7.0
SKU004-9,SKU004,9,27.0
SKU004-14,SKU004,14,45.0
SKU004-19,SKU004,19,40.0
SKU004-24,SKU004,24,36.0
SKU004-29,SKU004,29,10.0
SKU004-30,SKU004,30,5.0
SKU005-4,SKU005,4,19.0
SKU005-9,SKU005,9,48.0
SKU005-14,SKU005,14,40.0
SKU005-19,SKU005,19,41.0
SKU005-24,SKU005,24,35.0
SKU005-29,SKU005,29,11.0
SKU005-30,SKU005,30,6.0
