item,day,demand
SKU001,1,9
SKU002,1,12
SKU003,1,9
SKU004,1,6
SKU005,1,8
SKU001,2,8
SKU002,2,11
SKU003,2,8
SKU004,2,11
SKU005,2,11
SKU001,3,8
SKU002,3,8
SKU003,3,6
SKU004,3,6
SKU005,3,10
SKU001,4,12
SKU002,4,8
SKU003,4,7
SKU004,4,5
SKU005,4,8
SKU001,5,6
SKU002,5,6
SKU003,5,10
SKU004,5,11
SKU005,5,11
SKU001,6,7
SKU002,6,5
SKU003,6,12
SKU004,6,6
SKU005,6,11
SKU001,7,9
SKU002,7,10
SKU003,7,8
SKU004,7,5
SKU005,7,8
SKU001,8,7
SKU002,8,8
SKU003,8,12
SKU004,8,8
SKU005,8,11
SKU001,9,11
SKU002,9,11
SKU003,9,8
SKU004,9,12
SKU005,9,8
SKU001,10,12
SKU002,10,7
SKU003,10,9
SKU004,10,6
SKU005,10,12
SKU001,11,11
SKU002,11,12
SKU003,11,10
SKU004,11,8
SKU005,11,12
SKU001,12,10
SKU002,12,10
SKU003,12,12
SKU004,12,7
SKU005,12,11
SKU001,13,6
SKU002,13,5
SKU003,13,12
SKU004,13,5
SKU005,13,5
SKU001,14,7
SKU002,14,8
SKU003,14,6
SKU004,14,11
SKU005,14,6
SKU001,15,8
SKU002,15,10
SKU003,15,9
SKU004,15,7
SKU005,15,7
SKU001,16,5
SKU002,16,10
SKU003,16,8
SKU004,16,11
SKU005,16,11
SKU001,17,6
SKU002,17,7
SKU003,17,8
SKU004,17,8
SKU005,17,7
SKU001,18,8
SKU002,18,9
SKU003,18,10
SKU004,18,8
SKU005,18,9
SKU001,19,6
SKU002,19,6
SKU003,19,12
SKU004,19,5
SKU005,19,8
SKU001,20,12
SKU002,20,11
SKU003,20,6
SKU004,20,10
SKU005,20,12
SKU001,21,12
SKU002,21,10
SKU003,21,10
SKU004,21,7
SKU005,21,7
SKU001,22,5
SKU002,22,6
SKU003,22,8
SKU004,22,9
SKU005,22,6
SKU001,23,10
SKU002,23,5
SKU003,23,5
SKU004,23,9
SKU005,23,8
SKU001,24,12
SKU002,24,6
SKU003,24,9
SKU004,24,5
SKU005,24,8
SKU001,25,8
SKU002,25,9
SKU003,25,10
SKU004,25,5
SKU005,25,7
SKU001,26,11
SKU002,26,9
SKU003,26,10
SKU004,26,11
SKU005,26,6
SKU001,27,7
SKU002,27,8
SKU003,27,7
SKU004,27,9
SKU005,27,5
SKU001,28,12
SKU002,28,8
SKU003,28,8
SKU004,28,6
SKU005,28,9
SKU001,29,8
SKU002,29,11
SKU003,29,8
SKU004,29,10
SKU005,29,11
SKU001,30,6
SKU002,30,6
SKU003,30,7
SKU004,30,5
SKU005,30,6
