type,item,day,cost
Stock,SKU001,1,89.0
Order,SKU001,1,0.0
Stock,SKU001,2,79.0
Order,SKU001,2,0.0
Stock,SKU001,3,67.0
Order,SKU001,3,0.0
Stock,SKU001,4,58.0
Order,SKU001,4,0.0
Stock,SKU001,5,48.0
Order,SKU001,5,0.0
Stock,SKU001,6,40.0
Order,SKU001,6,0.0
Stock,SKU001,7,35.0
Order,SKU001,7,30.0
Stock,SKU001,8,29.0
Order,SKU001,8,0.0
Stock,SKU001,9,21.0
Order,SKU001,9,0.0
Stock,SKU001,10,11.0
Order,SKU001,10,0.0
Stock,SKU001,11,2.0
Order,SKU001,11,0.0
Stock,SKU001,12,46.0
Order,SKU001,12,510.0
Stock,SKU001,13,35.0
Order,SKU001,13,0.0
Stock,SKU001,14,24.0
Order,SKU001,14,0.0
Stock,SKU001,15,13.0
Order,SKU001,15,0.0
Stock,SKU001,16,2.0
Order,SKU001,16,0.0
Stock,SKU001,17,42.0
Order,SKU001,17,450.0
Stock,SKU001,18,32.0
Order,SKU001,18,0.0
Stock,SKU001,19,20.0
Order,SKU001,19,0.0
Stock,SKU001,20,9.0
Order,SKU001,20,0.0
Stock,SKU001,21,2.0
Order,SKU001,21,0.0
Stock,SKU001,22,42.0
Order,SKU001,22,510.0
Stock,SKU001,23,33.0
Order,SKU001,23,0.0
Stock,SKU001,24,22.0
Order,SKU001,24,0.0
Stock,SKU001,25,11.0
Order,SKU001,25,0.0
Stock,SKU001,26,2.0
Order,SKU001,26,0.0
Stock,SKU001,27,17.0
Order,SKU001,27,220.0
Stock,SKU001,28,9.0
Order,SKU001,28,0.0
Stock,SKU001,29,2.0
Order,SKU001,29,0.0
Stock,SKU001,30,2.0
Order,SKU001,30,77.0
Stock,SKU002,1,58.0
Order,SKU002,1,0.0
Stock,SKU002,2,51.0
Order,SKU002,2,0.0
Stock,SKU002,3,45.0
Order,SKU002,3,0.0
Stock,SKU002,4,40.0
Order,SKU002,4,0.0
Stock,SKU002,5,28.0
Order,SKU002,5,0.0
Stock,SKU002,6,23.0
Order,SKU002,6,0.0
Stock,SKU002,7,35.0
Order,SKU002,7,200.0
Stock,SKU002,8,23.0
Order,SKU002,8,0.0
Stock,SKU002,9,18.0
Order,SKU002,9,0.0
Stock,SKU002,10,11.0
Order,SKU002,10,0.0
Stock,SKU002,11,2.0
Order,SKU002,11,0.0
Stock,SKU002,12,39.0
Order,SKU002,12,495.0
